UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2022-07-23T00:00:00.000000000,2024-07-17 00:00:00,3.1,100.04,117.68822
2022-07-23T01:00:00.000000000,2024-07-17 00:00:00,3.1,150.03,156.49515
2022-07-23T02:00:00.000000000,2024-07-17 00:00:00,3.1,152.79,172.48965
2022-07-23T03:00:00.000000000,2024-07-17 00:00:00,3.1,187.61,211.4208
2022-07-23T04:00:00.000000000,2024-07-17 00:00:00,3.1,206.96,224.27989
2022-07-23T05:00:00.000000000,2024-07-17 00:00:00,3.1,208.17,230.42121
2022-07-23T06:00:00.000000000,2024-07-17 00:00:00,3.1,217.72,230.09491
2022-07-23T07:00:00.000000000,2024-07-17 00:00:00,3.1,222.58,225.44238
2022-07-23T08:00:00.000000000,2024-07-17 00:00:00,3.1,220.06,212.14415
2022-07-23T09:00:00.000000000,2024-07-17 00:00:00,3.1,220.06,206.20098
2022-07-23T10:00:00.000000000,2024-07-17 00:00:00,3.1,219.32,200.57584
2022-07-23T11:00:00.000000000,2024-07-17 00:00:00,3.1,186.1,199.84724
2022-07-23T12:00:00.000000000,2024-07-17 00:00:00,3.1,186.88,207.17521
2022-07-23T13:00:00.000000000,2024-07-17 00:00:00,3.1,186.49,201.70332
2022-07-23T14:00:00.000000000,2024-07-17 00:00:00,3.1,185.29,198.83642
2022-07-23T15:00:00.000000000,2024-07-17 00:00:00,3.1,172.72,202.22869
2022-07-23T16:00:00.000000000,2024-07-17 00:00:00,3.1,151.32,192.88496
2022-07-23T17:00:00.000000000,2024-07-17 00:00:00,3.1,137.71,169.35137
2022-07-23T18:00:00.000000000,2024-07-17 00:00:00,3.1,137.79,152.76614
2022-07-23T19:00:00.000000000,2024-07-17 00:00:00,3.1,112.53,127.01552
2022-07-23T20:00:00.000000000,2024-07-17 00:00:00,3.1,69.81,105.27682
2022-07-23T21:00:00.000000000,2024-07-17 00:00:00,3.1,64.86,97.75298
2022-07-23T22:00:00.000000000,2024-07-17 00:00:00,3.1,65.0,100.41219
2022-07-23T23:00:00.000000000,2024-07-17 00:00:00,3.1,67.77,103.31721
2022-07-24T00:00:00.000000000,2024-07-17 00:00:00,3.1,90.06,142.11692
2022-07-24T01:00:00.000000000,2024-07-17 00:00:00,3.1,132.82,173.70233
2022-07-24T02:00:00.000000000,2024-07-17 00:00:00,3.1,157.64,196.29035
2022-07-24T03:00:00.000000000,2024-07-17 00:00:00,3.1,176.14,225.49754
2022-07-24T04:00:00.000000000,2024-07-17 00:00:00,3.1,218.78,230.44207
2022-07-24T05:00:00.000000000,2024-07-17 00:00:00,3.1,221.15,236.31121
2022-07-24T06:00:00.000000000,2024-07-17 00:00:00,3.1,223.13,242.55883
2022-07-24T07:00:00.000000000,2024-07-17 00:00:00,3.1,224.81,235.04191
2022-07-24T08:00:00.000000000,2024-07-17 00:00:00,3.1,224.25,226.26765
2022-07-24T09:00:00.000000000,2024-07-17 00:00:00,3.1,222.81,222.55926
2022-07-24T10:00:00.000000000,2024-07-17 00:00:00,3.1,217.91,222.88288
2022-07-24T11:00:00.000000000,2024-07-17 00:00:00,3.1,186.45,228.27187
2022-07-24T12:00:00.000000000,2024-07-17 00:00:00,3.1,187.24,224.11139
2022-07-24T13:00:00.000000000,2024-07-17 00:00:00,3.1,186.45,224.63965
2022-07-24T14:00:00.000000000,2024-07-17 00:00:00,3.1,188.05,216.7392
2022-07-24T15:00:00.000000000,2024-07-17 00:00:00,3.1,152.29,227.16138
2022-07-24T16:00:00.000000000,2024-07-17 00:00:00,3.1,134.63,214.36568
2022-07-24T17:00:00.000000000,2024-07-17 00:00:00,3.1,134.43,201.43756
2022-07-24T18:00:00.000000000,2024-07-17 00:00:00,3.1,121.76,171.48139
2022-07-24T19:00:00.000000000,2024-07-17 00:00:00,3.1,76.15,146.27096
2022-07-24T20:00:00.000000000,2024-07-17 00:00:00,3.1,67.21,132.10514
2022-07-24T21:00:00.000000000,2024-07-17 00:00:00,3.1,64.49,120.41921
2022-07-24T22:00:00.000000000,2024-07-17 00:00:00,3.1,64.68,116.68505
2022-07-24T23:00:00.000000000,2024-07-17 00:00:00,3.1,67.55,124.25646
2022-07-25T00:00:00.000000000,2024-07-17 00:00:00,3.1,75.27,150.38886
2022-07-25T01:00:00.000000000,2024-07-17 00:00:00,3.1,114.85,181.42579
2022-07-25T02:00:00.000000000,2024-07-17 00:00:00,3.1,140.8,205.20506
2022-07-25T03:00:00.000000000,2024-07-17 00:00:00,3.1,169.76,233.34364
2022-07-25T04:00:00.000000000,2024-07-17 00:00:00,3.1,196.31,239.38402
2022-07-25T05:00:00.000000000,2024-07-17 00:00:00,3.1,205.17,245.67574
2022-07-25T06:00:00.000000000,2024-07-17 00:00:00,3.1,250.29,254.02556
2022-07-25T07:00:00.000000000,2024-07-17 00:00:00,3.1,246.24,246.29389
2022-07-25T08:00:00.000000000,2024-07-17 00:00:00,3.1,249.3,237.93431
2022-07-25T09:00:00.000000000,2024-07-17 00:00:00,3.1,247.38,235.55739
2022-07-25T10:00:00.000000000,2024-07-17 00:00:00,3.1,250.29,237.74959
2022-07-25T11:00:00.000000000,2024-07-17 00:00:00,3.1,251.06,242.26096
2022-07-25T12:00:00.000000000,2024-07-17 00:00:00,3.1,252.07,239.75368
2022-07-25T13:00:00.000000000,2024-07-17 00:00:00,3.1,251.48,239.02835
2022-07-25T14:00:00.000000000,2024-07-17 00:00:00,3.1,214.76,232.225
2022-07-25T15:00:00.000000000,2024-07-17 00:00:00,3.1,182.46,239.59732
2022-07-25T16:00:00.000000000,2024-07-17 00:00:00,3.1,162.29,225.60511
2022-07-25T17:00:00.000000000,2024-07-17 00:00:00,3.1,175.0,212.13148
2022-07-25T18:00:00.000000000,2024-07-17 00:00:00,3.1,147.27,181.7068
2022-07-25T19:00:00.000000000,2024-07-17 00:00:00,3.1,84.57,157.05603
2022-07-25T20:00:00.000000000,2024-07-17 00:00:00,3.1,87.12,141.51104
2022-07-25T21:00:00.000000000,2024-07-17 00:00:00,3.1,83.72,129.40138
2022-07-25T22:00:00.000000000,2024-07-17 00:00:00,3.1,82.59,125.44743
2022-07-25T23:00:00.000000000,2024-07-17 00:00:00,3.1,90.99,134.29356
2022-07-26T00:00:00.000000000,2024-07-17 00:00:00,3.1,98.2,153.82097
2022-07-26T01:00:00.000000000,2024-07-17 00:00:00,3.1,133.57,198.8911
