UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2023-08-03T00:00:00.000000000,2024-07-17 00:00:00,3.1,24.0,45.86526
2023-08-03T01:00:00.000000000,2024-07-17 00:00:00,3.1,24.0,45.40583
2023-08-03T02:00:00.000000000,2024-07-17 00:00:00,3.1,24.0,46.0474
2023-08-03T03:00:00.000000000,2024-07-17 00:00:00,3.1,24.0,48.47345
2023-08-03T04:00:00.000000000,2024-07-17 00:00:00,3.1,24.0,51.47921
2023-08-03T05:00:00.000000000,2024-07-17 00:00:00,3.1,24.0,53.66875
2023-08-03T06:00:00.000000000,2024-07-17 00:00:00,3.1,24.0,54.17434
2023-08-03T07:00:00.000000000,2024-07-17 00:00:00,3.1,24.0,53.97842
2023-08-03T08:00:00.000000000,2024-07-17 00:00:00,3.1,24.0,52.97553
2023-08-03T09:00:00.000000000,2024-07-17 00:00:00,3.1,24.0,52.47068
2023-08-03T10:00:00.000000000,2024-07-17 00:00:00,3.1,24.0,53.11083
2023-08-03T11:00:00.000000000,2024-07-17 00:00:00,3.1,24.0,55.28409
2023-08-03T12:00:00.000000000,2024-07-17 00:00:00,3.1,24.0,55.33851
2023-08-03T13:00:00.000000000,2024-07-17 00:00:00,3.1,24.0,53.97012
2023-08-03T14:00:00.000000000,2024-07-17 00:00:00,3.1,24.0,53.00038
2023-08-03T15:00:00.000000000,2024-07-17 00:00:00,3.1,24.0,52.89168
2023-08-03T16:00:00.000000000,2024-07-17 00:00:00,3.1,24.0,52.15088
2023-08-03T17:00:00.000000000,2024-07-17 00:00:00,3.1,24.0,50.17733
2023-08-03T18:00:00.000000000,2024-07-17 00:00:00,3.1,24.0,46.64033
2023-08-03T19:00:00.000000000,2024-07-17 00:00:00,3.1,24.0,42.75234
2023-08-03T20:00:00.000000000,2024-07-17 00:00:00,3.1,24.0,40.03602
2023-08-03T21:00:00.000000000,2024-07-17 00:00:00,3.1,24.0,39.47377
2023-08-03T22:00:00.000000000,2024-07-17 00:00:00,3.1,24.0,41.48027
2023-08-03T23:00:00.000000000,2024-07-17 00:00:00,3.1,24.0,42.82811
2023-08-04T00:00:00.000000000,2024-07-17 00:00:00,3.1,24.0,69.60071
2023-08-04T01:00:00.000000000,2024-07-17 00:00:00,3.1,24.0,70.71839
2023-08-04T02:00:00.000000000,2024-07-17 00:00:00,3.1,24.0,73.34897
2023-08-04T03:00:00.000000000,2024-07-17 00:00:00,3.1,24.0,76.85466
2023-08-04T04:00:00.000000000,2024-07-17 00:00:00,3.1,24.0,78.67695
2023-08-04T05:00:00.000000000,2024-07-17 00:00:00,3.1,24.0,77.43127
