datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2023-12-20T00:00:00.000000000,174.24,156.5553
2023-12-20T01:00:00.000000000,184.94,169.22757
2023-12-20T02:00:00.000000000,191.27,180.20334
2023-12-20T03:00:00.000000000,196.34,183.54282
2023-12-20T04:00:00.000000000,208.52,180.12666
2023-12-20T05:00:00.000000000,195.34,174.56075
2023-12-20T06:00:00.000000000,186.71,169.17761
2023-12-20T07:00:00.000000000,173.55,164.28071
2023-12-20T08:00:00.000000000,160.41,158.82194
2023-12-20T09:00:00.000000000,161.98,152.64967
2023-12-20T10:00:00.000000000,161.55,147.68868
2023-12-20T11:00:00.000000000,164.79,147.53279
2023-12-20T12:00:00.000000000,165.77,152.20271
2023-12-20T13:00:00.000000000,168.43,159.52749
2023-12-20T14:00:00.000000000,173.15,165.39542
2023-12-20T15:00:00.000000000,176.65,166.47924
2023-12-20T16:00:00.000000000,175.81,162.15772
2023-12-20T17:00:00.000000000,169.83,155.98305
2023-12-20T18:00:00.000000000,152.52,148.77572
2023-12-20T19:00:00.000000000,130.28,143.26502
2023-12-20T20:00:00.000000000,120.0,138.55869
2023-12-20T21:00:00.000000000,111.97,135.55634
2023-12-20T22:00:00.000000000,121.25,136.20776
2023-12-20T23:00:00.000000000,137.19,141.73763
2023-12-21T00:00:00.000000000,167.58,141.45768
2023-12-21T01:00:00.000000000,178.23,155.96222
2023-12-21T02:00:00.000000000,192.64,168.04478
2023-12-21T03:00:00.000000000,193.6,171.70408
2023-12-21T04:00:00.000000000,194.48,168.16294
2023-12-21T05:00:00.000000000,193.82,162.51247
2023-12-21T06:00:00.000000000,187.14,157.5008
2023-12-21T07:00:00.000000000,183.76,153.12109
2023-12-21T08:00:00.000000000,172.91,148.06852
2023-12-21T09:00:00.000000000,167.83,142.55381
2023-12-21T10:00:00.000000000,175.19,138.47712
2023-12-21T11:00:00.000000000,177.33,139.32353
2023-12-21T12:00:00.000000000,175.99,144.39032
2023-12-21T13:00:00.000000000,176.87,151.20565
2023-12-21T14:00:00.000000000,179.7,155.97888
2023-12-21T15:00:00.000000000,181.23,155.23644
2023-12-21T16:00:00.000000000,170.96,149.1555
2023-12-21T17:00:00.000000000,159.01,141.87364
2023-12-21T18:00:00.000000000,144.49,133.68564
2023-12-21T19:00:00.000000000,129.72,127.26872
2023-12-21T20:00:00.000000000,124.04,121.56754
2023-12-21T21:00:00.000000000,124.01,117.94494
2023-12-21T22:00:00.000000000,136.82,118.55469
2023-12-21T23:00:00.000000000,146.73,125.20102
2023-12-22T00:00:00.000000000,166.97,137.02558
2023-12-22T01:00:00.000000000,182.67,146.23817
2023-12-22T02:00:00.000000000,191.16,155.75514
2023-12-22T03:00:00.000000000,193.27,159.22692
2023-12-22T04:00:00.000000000,191.2,156.86838
2023-12-22T05:00:00.000000000,184.95,151.12037
2023-12-22T06:00:00.000000000,188.68,145.13411
2023-12-22T07:00:00.000000000,185.96,139.54741
2023-12-22T08:00:00.000000000,178.4,134.40415
2023-12-22T09:00:00.000000000,167.6,129.7605
2023-12-22T10:00:00.000000000,171.06,126.32567
2023-12-22T11:00:00.000000000,173.01,126.43378
2023-12-22T12:00:00.000000000,172.52,129.81925
2023-12-22T13:00:00.000000000,172.93,135.4062
2023-12-22T14:00:00.000000000,169.2,140.59075
2023-12-22T15:00:00.000000000,162.72,142.39827
2023-12-22T16:00:00.000000000,171.95,140.05507
2023-12-22T17:00:00.000000000,173.92,136.71689
2023-12-22T18:00:00.000000000,171.8,131.76001
2023-12-22T19:00:00.000000000,165.7,128.83661
2023-12-22T20:00:00.000000000,157.77,126.41352
2023-12-22T21:00:00.000000000,154.56,125.20927
2023-12-22T22:00:00.000000000,155.61,125.58179
2023-12-22T23:00:00.000000000,160.45,128.63236
2023-12-23T00:00:00.000000000,161.82,124.01724
2023-12-23T01:00:00.000000000,160.99,134.94268
2023-12-23T02:00:00.000000000,164.98,144.07135
2023-12-23T03:00:00.000000000,166.12,145.82319
2023-12-23T04:00:00.000000000,164.33,141.44023
2023-12-23T05:00:00.000000000,155.95,134.8963
2023-12-23T06:00:00.000000000,149.42,129.2729
2023-12-23T07:00:00.000000000,165.3,123.78051
2023-12-23T08:00:00.000000000,160.25,118.28524
2023-12-23T09:00:00.000000000,160.47,113.17594
2023-12-23T10:00:00.000000000,165.34,110.78816
2023-12-23T11:00:00.000000000,163.65,113.5064
2023-12-23T12:00:00.000000000,165.23,119.80828
2023-12-23T13:00:00.000000000,165.66,127.44467
2023-12-23T14:00:00.000000000,166.23,133.32975
2023-12-23T15:00:00.000000000,166.93,134.21077
2023-12-23T16:00:00.000000000,168.61,129.99521
2023-12-23T17:00:00.000000000,158.35,125.30429
2023-12-23T18:00:00.000000000,155.05,118.972
2023-12-23T19:00:00.000000000,149.9,114.38209
2023-12-23T20:00:00.000000000,144.08,110.01559
2023-12-23T21:00:00.000000000,146.84,107.18486
2023-12-23T22:00:00.000000000,148.4,107.11879
2023-12-23T23:00:00.000000000,157.43,111.89465
