datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2023-08-19T00:00:00.000000000,280.14,293.75936
2023-08-19T01:00:00.000000000,286.86,301.30995
2023-08-19T02:00:00.000000000,290.12,305.00294
2023-08-19T03:00:00.000000000,291.98,304.73129
2023-08-19T04:00:00.000000000,282.86,305.82138
2023-08-19T05:00:00.000000000,278.42,301.34271
2023-08-19T06:00:00.000000000,269.5,294.95091
2023-08-19T07:00:00.000000000,252.67,289.78389
2023-08-19T08:00:00.000000000,253.87,278.92751
2023-08-19T09:00:00.000000000,252.12,270.02124
2023-08-19T10:00:00.000000000,244.88,261.07477
2023-08-19T11:00:00.000000000,245.72,255.81495
2023-08-19T12:00:00.000000000,246.12,251.76724
2023-08-19T13:00:00.000000000,251.51,247.34171
2023-08-19T14:00:00.000000000,244.75,242.10348
2023-08-19T15:00:00.000000000,249.04,239.30156
2023-08-19T16:00:00.000000000,246.24,237.2074
2023-08-19T17:00:00.000000000,246.23,237.30537
2023-08-19T18:00:00.000000000,254.24,240.65184
2023-08-19T19:00:00.000000000,252.65,246.63748
2023-08-19T20:00:00.000000000,248.97,255.03387
2023-08-19T21:00:00.000000000,248.34,262.62389
2023-08-19T22:00:00.000000000,256.54,270.21244
2023-08-19T23:00:00.000000000,262.61,282.35652
2023-08-20T00:00:00.000000000,249.1,295.44357
2023-08-20T01:00:00.000000000,246.58,302.17329
2023-08-20T02:00:00.000000000,247.46,305.29642
2023-08-20T03:00:00.000000000,248.24,304.25127
2023-08-20T04:00:00.000000000,247.49,304.20916
2023-08-20T05:00:00.000000000,250.25,297.56059
2023-08-20T06:00:00.000000000,248.17,289.63638
2023-08-20T07:00:00.000000000,242.46,282.57283
2023-08-20T08:00:00.000000000,240.91,271.80331
2023-08-20T09:00:00.000000000,235.72,263.41418
2023-08-20T10:00:00.000000000,235.93,255.36417
2023-08-20T11:00:00.000000000,236.35,250.18263
2023-08-20T12:00:00.000000000,235.87,245.17929
2023-08-20T13:00:00.000000000,231.89,241.97346
2023-08-20T14:00:00.000000000,231.08,238.1872
2023-08-20T15:00:00.000000000,237.06,238.72657
2023-08-20T16:00:00.000000000,239.02,240.18203
2023-08-20T17:00:00.000000000,245.46,242.8345
2023-08-20T18:00:00.000000000,246.19,247.82967
2023-08-20T19:00:00.000000000,250.79,254.85198
2023-08-20T20:00:00.000000000,252.96,263.55647
2023-08-20T21:00:00.000000000,270.78,270.96859
2023-08-20T22:00:00.000000000,271.53,277.71581
2023-08-20T23:00:00.000000000,273.03,287.9221
2023-08-21T00:00:00.000000000,264.17,293.59855
2023-08-21T01:00:00.000000000,268.23,299.51433
2023-08-21T02:00:00.000000000,274.86,301.27408
2023-08-21T03:00:00.000000000,270.9,298.21302
2023-08-21T04:00:00.000000000,270.01,296.10851
2023-08-21T05:00:00.000000000,264.2,287.29667
2023-08-21T06:00:00.000000000,256.81,278.16666
2023-08-21T07:00:00.000000000,254.49,269.13279
2023-08-21T08:00:00.000000000,251.7,257.99764
2023-08-21T09:00:00.000000000,245.08,249.38343
2023-08-21T10:00:00.000000000,244.91,242.39886
2023-08-21T11:00:00.000000000,240.07,238.04161
2023-08-21T12:00:00.000000000,239.62,233.67167
2023-08-21T13:00:00.000000000,251.46,231.63579
2023-08-21T14:00:00.000000000,259.39,227.70262
2023-08-21T15:00:00.000000000,267.91,228.73219
2023-08-21T16:00:00.000000000,258.81,230.74056
2023-08-21T17:00:00.000000000,252.94,234.53112
2023-08-21T18:00:00.000000000,246.18,241.27901
2023-08-21T19:00:00.000000000,233.51,250.06465
2023-08-21T20:00:00.000000000,227.42,259.95106
2023-08-21T21:00:00.000000000,238.96,268.51687
2023-08-21T22:00:00.000000000,249.23,275.97754
2023-08-21T23:00:00.000000000,249.89,286.52785
2023-08-22T00:00:00.000000000,246.02,289.26563
2023-08-22T01:00:00.000000000,257.52,294.30565
2023-08-22T02:00:00.000000000,259.59,295.84193
2023-08-22T03:00:00.000000000,258.3,292.99279
2023-08-22T04:00:00.000000000,259.75,291.42511
2023-08-22T05:00:00.000000000,251.56,284.61298
2023-08-22T06:00:00.000000000,249.66,277.23333
2023-08-22T07:00:00.000000000,243.71,270.75544
2023-08-22T08:00:00.000000000,237.48,261.21169
2023-08-22T09:00:00.000000000,238.33,253.35521
2023-08-22T10:00:00.000000000,238.05,245.51716
2023-08-22T11:00:00.000000000,236.54,240.54133
2023-08-22T12:00:00.000000000,235.96,235.5182
2023-08-22T13:00:00.000000000,237.97,232.123
2023-08-22T14:00:00.000000000,239.67,228.15618
2023-08-22T15:00:00.000000000,228.34,227.88514
2023-08-22T16:00:00.000000000,221.95,228.78338
2023-08-22T17:00:00.000000000,227.03,231.94937
2023-08-22T18:00:00.000000000,222.14,238.14838
2023-08-22T19:00:00.000000000,229.87,246.45294
2023-08-22T20:00:00.000000000,232.81,256.03006
2023-08-22T21:00:00.000000000,242.67,264.42802
2023-08-22T22:00:00.000000000,247.59,271.47376
2023-08-22T23:00:00.000000000,251.93,281.96861
