UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2022-07-24T00:00:00.000000000,2024-07-17 00:00:00,3.1,214.92,201.06923
2022-07-24T01:00:00.000000000,2024-07-17 00:00:00,3.1,220.35,208.90741
2022-07-24T02:00:00.000000000,2024-07-17 00:00:00,3.1,227.45,211.36094
2022-07-24T03:00:00.000000000,2024-07-17 00:00:00,3.1,229.63,210.94809
2022-07-24T04:00:00.000000000,2024-07-17 00:00:00,3.1,233.72,200.43984
2022-07-24T05:00:00.000000000,2024-07-17 00:00:00,3.1,230.15,208.39588
2022-07-24T06:00:00.000000000,2024-07-17 00:00:00,3.1,225.52,204.31896
2022-07-24T07:00:00.000000000,2024-07-17 00:00:00,3.1,215.58,203.02139
2022-07-24T08:00:00.000000000,2024-07-17 00:00:00,3.1,202.54,187.82692
2022-07-24T09:00:00.000000000,2024-07-17 00:00:00,3.1,192.69,186.59064
2022-07-24T10:00:00.000000000,2024-07-17 00:00:00,3.1,185.69,181.89199
2022-07-24T11:00:00.000000000,2024-07-17 00:00:00,3.1,178.15,178.5951
2022-07-24T12:00:00.000000000,2024-07-17 00:00:00,3.1,173.99,179.66325
2022-07-24T13:00:00.000000000,2024-07-17 00:00:00,3.1,175.41,173.099
2022-07-24T14:00:00.000000000,2024-07-17 00:00:00,3.1,165.36,174.28176
2022-07-24T15:00:00.000000000,2024-07-17 00:00:00,3.1,161.18,174.76094
2022-07-24T16:00:00.000000000,2024-07-17 00:00:00,3.1,160.95,177.63168
2022-07-24T17:00:00.000000000,2024-07-17 00:00:00,3.1,167.06,177.05993
2022-07-24T18:00:00.000000000,2024-07-17 00:00:00,3.1,161.0,176.81423
2022-07-24T19:00:00.000000000,2024-07-17 00:00:00,3.1,163.94,178.57084
2022-07-24T20:00:00.000000000,2024-07-17 00:00:00,3.1,167.4,183.40896
2022-07-24T21:00:00.000000000,2024-07-17 00:00:00,3.1,176.88,186.62953
2022-07-24T22:00:00.000000000,2024-07-17 00:00:00,3.1,190.88,201.40646
2022-07-24T23:00:00.000000000,2024-07-17 00:00:00,3.1,199.5,204.96674
2022-07-25T00:00:00.000000000,2024-07-17 00:00:00,3.1,215.26,201.42466
2022-07-25T01:00:00.000000000,2024-07-17 00:00:00,3.1,219.79,209.72617
2022-07-25T02:00:00.000000000,2024-07-17 00:00:00,3.1,221.34,210.66899
2022-07-25T03:00:00.000000000,2024-07-17 00:00:00,3.1,223.96,211.35083
2022-07-25T04:00:00.000000000,2024-07-17 00:00:00,3.1,222.91,199.50352
2022-07-25T05:00:00.000000000,2024-07-17 00:00:00,3.1,214.9,206.95318
2022-07-25T06:00:00.000000000,2024-07-17 00:00:00,3.1,199.58,203.57783
2022-07-25T07:00:00.000000000,2024-07-17 00:00:00,3.1,179.3,200.58699
2022-07-25T08:00:00.000000000,2024-07-17 00:00:00,3.1,169.18,185.95488
2022-07-25T09:00:00.000000000,2024-07-17 00:00:00,3.1,163.01,184.98267
2022-07-25T10:00:00.000000000,2024-07-17 00:00:00,3.1,159.91,180.89059
2022-07-25T11:00:00.000000000,2024-07-17 00:00:00,3.1,157.89,177.70869
2022-07-25T12:00:00.000000000,2024-07-17 00:00:00,3.1,162.77,178.10921
2022-07-25T13:00:00.000000000,2024-07-17 00:00:00,3.1,167.52,171.07301
2022-07-25T14:00:00.000000000,2024-07-17 00:00:00,3.1,170.53,171.32821
2022-07-25T15:00:00.000000000,2024-07-17 00:00:00,3.1,165.05,170.1638
2022-07-25T16:00:00.000000000,2024-07-17 00:00:00,3.1,155.32,176.56166
2022-07-25T17:00:00.000000000,2024-07-17 00:00:00,3.1,174.32,175.88694
2022-07-25T18:00:00.000000000,2024-07-17 00:00:00,3.1,185.29,174.73632
2022-07-25T19:00:00.000000000,2024-07-17 00:00:00,3.1,192.52,178.9117
2022-07-25T20:00:00.000000000,2024-07-17 00:00:00,3.1,204.88,182.46163
2022-07-25T21:00:00.000000000,2024-07-17 00:00:00,3.1,209.4,186.24407
2022-07-25T22:00:00.000000000,2024-07-17 00:00:00,3.1,208.94,202.97202
2022-07-25T23:00:00.000000000,2024-07-17 00:00:00,3.1,210.98,205.15475
2022-07-26T00:00:00.000000000,2024-07-17 00:00:00,3.1,215.58,209.64483
2022-07-26T01:00:00.000000000,2024-07-17 00:00:00,3.1,218.74,216.61516
2022-07-26T02:00:00.000000000,2024-07-17 00:00:00,3.1,222.3,214.21548
2022-07-26T03:00:00.000000000,2024-07-17 00:00:00,3.1,225.82,216.31529
2022-07-26T04:00:00.000000000,2024-07-17 00:00:00,3.1,226.68,202.14369
2022-07-26T05:00:00.000000000,2024-07-17 00:00:00,3.1,220.62,213.47366
2022-07-26T06:00:00.000000000,2024-07-17 00:00:00,3.1,214.73,205.49485
2022-07-26T07:00:00.000000000,2024-07-17 00:00:00,3.1,206.4,203.14555
2022-07-26T08:00:00.000000000,2024-07-17 00:00:00,3.1,195.16,195.29452
2022-07-26T09:00:00.000000000,2024-07-17 00:00:00,3.1,189.83,192.12191
2022-07-26T10:00:00.000000000,2024-07-17 00:00:00,3.1,187.06,188.43426
2022-07-26T11:00:00.000000000,2024-07-17 00:00:00,3.1,177.71,180.4423
2022-07-26T12:00:00.000000000,2024-07-17 00:00:00,3.1,180.38,180.18803
2022-07-26T13:00:00.000000000,2024-07-17 00:00:00,3.1,185.64,177.08344
2022-07-26T14:00:00.000000000,2024-07-17 00:00:00,3.1,181.08,174.76143
2022-07-26T15:00:00.000000000,2024-07-17 00:00:00,3.1,174.7,171.30791
2022-07-26T16:00:00.000000000,2024-07-17 00:00:00,3.1,168.25,178.19133
2022-07-26T17:00:00.000000000,2024-07-17 00:00:00,3.1,171.81,177.27225
2022-07-26T18:00:00.000000000,2024-07-17 00:00:00,3.1,173.3,180.48743
2022-07-26T19:00:00.000000000,2024-07-17 00:00:00,3.1,172.55,186.0939
2022-07-26T20:00:00.000000000,2024-07-17 00:00:00,3.1,188.29,189.01251
2022-07-26T21:00:00.000000000,2024-07-17 00:00:00,3.1,201.7,194.30414
2022-07-26T22:00:00.000000000,2024-07-17 00:00:00,3.1,205.08,209.64479
2022-07-26T23:00:00.000000000,2024-07-17 00:00:00,3.1,207.99,211.99945
2022-07-27T00:00:00.000000000,2024-07-17 00:00:00,3.1,209.15,206.37387
2022-07-27T01:00:00.000000000,2024-07-17 00:00:00,3.1,216.46,213.67334
2022-07-27T02:00:00.000000000,2024-07-17 00:00:00,3.1,226.16,211.92153
2022-07-27T03:00:00.000000000,2024-07-17 00:00:00,3.1,230.58,212.27587
2022-07-27T04:00:00.000000000,2024-07-17 00:00:00,3.1,230.41,200.49635
2022-07-27T05:00:00.000000000,2024-07-17 00:00:00,3.1,226.81,210.42856
2022-07-27T06:00:00.000000000,2024-07-17 00:00:00,3.1,218.37,203.69621
2022-07-27T07:00:00.000000000,2024-07-17 00:00:00,3.1,203.07,201.59902
2022-07-27T08:00:00.000000000,2024-07-17 00:00:00,3.1,186.61,193.9696
2022-07-27T09:00:00.000000000,2024-07-17 00:00:00,3.1,180.13,191.3407
2022-07-27T10:00:00.000000000,2024-07-17 00:00:00,3.1,167.9,187.31766
2022-07-27T11:00:00.000000000,2024-07-17 00:00:00,3.1,162.22,180.32444
2022-07-27T12:00:00.000000000,2024-07-17 00:00:00,3.1,163.75,180.83934
2022-07-27T13:00:00.000000000,2024-07-17 00:00:00,3.1,171.35,177.67772
2022-07-27T14:00:00.000000000,2024-07-17 00:00:00,3.1,166.47,176.39657
2022-07-27T15:00:00.000000000,2024-07-17 00:00:00,3.1,162.18,173.10378
2022-07-27T16:00:00.000000000,2024-07-17 00:00:00,3.1,163.29,178.59105
2022-07-27T17:00:00.000000000,2024-07-17 00:00:00,3.1,160.24,176.70702
2022-07-27T18:00:00.000000000,2024-07-17 00:00:00,3.1,169.19,180.11113
2022-07-27T19:00:00.000000000,2024-07-17 00:00:00,3.1,174.77,184.4033
2022-07-27T20:00:00.000000000,2024-07-17 00:00:00,3.1,184.31,187.79979
2022-07-27T21:00:00.000000000,2024-07-17 00:00:00,3.1,203.39,192.64411
2022-07-27T22:00:00.000000000,2024-07-17 00:00:00,3.1,214.66,207.72128
2022-07-27T23:00:00.000000000,2024-07-17 00:00:00,3.1,210.29,209.29868
