UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2023-01-29T00:00:00.000000000,2024-07-17 00:00:00,3.1,233.1,265.66448
2023-01-29T01:00:00.000000000,2024-07-17 00:00:00,3.1,221.56,254.54984
2023-01-29T02:00:00.000000000,2024-07-17 00:00:00,3.1,209.14,264.54615
2023-01-29T03:00:00.000000000,2024-07-17 00:00:00,3.1,210.4,249.82993
2023-01-29T04:00:00.000000000,2024-07-17 00:00:00,3.1,210.22,250.18542
2023-01-29T05:00:00.000000000,2024-07-17 00:00:00,3.1,209.13,248.27318
2023-01-29T06:00:00.000000000,2024-07-17 00:00:00,3.1,211.14,254.33394
2023-01-29T07:00:00.000000000,2024-07-17 00:00:00,3.1,205.88,250.7465
2023-01-29T08:00:00.000000000,2024-07-17 00:00:00,3.1,201.36,272.20981
2023-01-29T09:00:00.000000000,2024-07-17 00:00:00,3.1,203.52,277.24235
2023-01-29T10:00:00.000000000,2024-07-17 00:00:00,3.1,203.01,281.56695
2023-01-29T11:00:00.000000000,2024-07-17 00:00:00,3.1,206.2,300.77956
2023-01-29T12:00:00.000000000,2024-07-17 00:00:00,3.1,216.99,308.13564
2023-01-29T13:00:00.000000000,2024-07-17 00:00:00,3.1,232.16,316.23697
2023-01-29T14:00:00.000000000,2024-07-17 00:00:00,3.1,244.96,338.4572
2023-01-29T15:00:00.000000000,2024-07-17 00:00:00,3.1,264.82,340.18878
2023-01-29T16:00:00.000000000,2024-07-17 00:00:00,3.1,279.54,347.36024
2023-01-29T17:00:00.000000000,2024-07-17 00:00:00,3.1,302.34,370.43163
2023-01-29T18:00:00.000000000,2024-07-17 00:00:00,3.1,315.16,386.05157
2023-01-29T19:00:00.000000000,2024-07-17 00:00:00,3.1,320.23,378.05219
2023-01-29T20:00:00.000000000,2024-07-17 00:00:00,3.1,313.41,375.97124
2023-01-29T21:00:00.000000000,2024-07-17 00:00:00,3.1,321.29,379.3237
2023-01-29T22:00:00.000000000,2024-07-17 00:00:00,3.1,318.8,364.93629
2023-01-29T23:00:00.000000000,2024-07-17 00:00:00,3.1,322.73,372.10675
2023-01-30T00:00:00.000000000,2024-07-17 00:00:00,3.1,326.06,364.81216
2023-01-30T01:00:00.000000000,2024-07-17 00:00:00,3.1,329.58,347.072
2023-01-30T02:00:00.000000000,2024-07-17 00:00:00,3.1,324.9,355.57795
2023-01-30T03:00:00.000000000,2024-07-17 00:00:00,3.1,314.52,325.3158
2023-01-30T04:00:00.000000000,2024-07-17 00:00:00,3.1,307.45,333.56971
2023-01-30T05:00:00.000000000,2024-07-17 00:00:00,3.1,308.49,319.17745
2023-01-30T06:00:00.000000000,2024-07-17 00:00:00,3.1,290.25,322.50103
2023-01-30T07:00:00.000000000,2024-07-17 00:00:00,3.1,284.18,309.89626
2023-01-30T08:00:00.000000000,2024-07-17 00:00:00,3.1,278.86,333.73079
