UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2023-01-01T00:00:00.000000000,2024-07-17 00:00:00,3.1,442.04,363.48962
2023-01-01T01:00:00.000000000,2024-07-17 00:00:00,3.1,409.79,354.61245
2023-01-01T02:00:00.000000000,2024-07-17 00:00:00,3.1,381.09,346.88902
2023-01-01T03:00:00.000000000,2024-07-17 00:00:00,3.1,367.39,338.45328
2023-01-01T04:00:00.000000000,2024-07-17 00:00:00,3.1,345.77,329.43889
2023-01-01T05:00:00.000000000,2024-07-17 00:00:00,3.1,347.32,319.89048
2023-01-01T06:00:00.000000000,2024-07-17 00:00:00,3.1,343.51,313.28589
2023-01-01T07:00:00.000000000,2024-07-17 00:00:00,3.1,353.85,312.06878
2023-01-01T08:00:00.000000000,2024-07-17 00:00:00,3.1,366.02,309.22381
2023-01-01T09:00:00.000000000,2024-07-17 00:00:00,3.1,364.06,310.02187
2023-01-01T10:00:00.000000000,2024-07-17 00:00:00,3.1,348.83,319.7417
2023-01-01T11:00:00.000000000,2024-07-17 00:00:00,3.1,349.68,328.89335
2023-01-01T12:00:00.000000000,2024-07-17 00:00:00,3.1,365.95,338.34427
2023-01-01T13:00:00.000000000,2024-07-17 00:00:00,3.1,374.62,350.79169
2023-01-01T14:00:00.000000000,2024-07-17 00:00:00,3.1,383.11,368.83272
2023-01-01T15:00:00.000000000,2024-07-17 00:00:00,3.1,384.03,382.39203
2023-01-01T16:00:00.000000000,2024-07-17 00:00:00,3.1,418.73,397.69196
2023-01-01T17:00:00.000000000,2024-07-17 00:00:00,3.1,458.1,410.63058
2023-01-01T18:00:00.000000000,2024-07-17 00:00:00,3.1,480.02,422.71214
2023-01-01T19:00:00.000000000,2024-07-17 00:00:00,3.1,496.18,431.39552
2023-01-01T20:00:00.000000000,2024-07-17 00:00:00,3.1,501.37,438.41898
2023-01-01T21:00:00.000000000,2024-07-17 00:00:00,3.1,518.96,442.09709
2023-01-01T22:00:00.000000000,2024-07-17 00:00:00,3.1,515.29,441.47922
2023-01-01T23:00:00.000000000,2024-07-17 00:00:00,3.1,497.47,440.5948
2023-01-02T00:00:00.000000000,2024-07-17 00:00:00,3.1,449.87,369.31761
2023-01-02T01:00:00.000000000,2024-07-17 00:00:00,3.1,395.32,360.15135
2023-01-02T02:00:00.000000000,2024-07-17 00:00:00,3.1,368.44,348.80799
2023-01-02T03:00:00.000000000,2024-07-17 00:00:00,3.1,356.82,341.46938
2023-01-02T04:00:00.000000000,2024-07-17 00:00:00,3.1,377.33,327.6634
2023-01-02T05:00:00.000000000,2024-07-17 00:00:00,3.1,384.42,316.69456
2023-01-02T06:00:00.000000000,2024-07-17 00:00:00,3.1,375.29,311.16321
2023-01-02T07:00:00.000000000,2024-07-17 00:00:00,3.1,368.13,311.02332
2023-01-02T08:00:00.000000000,2024-07-17 00:00:00,3.1,352.64,311.17067
2023-01-02T09:00:00.000000000,2024-07-17 00:00:00,3.1,341.36,313.12332
2023-01-02T10:00:00.000000000,2024-07-17 00:00:00,3.1,326.89,329.95638
2023-01-02T11:00:00.000000000,2024-07-17 00:00:00,3.1,333.26,345.06921
2023-01-02T12:00:00.000000000,2024-07-17 00:00:00,3.1,359.77,362.13185
2023-01-02T13:00:00.000000000,2024-07-17 00:00:00,3.1,346.45,381.5622
2023-01-02T14:00:00.000000000,2024-07-17 00:00:00,3.1,315.89,408.57394
2023-01-02T15:00:00.000000000,2024-07-17 00:00:00,3.1,317.16,427.3655
