UTC time,nat_gas,hydro
2023-07-06 00:00:00,229.0,80.0
2023-07-06 01:00:00,222.0,80.0
2023-07-06 02:00:00,264.0,80.0
2023-07-06 03:00:00,326.0,79.0
2023-07-06 04:00:00,331.0,70.0
2023-07-06 05:00:00,335.0,69.0
2023-07-06 06:00:00,303.0,68.0
2023-07-06 07:00:00,235.0,69.0
2023-07-06 08:00:00,249.0,67.0
2023-07-06 09:00:00,211.0,67.0
2023-07-06 10:00:00,198.0,67.0
2023-07-06 11:00:00,199.0,67.0
2023-07-06 12:00:00,208.0,67.0
2023-07-06 13:00:00,224.0,67.0
2023-07-06 14:00:00,220.0,67.0
2023-07-06 15:00:00,198.0,67.0
2023-07-06 16:00:00,234.0,67.0
2023-07-06 17:00:00,240.0,67.0
2023-07-06 18:00:00,205.0,66.0
2023-07-06 19:00:00,208.0,66.0
2023-07-06 20:00:00,215.0,67.0
2023-07-06 21:00:00,211.0,66.0
2023-07-06 22:00:00,200.0,76.0
2023-07-06 23:00:00,195.0,78.0
