Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,nat_gas,hydro
40680,2023-08-23 00:00:00,2024-07-17 00:00:00,3.1,320.4,180.0,103.0
40681,2023-08-23 01:00:00,2024-07-17 00:00:00,3.1,333.67,208.0,105.0
40682,2023-08-23 02:00:00,2024-07-17 00:00:00,3.1,346.51,236.0,105.0
40683,2023-08-23 03:00:00,2024-07-17 00:00:00,3.1,360.9,274.0,105.0
40684,2023-08-23 04:00:00,2024-07-17 00:00:00,3.1,352.71,249.0,104.0
40685,2023-08-23 05:00:00,2024-07-17 00:00:00,3.1,358.3,231.0,91.0
40686,2023-08-23 06:00:00,2024-07-17 00:00:00,3.1,354.46,217.0,89.0
40687,2023-08-23 07:00:00,2024-07-17 00:00:00,3.1,347.97,203.0,89.0
40688,2023-08-23 08:00:00,2024-07-17 00:00:00,3.1,360.85,193.0,74.0
40689,2023-08-23 09:00:00,2024-07-17 00:00:00,3.1,358.15,185.0,73.0
40690,2023-08-23 10:00:00,2024-07-17 00:00:00,3.1,357.88,187.0,74.0
40691,2023-08-23 11:00:00,2024-07-17 00:00:00,3.1,356.86,185.0,74.0
40692,2023-08-23 12:00:00,2024-07-17 00:00:00,3.1,358.15,185.0,73.0
40693,2023-08-23 13:00:00,2024-07-17 00:00:00,3.1,368.94,208.0,73.0
40694,2023-08-23 14:00:00,2024-07-17 00:00:00,3.1,392.07,218.0,58.0
40695,2023-08-23 15:00:00,2024-07-17 00:00:00,3.1,385.64,201.0,58.0
40696,2023-08-23 16:00:00,2024-07-17 00:00:00,3.1,402.75,191.0,44.0
40697,2023-08-23 17:00:00,2024-07-17 00:00:00,3.1,401.44,179.0,42.0
40698,2023-08-23 18:00:00,2024-07-17 00:00:00,3.1,396.35,167.0,42.0
40699,2023-08-23 19:00:00,2024-07-17 00:00:00,3.1,405.81,195.0,43.0
40700,2023-08-23 20:00:00,2024-07-17 00:00:00,3.1,394.83,226.0,58.0
40701,2023-08-23 21:00:00,2024-07-17 00:00:00,3.1,375.07,223.0,73.0
40702,2023-08-23 22:00:00,2024-07-17 00:00:00,3.1,378.1,231.0,73.0
40703,2023-08-23 23:00:00,2024-07-17 00:00:00,3.1,394.44,314.0,81.0
