UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2023-08-20T00:00:00.000000000,2024-07-17 00:00:00,3.1,232.11,235.16089
2023-08-20T01:00:00.000000000,2024-07-17 00:00:00,3.1,230.38,236.99898
2023-08-20T02:00:00.000000000,2024-07-17 00:00:00,3.1,233.38,236.38116
2023-08-20T03:00:00.000000000,2024-07-17 00:00:00,3.1,234.94,238.37712
2023-08-20T04:00:00.000000000,2024-07-17 00:00:00,3.1,230.38,235.86754
2023-08-20T05:00:00.000000000,2024-07-17 00:00:00,3.1,231.54,241.17612
2023-08-20T06:00:00.000000000,2024-07-17 00:00:00,3.1,237.46,237.21175
2023-08-20T07:00:00.000000000,2024-07-17 00:00:00,3.1,238.57,243.87804
2023-08-20T08:00:00.000000000,2024-07-17 00:00:00,3.1,248.59,242.58447
2023-08-20T09:00:00.000000000,2024-07-17 00:00:00,3.1,258.63,244.10447
2023-08-20T10:00:00.000000000,2024-07-17 00:00:00,3.1,272.29,243.84537
2023-08-20T11:00:00.000000000,2024-07-17 00:00:00,3.1,274.56,240.08454
2023-08-20T12:00:00.000000000,2024-07-17 00:00:00,3.1,273.88,240.80254
2023-08-20T13:00:00.000000000,2024-07-17 00:00:00,3.1,269.59,237.95822
2023-08-20T14:00:00.000000000,2024-07-17 00:00:00,3.1,269.59,244.30658
2023-08-20T15:00:00.000000000,2024-07-17 00:00:00,3.1,269.96,238.93905
2023-08-20T16:00:00.000000000,2024-07-17 00:00:00,3.1,271.16,240.6791
2023-08-20T17:00:00.000000000,2024-07-17 00:00:00,3.1,255.85,240.17892
2023-08-20T18:00:00.000000000,2024-07-17 00:00:00,3.1,249.38,241.97317
2023-08-20T19:00:00.000000000,2024-07-17 00:00:00,3.1,243.78,238.61797
2023-08-20T20:00:00.000000000,2024-07-17 00:00:00,3.1,243.42,238.59756
2023-08-20T21:00:00.000000000,2024-07-17 00:00:00,3.1,247.45,239.90525
2023-08-20T22:00:00.000000000,2024-07-17 00:00:00,3.1,247.83,241.72625
2023-08-20T23:00:00.000000000,2024-07-17 00:00:00,3.1,238.57,238.22147
2023-08-21T00:00:00.000000000,2024-07-17 00:00:00,3.1,239.48,244.33536
2023-08-21T01:00:00.000000000,2024-07-17 00:00:00,3.1,236.36,247.37421
2023-08-21T02:00:00.000000000,2024-07-17 00:00:00,3.1,235.45,247.06504
2023-08-21T03:00:00.000000000,2024-07-17 00:00:00,3.1,236.27,247.56189
2023-08-21T04:00:00.000000000,2024-07-17 00:00:00,3.1,217.95,247.35275
2023-08-21T05:00:00.000000000,2024-07-17 00:00:00,3.1,230.43,252.21122
2023-08-21T06:00:00.000000000,2024-07-17 00:00:00,3.1,231.08,247.55339
2023-08-21T07:00:00.000000000,2024-07-17 00:00:00,3.1,240.5,253.62395
2023-08-21T08:00:00.000000000,2024-07-17 00:00:00,3.1,258.24,251.93053
2023-08-21T09:00:00.000000000,2024-07-17 00:00:00,3.1,261.27,254.32526
2023-08-21T10:00:00.000000000,2024-07-17 00:00:00,3.1,260.65,252.92269
2023-08-21T11:00:00.000000000,2024-07-17 00:00:00,3.1,258.85,250.57735
2023-08-21T12:00:00.000000000,2024-07-17 00:00:00,3.1,257.93,251.31504
2023-08-21T13:00:00.000000000,2024-07-17 00:00:00,3.1,267.69,248.08601
2023-08-21T14:00:00.000000000,2024-07-17 00:00:00,3.1,260.88,253.18186
2023-08-21T15:00:00.000000000,2024-07-17 00:00:00,3.1,262.03,247.86082
2023-08-21T16:00:00.000000000,2024-07-17 00:00:00,3.1,246.67,249.90098
2023-08-21T17:00:00.000000000,2024-07-17 00:00:00,3.1,243.35,249.60468
2023-08-21T18:00:00.000000000,2024-07-17 00:00:00,3.1,253.64,251.363
2023-08-21T19:00:00.000000000,2024-07-17 00:00:00,3.1,246.25,248.72222
2023-08-21T20:00:00.000000000,2024-07-17 00:00:00,3.1,247.06,248.69001
2023-08-21T21:00:00.000000000,2024-07-17 00:00:00,3.1,245.87,250.16778
2023-08-21T22:00:00.000000000,2024-07-17 00:00:00,3.1,242.2,250.54836
2023-08-21T23:00:00.000000000,2024-07-17 00:00:00,3.1,229.16,248.46579
2023-08-22T00:00:00.000000000,2024-07-17 00:00:00,3.1,232.72,254.15457
2023-08-22T01:00:00.000000000,2024-07-17 00:00:00,3.1,248.02,256.75958
2023-08-22T02:00:00.000000000,2024-07-17 00:00:00,3.1,244.79,255.75484
2023-08-22T03:00:00.000000000,2024-07-17 00:00:00,3.1,255.26,257.06205
2023-08-22T04:00:00.000000000,2024-07-17 00:00:00,3.1,252.81,257.27878
2023-08-22T05:00:00.000000000,2024-07-17 00:00:00,3.1,250.69,263.23198
2023-08-22T06:00:00.000000000,2024-07-17 00:00:00,3.1,242.86,256.57504
2023-08-22T07:00:00.000000000,2024-07-17 00:00:00,3.1,242.86,266.54895
2023-08-22T08:00:00.000000000,2024-07-17 00:00:00,3.1,246.67,263.28176
2023-08-22T09:00:00.000000000,2024-07-17 00:00:00,3.1,257.79,266.57554
2023-08-22T10:00:00.000000000,2024-07-17 00:00:00,3.1,259.76,264.55922
2023-08-22T11:00:00.000000000,2024-07-17 00:00:00,3.1,259.76,262.77549
2023-08-22T12:00:00.000000000,2024-07-17 00:00:00,3.1,260.65,261.66726
2023-08-22T13:00:00.000000000,2024-07-17 00:00:00,3.1,269.59,259.98596
2023-08-22T14:00:00.000000000,2024-07-17 00:00:00,3.1,287.78,263.92015
2023-08-22T15:00:00.000000000,2024-07-17 00:00:00,3.1,277.5,260.2352
2023-08-22T16:00:00.000000000,2024-07-17 00:00:00,3.1,275.46,262.11875
2023-08-22T17:00:00.000000000,2024-07-17 00:00:00,3.1,273.33,259.17571
2023-08-22T18:00:00.000000000,2024-07-17 00:00:00,3.1,273.77,258.76798
2023-08-22T19:00:00.000000000,2024-07-17 00:00:00,3.1,272.54,256.99443
2023-08-22T20:00:00.000000000,2024-07-17 00:00:00,3.1,263.84,256.3989
2023-08-22T21:00:00.000000000,2024-07-17 00:00:00,3.1,255.44,258.18191
2023-08-22T22:00:00.000000000,2024-07-17 00:00:00,3.1,240.28,256.99667
2023-08-22T23:00:00.000000000,2024-07-17 00:00:00,3.1,247.52,255.95278
2023-08-23T00:00:00.000000000,2024-07-17 00:00:00,3.1,235.34,262.62886
2023-08-23T01:00:00.000000000,2024-07-17 00:00:00,3.1,245.88,264.85986
2023-08-23T02:00:00.000000000,2024-07-17 00:00:00,3.1,256.07,264.25958
2023-08-23T03:00:00.000000000,2024-07-17 00:00:00,3.1,267.49,264.80301
2023-08-23T04:00:00.000000000,2024-07-17 00:00:00,3.1,260.99,266.04477
2023-08-23T05:00:00.000000000,2024-07-17 00:00:00,3.1,265.43,272.55203
2023-08-23T06:00:00.000000000,2024-07-17 00:00:00,3.1,262.39,264.49803
2023-08-23T07:00:00.000000000,2024-07-17 00:00:00,3.1,257.23,276.28692
2023-08-23T08:00:00.000000000,2024-07-17 00:00:00,3.1,267.45,272.15971
2023-08-23T09:00:00.000000000,2024-07-17 00:00:00,3.1,265.31,275.84314
2023-08-23T10:00:00.000000000,2024-07-17 00:00:00,3.1,265.1,273.91266
2023-08-23T11:00:00.000000000,2024-07-17 00:00:00,3.1,264.29,272.24984
2023-08-23T12:00:00.000000000,2024-07-17 00:00:00,3.1,265.31,270.17367
2023-08-23T13:00:00.000000000,2024-07-17 00:00:00,3.1,273.88,269.33499
2023-08-23T14:00:00.000000000,2024-07-17 00:00:00,3.1,292.25,272.61322
2023-08-23T15:00:00.000000000,2024-07-17 00:00:00,3.1,287.14,269.06066
2023-08-23T16:00:00.000000000,2024-07-17 00:00:00,3.1,300.72,271.77897
2023-08-23T17:00:00.000000000,2024-07-17 00:00:00,3.1,299.68,267.81711
2023-08-23T18:00:00.000000000,2024-07-17 00:00:00,3.1,295.65,267.11973
2023-08-23T19:00:00.000000000,2024-07-17 00:00:00,3.1,303.15,265.53201
2023-08-23T20:00:00.000000000,2024-07-17 00:00:00,3.1,294.44,264.17384
2023-08-23T21:00:00.000000000,2024-07-17 00:00:00,3.1,278.75,266.12415
2023-08-23T22:00:00.000000000,2024-07-17 00:00:00,3.1,281.15,264.58926
2023-08-23T23:00:00.000000000,2024-07-17 00:00:00,3.1,294.13,263.16635
