UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2022-07-04T00:00:00.000000000,2024-07-17 00:00:00,3.1,391.67,396.76809
2022-07-04T01:00:00.000000000,2024-07-17 00:00:00,3.1,368.0,398.51975
2022-07-04T02:00:00.000000000,2024-07-17 00:00:00,3.1,347.19,399.48005
2022-07-04T03:00:00.000000000,2024-07-17 00:00:00,3.1,347.77,401.58261
2022-07-04T04:00:00.000000000,2024-07-17 00:00:00,3.1,376.21,405.80732
2022-07-04T05:00:00.000000000,2024-07-17 00:00:00,3.1,388.11,404.11907
2022-07-04T06:00:00.000000000,2024-07-17 00:00:00,3.1,401.42,403.93829
2022-07-04T07:00:00.000000000,2024-07-17 00:00:00,3.1,422.5,405.55141
2022-07-04T08:00:00.000000000,2024-07-17 00:00:00,3.1,447.2,403.1738
2022-07-04T09:00:00.000000000,2024-07-17 00:00:00,3.1,451.57,407.53397
2022-07-04T10:00:00.000000000,2024-07-17 00:00:00,3.1,452.62,407.02093
2022-07-04T11:00:00.000000000,2024-07-17 00:00:00,3.1,452.62,406.63797
2022-07-04T12:00:00.000000000,2024-07-17 00:00:00,3.1,452.42,409.42676
2022-07-04T13:00:00.000000000,2024-07-17 00:00:00,3.1,452.82,411.36707
2022-07-04T14:00:00.000000000,2024-07-17 00:00:00,3.1,453.21,409.22809
2022-07-04T15:00:00.000000000,2024-07-17 00:00:00,3.1,452.62,408.54292
2022-07-04T16:00:00.000000000,2024-07-17 00:00:00,3.1,452.62,405.36608
2022-07-04T17:00:00.000000000,2024-07-17 00:00:00,3.1,452.42,404.17334
2022-07-04T18:00:00.000000000,2024-07-17 00:00:00,3.1,452.62,401.24431
2022-07-04T19:00:00.000000000,2024-07-17 00:00:00,3.1,450.34,398.48965
2022-07-04T20:00:00.000000000,2024-07-17 00:00:00,3.1,450.55,398.66001
2022-07-04T21:00:00.000000000,2024-07-17 00:00:00,3.1,419.19,395.15704
2022-07-04T22:00:00.000000000,2024-07-17 00:00:00,3.1,393.81,396.90009
2022-07-04T23:00:00.000000000,2024-07-17 00:00:00,3.1,368.52,397.03056
