UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2022-08-05T00:00:00.000000000,2024-07-17 00:00:00,3.1,539.85,566.41431
2022-08-05T01:00:00.000000000,2024-07-17 00:00:00,3.1,549.16,567.56082
2022-08-05T02:00:00.000000000,2024-07-17 00:00:00,3.1,547.4,566.40743
2022-08-05T03:00:00.000000000,2024-07-17 00:00:00,3.1,540.36,562.57918
2022-08-05T04:00:00.000000000,2024-07-17 00:00:00,3.1,548.7,557.36508
2022-08-05T05:00:00.000000000,2024-07-17 00:00:00,3.1,562.92,549.54173
2022-08-05T06:00:00.000000000,2024-07-17 00:00:00,3.1,581.44,541.97635
2022-08-05T07:00:00.000000000,2024-07-17 00:00:00,3.1,584.21,536.92328
2022-08-05T08:00:00.000000000,2024-07-17 00:00:00,3.1,579.61,534.21126
2022-08-05T09:00:00.000000000,2024-07-17 00:00:00,3.1,587.6,532.23649
2022-08-05T10:00:00.000000000,2024-07-17 00:00:00,3.1,597.57,534.51285
2022-08-05T11:00:00.000000000,2024-07-17 00:00:00,3.1,596.1,538.12896
2022-08-05T12:00:00.000000000,2024-07-17 00:00:00,3.1,609.91,543.20115
2022-08-05T13:00:00.000000000,2024-07-17 00:00:00,3.1,599.42,547.0425
2022-08-05T14:00:00.000000000,2024-07-17 00:00:00,3.1,579.92,549.40052
2022-08-05T15:00:00.000000000,2024-07-17 00:00:00,3.1,568.02,549.72275
2022-08-05T16:00:00.000000000,2024-07-17 00:00:00,3.1,566.67,547.81062
2022-08-05T17:00:00.000000000,2024-07-17 00:00:00,3.1,552.45,544.22248
2022-08-05T18:00:00.000000000,2024-07-17 00:00:00,3.1,536.58,539.47821
2022-08-05T19:00:00.000000000,2024-07-17 00:00:00,3.1,533.76,535.78481
2022-08-05T20:00:00.000000000,2024-07-17 00:00:00,3.1,532.03,534.3755
2022-08-05T21:00:00.000000000,2024-07-17 00:00:00,3.1,529.22,532.41818
2022-08-05T22:00:00.000000000,2024-07-17 00:00:00,3.1,525.84,533.39451
2022-08-05T23:00:00.000000000,2024-07-17 00:00:00,3.1,522.67,536.22224
2022-08-06T00:00:00.000000000,2024-07-17 00:00:00,3.1,525.76,550.19566
2022-08-06T01:00:00.000000000,2024-07-17 00:00:00,3.1,522.31,550.44928
2022-08-06T02:00:00.000000000,2024-07-17 00:00:00,3.1,503.67,547.92107
2022-08-06T03:00:00.000000000,2024-07-17 00:00:00,3.1,491.68,544.1711
2022-08-06T04:00:00.000000000,2024-07-17 00:00:00,3.1,491.36,539.86991
2022-08-06T05:00:00.000000000,2024-07-17 00:00:00,3.1,505.57,534.71352
2022-08-06T06:00:00.000000000,2024-07-17 00:00:00,3.1,510.76,531.59987
2022-08-06T07:00:00.000000000,2024-07-17 00:00:00,3.1,521.38,531.81138
2022-08-06T08:00:00.000000000,2024-07-17 00:00:00,3.1,515.91,533.68692
2022-08-06T09:00:00.000000000,2024-07-17 00:00:00,3.1,520.57,535.43473
2022-08-06T10:00:00.000000000,2024-07-17 00:00:00,3.1,505.08,539.49624
2022-08-06T11:00:00.000000000,2024-07-17 00:00:00,3.1,497.06,542.81858
2022-08-06T12:00:00.000000000,2024-07-17 00:00:00,3.1,488.19,545.92424
2022-08-06T13:00:00.000000000,2024-07-17 00:00:00,3.1,495.74,545.99279
2022-08-06T14:00:00.000000000,2024-07-17 00:00:00,3.1,503.35,543.38925
2022-08-06T15:00:00.000000000,2024-07-17 00:00:00,3.1,510.81,538.7964
2022-08-06T16:00:00.000000000,2024-07-17 00:00:00,3.1,518.88,532.77098
2022-08-06T17:00:00.000000000,2024-07-17 00:00:00,3.1,519.24,526.81967
2022-08-06T18:00:00.000000000,2024-07-17 00:00:00,3.1,509.05,520.93812
2022-08-06T19:00:00.000000000,2024-07-17 00:00:00,3.1,490.3,517.28624
2022-08-06T20:00:00.000000000,2024-07-17 00:00:00,3.1,489.63,516.42279
2022-08-06T21:00:00.000000000,2024-07-17 00:00:00,3.1,517.08,515.97709
2022-08-06T22:00:00.000000000,2024-07-17 00:00:00,3.1,540.35,517.93298
2022-08-06T23:00:00.000000000,2024-07-17 00:00:00,3.1,541.45,520.36952
2022-08-07T00:00:00.000000000,2024-07-17 00:00:00,3.1,541.72,543.3723
2022-08-07T01:00:00.000000000,2024-07-17 00:00:00,3.1,544.95,544.15534
2022-08-07T02:00:00.000000000,2024-07-17 00:00:00,3.1,547.44,544.31758
2022-08-07T03:00:00.000000000,2024-07-17 00:00:00,3.1,552.64,541.73735
2022-08-07T04:00:00.000000000,2024-07-17 00:00:00,3.1,552.15,540.08098
2022-08-07T05:00:00.000000000,2024-07-17 00:00:00,3.1,548.73,537.03394
