UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2022-08-13T00:00:00.000000000,2024-07-17 00:00:00,3.1,621.07,640.0127
2022-08-13T01:00:00.000000000,2024-07-17 00:00:00,3.1,620.7,641.19094
2022-08-13T02:00:00.000000000,2024-07-17 00:00:00,3.1,588.93,644.38001
2022-08-13T03:00:00.000000000,2024-07-17 00:00:00,3.1,535.05,644.98788
2022-08-13T04:00:00.000000000,2024-07-17 00:00:00,3.1,517.4,643.41809
2022-08-13T05:00:00.000000000,2024-07-17 00:00:00,3.1,516.52,647.78253
2022-08-13T06:00:00.000000000,2024-07-17 00:00:00,3.1,529.41,648.30125
2022-08-13T07:00:00.000000000,2024-07-17 00:00:00,3.1,529.49,644.92046
2022-08-13T08:00:00.000000000,2024-07-17 00:00:00,3.1,532.03,646.53229
2022-08-13T09:00:00.000000000,2024-07-17 00:00:00,3.1,541.59,653.19863
2022-08-13T10:00:00.000000000,2024-07-17 00:00:00,3.1,550.45,656.3141
2022-08-13T11:00:00.000000000,2024-07-17 00:00:00,3.1,519.79,662.88637
2022-08-13T12:00:00.000000000,2024-07-17 00:00:00,3.1,482.61,668.34665
2022-08-13T13:00:00.000000000,2024-07-17 00:00:00,3.1,513.55,673.42326
2022-08-13T14:00:00.000000000,2024-07-17 00:00:00,3.1,546.95,682.70011
2022-08-13T15:00:00.000000000,2024-07-17 00:00:00,3.1,564.66,684.71935
2022-08-13T16:00:00.000000000,2024-07-17 00:00:00,3.1,560.87,680.38639
2022-08-13T17:00:00.000000000,2024-07-17 00:00:00,3.1,555.69,680.57066
2022-08-13T18:00:00.000000000,2024-07-17 00:00:00,3.1,556.38,672.44322
2022-08-13T19:00:00.000000000,2024-07-17 00:00:00,3.1,571.1,667.46128
2022-08-13T20:00:00.000000000,2024-07-17 00:00:00,3.1,595.86,662.58359
2022-08-13T21:00:00.000000000,2024-07-17 00:00:00,3.1,618.16,656.51393
2022-08-13T22:00:00.000000000,2024-07-17 00:00:00,3.1,631.52,654.65979
2022-08-13T23:00:00.000000000,2024-07-17 00:00:00,3.1,636.04,653.10366
2022-08-14T00:00:00.000000000,2024-07-17 00:00:00,3.1,641.16,646.60101
2022-08-14T01:00:00.000000000,2024-07-17 00:00:00,3.1,641.85,642.63053
2022-08-14T02:00:00.000000000,2024-07-17 00:00:00,3.1,623.36,635.50982
2022-08-14T03:00:00.000000000,2024-07-17 00:00:00,3.1,612.19,633.51582
2022-08-14T04:00:00.000000000,2024-07-17 00:00:00,3.1,629.48,623.90184
2022-08-14T05:00:00.000000000,2024-07-17 00:00:00,3.1,655.44,616.64023
2022-08-14T06:00:00.000000000,2024-07-17 00:00:00,3.1,677.35,603.68875
2022-08-14T07:00:00.000000000,2024-07-17 00:00:00,3.1,676.38,597.44742
2022-08-14T08:00:00.000000000,2024-07-17 00:00:00,3.1,680.24,592.62921
2022-08-14T09:00:00.000000000,2024-07-17 00:00:00,3.1,694.63,591.51822
2022-08-14T10:00:00.000000000,2024-07-17 00:00:00,3.1,717.93,589.60808
2022-08-14T11:00:00.000000000,2024-07-17 00:00:00,3.1,718.24,596.90272
2022-08-14T12:00:00.000000000,2024-07-17 00:00:00,3.1,726.48,597.17021
2022-08-14T13:00:00.000000000,2024-07-17 00:00:00,3.1,717.18,602.8832
2022-08-14T14:00:00.000000000,2024-07-17 00:00:00,3.1,691.64,611.80497
2022-08-14T15:00:00.000000000,2024-07-17 00:00:00,3.1,708.59,607.3687
2022-08-14T16:00:00.000000000,2024-07-17 00:00:00,3.1,724.44,606.69528
2022-08-14T17:00:00.000000000,2024-07-17 00:00:00,3.1,729.58,595.85824
2022-08-14T18:00:00.000000000,2024-07-17 00:00:00,3.1,732.61,594.23022
2022-08-14T19:00:00.000000000,2024-07-17 00:00:00,3.1,730.59,590.97887
2022-08-14T20:00:00.000000000,2024-07-17 00:00:00,3.1,736.1,590.85026
2022-08-14T21:00:00.000000000,2024-07-17 00:00:00,3.1,734.08,585.00131
2022-08-14T22:00:00.000000000,2024-07-17 00:00:00,3.1,731.84,590.64296
2022-08-14T23:00:00.000000000,2024-07-17 00:00:00,3.1,726.42,589.93268
2022-08-15T00:00:00.000000000,2024-07-17 00:00:00,3.1,726.55,607.93785
2022-08-15T01:00:00.000000000,2024-07-17 00:00:00,3.1,721.36,611.97316
2022-08-15T02:00:00.000000000,2024-07-17 00:00:00,3.1,709.56,614.17896
2022-08-15T03:00:00.000000000,2024-07-17 00:00:00,3.1,690.21,614.29948
2022-08-15T04:00:00.000000000,2024-07-17 00:00:00,3.1,687.74,609.46573
2022-08-15T05:00:00.000000000,2024-07-17 00:00:00,3.1,691.44,609.24486
2022-08-15T06:00:00.000000000,2024-07-17 00:00:00,3.1,695.16,605.36188
2022-08-15T07:00:00.000000000,2024-07-17 00:00:00,3.1,672.28,602.54014
2022-08-15T08:00:00.000000000,2024-07-17 00:00:00,3.1,705.2,601.98636
2022-08-15T09:00:00.000000000,2024-07-17 00:00:00,3.1,725.54,607.06471
2022-08-15T10:00:00.000000000,2024-07-17 00:00:00,3.1,712.52,605.45934
2022-08-15T11:00:00.000000000,2024-07-17 00:00:00,3.1,708.83,615.3607
2022-08-15T12:00:00.000000000,2024-07-17 00:00:00,3.1,705.76,623.03312
2022-08-15T13:00:00.000000000,2024-07-17 00:00:00,3.1,727.52,634.66203
2022-08-15T14:00:00.000000000,2024-07-17 00:00:00,3.1,735.86,645.31825
2022-08-15T15:00:00.000000000,2024-07-17 00:00:00,3.1,702.0,649.50161
2022-08-15T16:00:00.000000000,2024-07-17 00:00:00,3.1,663.95,657.31424
2022-08-15T17:00:00.000000000,2024-07-17 00:00:00,3.1,627.95,660.96509
2022-08-15T18:00:00.000000000,2024-07-17 00:00:00,3.1,601.32,666.36007
2022-08-15T19:00:00.000000000,2024-07-17 00:00:00,3.1,606.03,666.46324
2022-08-15T20:00:00.000000000,2024-07-17 00:00:00,3.1,605.09,676.15426
2022-08-15T21:00:00.000000000,2024-07-17 00:00:00,3.1,594.85,672.80324
2022-08-15T22:00:00.000000000,2024-07-17 00:00:00,3.1,586.11,675.49237
2022-08-15T23:00:00.000000000,2024-07-17 00:00:00,3.1,581.36,677.91795
2022-08-16T00:00:00.000000000,2024-07-17 00:00:00,3.1,568.87,638.46176
2022-08-16T01:00:00.000000000,2024-07-17 00:00:00,3.1,565.71,633.56147
2022-08-16T02:00:00.000000000,2024-07-17 00:00:00,3.1,575.92,630.2624
2022-08-16T03:00:00.000000000,2024-07-17 00:00:00,3.1,577.8,624.89573
2022-08-16T04:00:00.000000000,2024-07-17 00:00:00,3.1,573.3,612.21428
2022-08-16T05:00:00.000000000,2024-07-17 00:00:00,3.1,589.91,608.22662
2022-08-16T06:00:00.000000000,2024-07-17 00:00:00,3.1,584.21,597.56135
2022-08-16T07:00:00.000000000,2024-07-17 00:00:00,3.1,584.4,586.00877
2022-08-16T08:00:00.000000000,2024-07-17 00:00:00,3.1,584.54,582.87333
2022-08-16T09:00:00.000000000,2024-07-17 00:00:00,3.1,633.99,583.8543
2022-08-16T10:00:00.000000000,2024-07-17 00:00:00,3.1,670.36,591.93424
2022-08-16T11:00:00.000000000,2024-07-17 00:00:00,3.1,708.91,602.17124
2022-08-16T12:00:00.000000000,2024-07-17 00:00:00,3.1,683.65,609.35448
2022-08-16T13:00:00.000000000,2024-07-17 00:00:00,3.1,683.68,622.07043
2022-08-16T14:00:00.000000000,2024-07-17 00:00:00,3.1,681.58,640.02953
2022-08-16T15:00:00.000000000,2024-07-17 00:00:00,3.1,677.0,649.79457
2022-08-16T16:00:00.000000000,2024-07-17 00:00:00,3.1,677.32,649.45907
2022-08-16T17:00:00.000000000,2024-07-17 00:00:00,3.1,671.98,653.98629
2022-08-16T18:00:00.000000000,2024-07-17 00:00:00,3.1,655.05,649.77832
2022-08-16T19:00:00.000000000,2024-07-17 00:00:00,3.1,649.62,651.50374
2022-08-16T20:00:00.000000000,2024-07-17 00:00:00,3.1,649.06,646.38989
2022-08-16T21:00:00.000000000,2024-07-17 00:00:00,3.1,657.31,642.54278
2022-08-16T22:00:00.000000000,2024-07-17 00:00:00,3.1,666.16,643.07595
2022-08-16T23:00:00.000000000,2024-07-17 00:00:00,3.1,666.36,645.91479
