UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2022-10-21T00:00:00.000000000,2024-07-17 00:00:00,3.1,595.69,596.7081
2022-10-21T01:00:00.000000000,2024-07-17 00:00:00,3.1,596.11,594.95821
2022-10-21T02:00:00.000000000,2024-07-17 00:00:00,3.1,597.58,590.07544
2022-10-21T03:00:00.000000000,2024-07-17 00:00:00,3.1,596.24,581.9569
2022-10-21T04:00:00.000000000,2024-07-17 00:00:00,3.1,587.83,571.6303
2022-10-21T05:00:00.000000000,2024-07-17 00:00:00,3.1,524.8,560.32986
2022-10-21T06:00:00.000000000,2024-07-17 00:00:00,3.1,461.96,549.38564
2022-10-21T07:00:00.000000000,2024-07-17 00:00:00,3.1,441.1,541.56579
2022-10-21T08:00:00.000000000,2024-07-17 00:00:00,3.1,444.62,535.79955
2022-10-21T09:00:00.000000000,2024-07-17 00:00:00,3.1,444.39,531.64817
2022-10-21T10:00:00.000000000,2024-07-17 00:00:00,3.1,442.71,530.27453
2022-10-21T11:00:00.000000000,2024-07-17 00:00:00,3.1,454.93,528.47299
2022-10-21T12:00:00.000000000,2024-07-17 00:00:00,3.1,483.05,527.71863
2022-10-21T13:00:00.000000000,2024-07-17 00:00:00,3.1,500.64,526.67158
2022-10-21T14:00:00.000000000,2024-07-17 00:00:00,3.1,498.13,524.97393
2022-10-21T15:00:00.000000000,2024-07-17 00:00:00,3.1,514.77,523.5928
2022-10-21T16:00:00.000000000,2024-07-17 00:00:00,3.1,520.16,522.56275
2022-10-21T17:00:00.000000000,2024-07-17 00:00:00,3.1,523.62,520.68373
2022-10-21T18:00:00.000000000,2024-07-17 00:00:00,3.1,523.93,520.17703
2022-10-21T19:00:00.000000000,2024-07-17 00:00:00,3.1,516.45,522.38642
2022-10-21T20:00:00.000000000,2024-07-17 00:00:00,3.1,510.03,526.74745
2022-10-21T21:00:00.000000000,2024-07-17 00:00:00,3.1,505.42,529.7968
2022-10-21T22:00:00.000000000,2024-07-17 00:00:00,3.1,530.17,535.71404
2022-10-21T23:00:00.000000000,2024-07-17 00:00:00,3.1,544.22,540.86683
2022-10-22T00:00:00.000000000,2024-07-17 00:00:00,3.1,533.85,540.63864
2022-10-22T01:00:00.000000000,2024-07-17 00:00:00,3.1,499.39,546.75381
2022-10-22T02:00:00.000000000,2024-07-17 00:00:00,3.1,489.42,551.67769
2022-10-22T03:00:00.000000000,2024-07-17 00:00:00,3.1,488.95,554.5738
2022-10-22T04:00:00.000000000,2024-07-17 00:00:00,3.1,490.8,557.31956
2022-10-22T05:00:00.000000000,2024-07-17 00:00:00,3.1,463.68,558.67341
2022-10-22T06:00:00.000000000,2024-07-17 00:00:00,3.1,455.02,559.81038
2022-10-22T07:00:00.000000000,2024-07-17 00:00:00,3.1,487.24,562.82912
2022-10-22T08:00:00.000000000,2024-07-17 00:00:00,3.1,497.89,565.84758
2022-10-22T09:00:00.000000000,2024-07-17 00:00:00,3.1,464.6,567.45318
2022-10-22T10:00:00.000000000,2024-07-17 00:00:00,3.1,440.17,570.23963
2022-10-22T11:00:00.000000000,2024-07-17 00:00:00,3.1,442.6,573.55833
2022-10-22T12:00:00.000000000,2024-07-17 00:00:00,3.1,462.44,576.29001
2022-10-22T13:00:00.000000000,2024-07-17 00:00:00,3.1,479.17,576.39125
2022-10-22T14:00:00.000000000,2024-07-17 00:00:00,3.1,485.44,574.4714
2022-10-22T15:00:00.000000000,2024-07-17 00:00:00,3.1,508.63,571.91827
2022-10-22T16:00:00.000000000,2024-07-17 00:00:00,3.1,497.05,567.39434
2022-10-22T17:00:00.000000000,2024-07-17 00:00:00,3.1,494.36,561.82923
2022-10-22T18:00:00.000000000,2024-07-17 00:00:00,3.1,511.74,556.14536
2022-10-22T19:00:00.000000000,2024-07-17 00:00:00,3.1,508.7,551.90113
2022-10-22T20:00:00.000000000,2024-07-17 00:00:00,3.1,483.75,549.14958
2022-10-22T21:00:00.000000000,2024-07-17 00:00:00,3.1,477.05,545.8265
2022-10-22T22:00:00.000000000,2024-07-17 00:00:00,3.1,485.53,544.51875
2022-10-22T23:00:00.000000000,2024-07-17 00:00:00,3.1,499.3,545.03838
2022-10-23T00:00:00.000000000,2024-07-17 00:00:00,3.1,512.42,530.68527
2022-10-23T01:00:00.000000000,2024-07-17 00:00:00,3.1,538.68,531.94335
2022-10-23T02:00:00.000000000,2024-07-17 00:00:00,3.1,508.98,530.16214
2022-10-23T03:00:00.000000000,2024-07-17 00:00:00,3.1,484.1,524.51717
