UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2022-09-28T00:00:00.000000000,2024-07-17 00:00:00,3.1,406.84,356.59974
2022-09-28T01:00:00.000000000,2024-07-17 00:00:00,3.1,434.37,363.04987
2022-09-28T02:00:00.000000000,2024-07-17 00:00:00,3.1,440.36,370.99307
2022-09-28T03:00:00.000000000,2024-07-17 00:00:00,3.1,453.01,384.95052
2022-09-28T04:00:00.000000000,2024-07-17 00:00:00,3.1,471.36,395.05622
2022-09-28T05:00:00.000000000,2024-07-17 00:00:00,3.1,495.56,404.47188
2022-09-28T06:00:00.000000000,2024-07-17 00:00:00,3.1,503.07,416.39529
2022-09-28T07:00:00.000000000,2024-07-17 00:00:00,3.1,519.48,425.26887
2022-09-28T08:00:00.000000000,2024-07-17 00:00:00,3.1,538.47,432.40505
2022-09-28T09:00:00.000000000,2024-07-17 00:00:00,3.1,580.97,435.41461
2022-09-28T10:00:00.000000000,2024-07-17 00:00:00,3.1,576.47,436.1754
2022-09-28T11:00:00.000000000,2024-07-17 00:00:00,3.1,574.18,431.98101
2022-09-28T12:00:00.000000000,2024-07-17 00:00:00,3.1,575.98,425.76057
2022-09-28T13:00:00.000000000,2024-07-17 00:00:00,3.1,572.87,414.40434
2022-09-28T14:00:00.000000000,2024-07-17 00:00:00,3.1,565.28,399.96737
2022-09-28T15:00:00.000000000,2024-07-17 00:00:00,3.1,549.45,386.01395
2022-09-28T16:00:00.000000000,2024-07-17 00:00:00,3.1,525.22,375.88753
2022-09-28T17:00:00.000000000,2024-07-17 00:00:00,3.1,518.05,364.2311
2022-09-28T18:00:00.000000000,2024-07-17 00:00:00,3.1,490.03,357.92298
2022-09-28T19:00:00.000000000,2024-07-17 00:00:00,3.1,485.05,354.23168
2022-09-28T20:00:00.000000000,2024-07-17 00:00:00,3.1,491.44,353.65919
2022-09-28T21:00:00.000000000,2024-07-17 00:00:00,3.1,489.68,352.21396
2022-09-28T22:00:00.000000000,2024-07-17 00:00:00,3.1,482.82,351.49334
2022-09-28T23:00:00.000000000,2024-07-17 00:00:00,3.1,490.1,357.14816
2022-09-29T00:00:00.000000000,2024-07-17 00:00:00,3.1,499.87,287.6598
2022-09-29T01:00:00.000000000,2024-07-17 00:00:00,3.1,495.62,296.19837
2022-09-29T02:00:00.000000000,2024-07-17 00:00:00,3.1,499.78,304.6687
2022-09-29T03:00:00.000000000,2024-07-17 00:00:00,3.1,502.94,315.88752
2022-09-29T04:00:00.000000000,2024-07-17 00:00:00,3.1,510.56,327.44875
2022-09-29T05:00:00.000000000,2024-07-17 00:00:00,3.1,515.58,334.83604
2022-09-29T06:00:00.000000000,2024-07-17 00:00:00,3.1,517.66,341.44821
2022-09-29T07:00:00.000000000,2024-07-17 00:00:00,3.1,511.67,348.94554
2022-09-29T08:00:00.000000000,2024-07-17 00:00:00,3.1,513.58,349.67362
2022-09-29T09:00:00.000000000,2024-07-17 00:00:00,3.1,532.99,349.17597
2022-09-29T10:00:00.000000000,2024-07-17 00:00:00,3.1,551.84,347.42974
2022-09-29T11:00:00.000000000,2024-07-17 00:00:00,3.1,565.77,341.3487
2022-09-29T12:00:00.000000000,2024-07-17 00:00:00,3.1,568.01,335.84993
2022-09-29T13:00:00.000000000,2024-07-17 00:00:00,3.1,566.82,322.94767
2022-09-29T14:00:00.000000000,2024-07-17 00:00:00,3.1,572.0,310.86229
