UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2023-12-15T00:00:00.000000000,2024-07-17 00:00:00,3.1,583.87,514.35703
2023-12-15T01:00:00.000000000,2024-07-17 00:00:00,3.1,637.79,527.08431
2023-12-15T02:00:00.000000000,2024-07-17 00:00:00,3.1,643.62,545.10075
2023-12-15T03:00:00.000000000,2024-07-17 00:00:00,3.1,625.3,563.01487
2023-12-15T04:00:00.000000000,2024-07-17 00:00:00,3.1,592.74,568.64743
2023-12-15T05:00:00.000000000,2024-07-17 00:00:00,3.1,581.5,573.72091
2023-12-15T06:00:00.000000000,2024-07-17 00:00:00,3.1,623.66,582.87289
2023-12-15T07:00:00.000000000,2024-07-17 00:00:00,3.1,623.13,585.98173
2023-12-15T08:00:00.000000000,2024-07-17 00:00:00,3.1,612.22,600.21926
2023-12-15T09:00:00.000000000,2024-07-17 00:00:00,3.1,616.27,601.76512
2023-12-15T10:00:00.000000000,2024-07-17 00:00:00,3.1,615.59,612.48584
2023-12-15T11:00:00.000000000,2024-07-17 00:00:00,3.1,620.74,613.93101
2023-12-15T12:00:00.000000000,2024-07-17 00:00:00,3.1,617.14,617.32635
2023-12-15T13:00:00.000000000,2024-07-17 00:00:00,3.1,611.01,613.85161
2023-12-15T14:00:00.000000000,2024-07-17 00:00:00,3.1,616.48,599.4047
2023-12-15T15:00:00.000000000,2024-07-17 00:00:00,3.1,613.79,584.24408
2023-12-15T16:00:00.000000000,2024-07-17 00:00:00,3.1,555.15,563.78954
2023-12-15T17:00:00.000000000,2024-07-17 00:00:00,3.1,516.61,544.2625
2023-12-15T18:00:00.000000000,2024-07-17 00:00:00,3.1,528.38,524.00694
2023-12-15T19:00:00.000000000,2024-07-17 00:00:00,3.1,540.03,502.86929
2023-12-15T20:00:00.000000000,2024-07-17 00:00:00,3.1,534.32,495.6066
2023-12-15T21:00:00.000000000,2024-07-17 00:00:00,3.1,518.75,491.42855
2023-12-15T22:00:00.000000000,2024-07-17 00:00:00,3.1,504.36,491.35576
2023-12-15T23:00:00.000000000,2024-07-17 00:00:00,3.1,501.38,505.79513
2023-12-16T00:00:00.000000000,2024-07-17 00:00:00,3.1,565.57,491.86211
2023-12-16T01:00:00.000000000,2024-07-17 00:00:00,3.1,640.75,504.58223
2023-12-16T02:00:00.000000000,2024-07-17 00:00:00,3.1,614.34,521.91093
2023-12-16T03:00:00.000000000,2024-07-17 00:00:00,3.1,607.05,536.57656
2023-12-16T04:00:00.000000000,2024-07-17 00:00:00,3.1,608.83,541.07788
2023-12-16T05:00:00.000000000,2024-07-17 00:00:00,3.1,622.78,544.09083
2023-12-16T06:00:00.000000000,2024-07-17 00:00:00,3.1,629.33,548.24069
2023-12-16T07:00:00.000000000,2024-07-17 00:00:00,3.1,662.41,548.26757
2023-12-16T08:00:00.000000000,2024-07-17 00:00:00,3.1,668.1,559.33042
2023-12-16T09:00:00.000000000,2024-07-17 00:00:00,3.1,682.75,558.41971
2023-12-16T10:00:00.000000000,2024-07-17 00:00:00,3.1,675.79,568.66699
2023-12-16T11:00:00.000000000,2024-07-17 00:00:00,3.1,682.8,571.7598
2023-12-16T12:00:00.000000000,2024-07-17 00:00:00,3.1,688.63,578.91848
2023-12-16T13:00:00.000000000,2024-07-17 00:00:00,3.1,703.37,579.01424
2023-12-16T14:00:00.000000000,2024-07-17 00:00:00,3.1,684.96,569.74289
2023-12-16T15:00:00.000000000,2024-07-17 00:00:00,3.1,667.41,558.64777
2023-12-16T16:00:00.000000000,2024-07-17 00:00:00,3.1,577.99,543.71323
2023-12-16T17:00:00.000000000,2024-07-17 00:00:00,3.1,523.66,525.45539
2023-12-16T18:00:00.000000000,2024-07-17 00:00:00,3.1,485.73,506.82118
2023-12-16T19:00:00.000000000,2024-07-17 00:00:00,3.1,475.38,485.66547
2023-12-16T20:00:00.000000000,2024-07-17 00:00:00,3.1,459.75,477.62903
2023-12-16T21:00:00.000000000,2024-07-17 00:00:00,3.1,419.03,470.56149
2023-12-16T22:00:00.000000000,2024-07-17 00:00:00,3.1,431.15,470.92533
2023-12-16T23:00:00.000000000,2024-07-17 00:00:00,3.1,542.77,484.26642
2023-12-17T00:00:00.000000000,2024-07-17 00:00:00,3.1,579.93,461.01226
