UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2023-10-27T00:00:00.000000000,2024-07-17 00:00:00,3.1,106.82,99.04559
2023-10-27T01:00:00.000000000,2024-07-17 00:00:00,3.1,113.36,95.44987
2023-10-27T02:00:00.000000000,2024-07-17 00:00:00,3.1,113.8,94.701
2023-10-27T03:00:00.000000000,2024-07-17 00:00:00,3.1,118.46,96.41008
2023-10-27T04:00:00.000000000,2024-07-17 00:00:00,3.1,132.38,101.54511
2023-10-27T05:00:00.000000000,2024-07-17 00:00:00,3.1,139.98,109.0218
2023-10-27T06:00:00.000000000,2024-07-17 00:00:00,3.1,142.5,116.0924
2023-10-27T07:00:00.000000000,2024-07-17 00:00:00,3.1,138.8,121.97601
2023-10-27T08:00:00.000000000,2024-07-17 00:00:00,3.1,131.14,125.88231
2023-10-27T09:00:00.000000000,2024-07-17 00:00:00,3.1,121.79,127.36598
2023-10-27T10:00:00.000000000,2024-07-17 00:00:00,3.1,100.08,126.87643
2023-10-27T11:00:00.000000000,2024-07-17 00:00:00,3.1,92.68,124.63602
2023-10-27T12:00:00.000000000,2024-07-17 00:00:00,3.1,95.43,123.48467
2023-10-27T13:00:00.000000000,2024-07-17 00:00:00,3.1,88.77,123.92877
2023-10-27T14:00:00.000000000,2024-07-17 00:00:00,3.1,96.37,125.45233
2023-10-27T15:00:00.000000000,2024-07-17 00:00:00,3.1,107.14,128.78447
2023-10-27T16:00:00.000000000,2024-07-17 00:00:00,3.1,119.75,132.50029
2023-10-27T17:00:00.000000000,2024-07-17 00:00:00,3.1,131.27,134.87931
2023-10-27T18:00:00.000000000,2024-07-17 00:00:00,3.1,121.91,135.6838
2023-10-27T19:00:00.000000000,2024-07-17 00:00:00,3.1,111.35,133.24793
2023-10-27T20:00:00.000000000,2024-07-17 00:00:00,3.1,103.02,127.23987
2023-10-27T21:00:00.000000000,2024-07-17 00:00:00,3.1,102.74,119.5978
2023-10-27T22:00:00.000000000,2024-07-17 00:00:00,3.1,95.16,111.2599
2023-10-27T23:00:00.000000000,2024-07-17 00:00:00,3.1,75.86,103.23304
2023-10-28T00:00:00.000000000,2024-07-17 00:00:00,3.1,63.8,96.39102
2023-10-28T01:00:00.000000000,2024-07-17 00:00:00,3.1,64.35,91.31188
2023-10-28T02:00:00.000000000,2024-07-17 00:00:00,3.1,66.04,88.4893
2023-10-28T03:00:00.000000000,2024-07-17 00:00:00,3.1,62.86,87.85948
2023-10-28T04:00:00.000000000,2024-07-17 00:00:00,3.1,64.78,90.95775
2023-10-28T05:00:00.000000000,2024-07-17 00:00:00,3.1,63.45,97.14004
2023-10-28T06:00:00.000000000,2024-07-17 00:00:00,3.1,63.57,104.15901
2023-10-28T07:00:00.000000000,2024-07-17 00:00:00,3.1,63.69,111.17207
2023-10-28T08:00:00.000000000,2024-07-17 00:00:00,3.1,55.74,116.96744
2023-10-28T09:00:00.000000000,2024-07-17 00:00:00,3.1,47.01,120.5656
2023-10-28T10:00:00.000000000,2024-07-17 00:00:00,3.1,45.66,121.43244
2023-10-28T11:00:00.000000000,2024-07-17 00:00:00,3.1,48.27,119.77438
2023-10-28T12:00:00.000000000,2024-07-17 00:00:00,3.1,50.1,118.07169
2023-10-28T13:00:00.000000000,2024-07-17 00:00:00,3.1,57.58,117.17646
2023-10-28T14:00:00.000000000,2024-07-17 00:00:00,3.1,66.36,117.05348
2023-10-28T15:00:00.000000000,2024-07-17 00:00:00,3.1,72.83,118.97538
2023-10-28T16:00:00.000000000,2024-07-17 00:00:00,3.1,77.37,121.87004
2023-10-28T17:00:00.000000000,2024-07-17 00:00:00,3.1,76.31,124.44382
2023-10-28T18:00:00.000000000,2024-07-17 00:00:00,3.1,73.2,126.52247
2023-10-28T19:00:00.000000000,2024-07-17 00:00:00,3.1,67.51,125.89673
2023-10-28T20:00:00.000000000,2024-07-17 00:00:00,3.1,59.02,121.92909
2023-10-28T21:00:00.000000000,2024-07-17 00:00:00,3.1,61.84,116.09861
2023-10-28T22:00:00.000000000,2024-07-17 00:00:00,3.1,57.45,108.78895
2023-10-28T23:00:00.000000000,2024-07-17 00:00:00,3.1,53.44,101.06813
2023-10-29T00:00:00.000000000,2024-07-17 00:00:00,3.1,49.01,93.57775
2023-10-29T01:00:00.000000000,2024-07-17 00:00:00,3.1,52.9,89.9588
2023-10-29T02:00:00.000000000,2024-07-17 00:00:00,3.1,51.24,87.50704
2023-10-29T03:00:00.000000000,2024-07-17 00:00:00,3.1,50.71,85.956
2023-10-29T04:00:00.000000000,2024-07-17 00:00:00,3.1,53.18,86.6666
