UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2023-08-29T00:00:00.000000000,2024-07-17 00:00:00,3.1,221.27,212.88207
2023-08-29T01:00:00.000000000,2024-07-17 00:00:00,3.1,228.85,212.52027
2023-08-29T02:00:00.000000000,2024-07-17 00:00:00,3.1,232.65,216.63835
2023-08-29T03:00:00.000000000,2024-07-17 00:00:00,3.1,240.01,223.10574
2023-08-29T04:00:00.000000000,2024-07-17 00:00:00,3.1,255.47,228.92486
2023-08-29T05:00:00.000000000,2024-07-17 00:00:00,3.1,274.24,231.9039
2023-08-29T06:00:00.000000000,2024-07-17 00:00:00,3.1,258.66,228.93613
2023-08-29T07:00:00.000000000,2024-07-17 00:00:00,3.1,238.04,219.64421
2023-08-29T08:00:00.000000000,2024-07-17 00:00:00,3.1,217.12,206.82494
2023-08-29T09:00:00.000000000,2024-07-17 00:00:00,3.1,198.96,192.43601
2023-08-29T10:00:00.000000000,2024-07-17 00:00:00,3.1,180.58,179.40397
2023-08-29T11:00:00.000000000,2024-07-17 00:00:00,3.1,163.95,170.44485
2023-08-29T12:00:00.000000000,2024-07-17 00:00:00,3.1,161.85,169.5174
2023-08-29T13:00:00.000000000,2024-07-17 00:00:00,3.1,170.6,176.41738
2023-08-29T14:00:00.000000000,2024-07-17 00:00:00,3.1,183.76,192.36421
2023-08-29T15:00:00.000000000,2024-07-17 00:00:00,3.1,205.11,213.81925
2023-08-29T16:00:00.000000000,2024-07-17 00:00:00,3.1,253.55,234.53229
2023-08-29T17:00:00.000000000,2024-07-17 00:00:00,3.1,290.29,248.69203
2023-08-29T18:00:00.000000000,2024-07-17 00:00:00,3.1,300.34,254.90834
2023-08-29T19:00:00.000000000,2024-07-17 00:00:00,3.1,295.76,251.5933
2023-08-29T20:00:00.000000000,2024-07-17 00:00:00,3.1,269.75,240.83731
2023-08-29T21:00:00.000000000,2024-07-17 00:00:00,3.1,251.77,226.35232
2023-08-29T22:00:00.000000000,2024-07-17 00:00:00,3.1,220.76,210.22212
2023-08-29T23:00:00.000000000,2024-07-17 00:00:00,3.1,213.17,197.96153
2023-08-30T00:00:00.000000000,2024-07-17 00:00:00,3.1,210.13,194.68814
2023-08-30T01:00:00.000000000,2024-07-17 00:00:00,3.1,206.93,192.39808
2023-08-30T02:00:00.000000000,2024-07-17 00:00:00,3.1,211.81,194.76076
2023-08-30T03:00:00.000000000,2024-07-17 00:00:00,3.1,213.73,201.01794
2023-08-30T04:00:00.000000000,2024-07-17 00:00:00,3.1,216.42,209.00326
2023-08-30T05:00:00.000000000,2024-07-17 00:00:00,3.1,231.12,215.98347
2023-08-30T06:00:00.000000000,2024-07-17 00:00:00,3.1,227.53,218.60747
2023-08-30T07:00:00.000000000,2024-07-17 00:00:00,3.1,213.65,215.38554
2023-08-30T08:00:00.000000000,2024-07-17 00:00:00,3.1,181.63,207.81927
2023-08-30T09:00:00.000000000,2024-07-17 00:00:00,3.1,158.08,197.28312
2023-08-30T10:00:00.000000000,2024-07-17 00:00:00,3.1,156.0,186.29855
2023-08-30T11:00:00.000000000,2024-07-17 00:00:00,3.1,143.76,177.27598
2023-08-30T12:00:00.000000000,2024-07-17 00:00:00,3.1,138.33,174.22721
2023-08-30T13:00:00.000000000,2024-07-17 00:00:00,3.1,143.08,177.39896
2023-08-30T14:00:00.000000000,2024-07-17 00:00:00,3.1,157.11,187.95688
2023-08-30T15:00:00.000000000,2024-07-17 00:00:00,3.1,184.02,203.90859
2023-08-30T16:00:00.000000000,2024-07-17 00:00:00,3.1,222.29,220.70157
2023-08-30T17:00:00.000000000,2024-07-17 00:00:00,3.1,267.1,233.10889
2023-08-30T18:00:00.000000000,2024-07-17 00:00:00,3.1,285.14,239.53765
2023-08-30T19:00:00.000000000,2024-07-17 00:00:00,3.1,273.36,237.31008
2023-08-30T20:00:00.000000000,2024-07-17 00:00:00,3.1,262.45,228.16623
2023-08-30T21:00:00.000000000,2024-07-17 00:00:00,3.1,248.99,215.14418
2023-08-30T22:00:00.000000000,2024-07-17 00:00:00,3.1,212.66,199.87458
2023-08-30T23:00:00.000000000,2024-07-17 00:00:00,3.1,208.33,187.17441
2023-08-31T00:00:00.000000000,2024-07-17 00:00:00,3.1,211.48,192.1232
2023-08-31T01:00:00.000000000,2024-07-17 00:00:00,3.1,206.85,188.53178
2023-08-31T02:00:00.000000000,2024-07-17 00:00:00,3.1,207.2,186.93316
2023-08-31T03:00:00.000000000,2024-07-17 00:00:00,3.1,216.27,187.38558
2023-08-31T04:00:00.000000000,2024-07-17 00:00:00,3.1,235.32,188.73071
2023-08-31T05:00:00.000000000,2024-07-17 00:00:00,3.1,235.16,190.40695
2023-08-31T06:00:00.000000000,2024-07-17 00:00:00,3.1,218.47,191.5006
2023-08-31T07:00:00.000000000,2024-07-17 00:00:00,3.1,193.73,190.63525
2023-08-31T08:00:00.000000000,2024-07-17 00:00:00,3.1,149.96,188.56676
2023-08-31T09:00:00.000000000,2024-07-17 00:00:00,3.1,136.26,186.06877
2023-08-31T10:00:00.000000000,2024-07-17 00:00:00,3.1,139.95,184.02078
2023-08-31T11:00:00.000000000,2024-07-17 00:00:00,3.1,140.27,183.52594
2023-08-31T12:00:00.000000000,2024-07-17 00:00:00,3.1,152.04,186.46504
2023-08-31T13:00:00.000000000,2024-07-17 00:00:00,3.1,157.89,191.77512
2023-08-31T14:00:00.000000000,2024-07-17 00:00:00,3.1,164.87,199.22041
2023-08-31T15:00:00.000000000,2024-07-17 00:00:00,3.1,196.5,207.58796
2023-08-31T16:00:00.000000000,2024-07-17 00:00:00,3.1,231.7,214.92445
2023-08-31T17:00:00.000000000,2024-07-17 00:00:00,3.1,259.61,218.91973
2023-08-31T18:00:00.000000000,2024-07-17 00:00:00,3.1,272.49,219.90589
2023-08-31T19:00:00.000000000,2024-07-17 00:00:00,3.1,267.37,216.33133
2023-08-31T20:00:00.000000000,2024-07-17 00:00:00,3.1,257.74,209.73474
2023-08-31T21:00:00.000000000,2024-07-17 00:00:00,3.1,252.29,201.50308
2023-08-31T22:00:00.000000000,2024-07-17 00:00:00,3.1,224.94,192.43186
2023-08-31T23:00:00.000000000,2024-07-17 00:00:00,3.1,213.44,184.52552
2023-09-01T00:00:00.000000000,2024-07-17 00:00:00,3.1,221.61,185.15873
2023-09-01T01:00:00.000000000,2024-07-17 00:00:00,3.1,216.16,184.48833
2023-09-01T02:00:00.000000000,2024-07-17 00:00:00,3.1,216.23,188.57143
2023-09-01T03:00:00.000000000,2024-07-17 00:00:00,3.1,219.53,196.57266
2023-09-01T04:00:00.000000000,2024-07-17 00:00:00,3.1,229.44,205.7479
2023-09-01T05:00:00.000000000,2024-07-17 00:00:00,3.1,246.03,214.29733
