UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2023-07-16T00:00:00.000000000,2024-07-17 00:00:00,3.1,71.96,83.6176
2023-07-16T01:00:00.000000000,2024-07-17 00:00:00,3.1,68.29,81.10093
2023-07-16T02:00:00.000000000,2024-07-17 00:00:00,3.1,67.83,80.19022
2023-07-16T03:00:00.000000000,2024-07-17 00:00:00,3.1,66.61,80.10926
2023-07-16T04:00:00.000000000,2024-07-17 00:00:00,3.1,61.58,79.64957
2023-07-16T05:00:00.000000000,2024-07-17 00:00:00,3.1,60.27,78.73783
2023-07-16T06:00:00.000000000,2024-07-17 00:00:00,3.1,63.36,74.6519
2023-07-16T07:00:00.000000000,2024-07-17 00:00:00,3.1,55.87,69.45998
2023-07-16T08:00:00.000000000,2024-07-17 00:00:00,3.1,54.79,64.32342
2023-07-16T09:00:00.000000000,2024-07-17 00:00:00,3.1,54.92,59.98932
2023-07-16T10:00:00.000000000,2024-07-17 00:00:00,3.1,55.49,56.7552
2023-07-16T11:00:00.000000000,2024-07-17 00:00:00,3.1,51.28,56.24761
2023-07-16T12:00:00.000000000,2024-07-17 00:00:00,3.1,50.74,58.7907
2023-07-16T13:00:00.000000000,2024-07-17 00:00:00,3.1,50.94,64.51482
2023-07-16T14:00:00.000000000,2024-07-17 00:00:00,3.1,53.61,72.56448
2023-07-16T15:00:00.000000000,2024-07-17 00:00:00,3.1,57.32,82.59936
2023-07-16T16:00:00.000000000,2024-07-17 00:00:00,3.1,67.96,92.2346
2023-07-16T17:00:00.000000000,2024-07-17 00:00:00,3.1,83.91,99.12721
2023-07-16T18:00:00.000000000,2024-07-17 00:00:00,3.1,104.54,104.2568
2023-07-16T19:00:00.000000000,2024-07-17 00:00:00,3.1,110.58,107.4926
2023-07-16T20:00:00.000000000,2024-07-17 00:00:00,3.1,112.15,107.58257
2023-07-16T21:00:00.000000000,2024-07-17 00:00:00,3.1,108.83,106.14064
