UTC time,coal,nat_gas,nuclear,hydro,solar,wind,biomass
2023-06-21 00:00:00,606.0,161.0,2086.0,667.0,0.0,57.0,28.0
2023-06-21 01:00:00,606.0,161.0,2084.0,668.0,0.0,70.0,29.0
2023-06-21 02:00:00,599.0,163.0,2084.0,653.0,2.0,63.0,26.0
2023-06-21 03:00:00,605.0,164.0,2085.0,644.0,85.0,77.0,24.0
2023-06-21 04:00:00,603.0,164.0,2084.0,795.0,372.0,73.0,22.0
2023-06-21 05:00:00,607.0,163.0,2084.0,854.0,780.0,29.0,24.0
2023-06-21 06:00:00,622.0,163.0,2085.0,790.0,1135.0,13.0,22.0
2023-06-21 07:00:00,595.0,161.0,2085.0,686.0,1396.0,8.0,22.0
2023-06-21 08:00:00,514.0,153.0,2084.0,657.0,1547.0,11.0,21.0
2023-06-21 09:00:00,494.0,154.0,2084.0,659.0,1551.0,13.0,21.0
2023-06-21 10:00:00,552.0,155.0,2084.0,694.0,1451.0,11.0,20.0
2023-06-21 11:00:00,553.0,154.0,2084.0,677.0,1413.0,17.0,20.0
2023-06-21 12:00:00,548.0,153.0,2085.0,677.0,1339.0,11.0,20.0
2023-06-21 13:00:00,655.0,152.0,2085.0,704.0,1052.0,10.0,20.0
2023-06-21 14:00:00,684.0,152.0,2084.0,980.0,823.0,12.0,20.0
2023-06-21 15:00:00,688.0,155.0,2083.0,1138.0,534.0,20.0,18.0
2023-06-21 16:00:00,610.0,156.0,2084.0,1189.0,240.0,30.0,20.0
2023-06-21 17:00:00,652.0,160.0,2085.0,1255.0,41.0,25.0,20.0
2023-06-21 18:00:00,763.0,159.0,2084.0,1320.0,1.0,32.0,18.0
2023-06-21 19:00:00,717.0,160.0,2084.0,1225.0,0.0,32.0,18.0
2023-06-21 20:00:00,613.0,161.0,2084.0,958.0,0.0,32.0,18.0
2023-06-21 21:00:00,640.0,164.0,2086.0,728.0,0.0,45.0,18.0
2023-06-21 22:00:00,599.0,164.0,2084.0,655.0,0.0,78.0,18.0
2023-06-21 23:00:00,601.0,158.0,2083.0,665.0,0.0,121.0,18.0
