UTC time,nat_gas,nuclear,hydro,solar,wind,other
2023-07-10 00:00:00,892.0,1125.0,6926.0,106.0,189.0,163.0
2023-07-10 01:00:00,892.0,1122.0,7299.0,89.0,356.0,163.0
2023-07-10 02:00:00,892.0,1124.0,7629.0,92.0,707.0,166.0
2023-07-10 03:00:00,892.0,1124.0,7912.0,65.0,1287.0,166.0
2023-07-10 04:00:00,897.0,1125.0,7476.0,23.0,1723.0,164.0
2023-07-10 05:00:00,901.0,1124.0,6898.0,10.0,1823.0,163.0
2023-07-10 06:00:00,903.0,1126.0,6318.0,14.0,1885.0,165.0
2023-07-10 07:00:00,905.0,1126.0,6038.0,3.0,1992.0,169.0
2023-07-10 08:00:00,884.0,1126.0,5937.0,0.0,1897.0,165.0
2023-07-10 09:00:00,884.0,1128.0,5281.0,0.0,2189.0,169.0
2023-07-10 10:00:00,880.0,1129.0,4612.0,1.0,2412.0,165.0
2023-07-10 11:00:00,881.0,1123.0,4381.0,0.0,2382.0,166.0
2023-07-10 12:00:00,881.0,1124.0,4281.0,0.0,2320.0,166.0
2023-07-10 13:00:00,882.0,1127.0,4685.0,1.0,2285.0,168.0
2023-07-10 14:00:00,906.0,1127.0,5603.0,23.0,2226.0,180.0
2023-07-10 15:00:00,908.0,982.0,6259.0,76.0,2188.0,174.0
2023-07-10 16:00:00,907.0,959.0,6517.0,85.0,1994.0,177.0
2023-07-10 17:00:00,909.0,953.0,6725.0,119.0,1886.0,177.0
2023-07-10 18:00:00,910.0,949.0,6974.0,123.0,1763.0,177.0
2023-07-10 19:00:00,908.0,946.0,7067.0,121.0,1472.0,181.0
2023-07-10 20:00:00,908.0,947.0,7301.0,124.0,1496.0,181.0
2023-07-10 21:00:00,905.0,948.0,7369.0,124.0,1679.0,183.0
2023-07-10 22:00:00,897.0,950.0,7503.0,109.0,1824.0,178.0
2023-07-10 23:00:00,896.0,954.0,7550.0,94.0,1875.0,179.0
