UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2022-10-17T00:00:00.000000000,2024-07-17 00:00:00,3.1,69.38,62.92338
2022-10-17T01:00:00.000000000,2024-07-17 00:00:00,3.1,62.63,61.77805
2022-10-17T02:00:00.000000000,2024-07-17 00:00:00,3.1,60.55,60.07664
2022-10-17T03:00:00.000000000,2024-07-17 00:00:00,3.1,65.9,59.79736
2022-10-17T04:00:00.000000000,2024-07-17 00:00:00,3.1,67.7,60.69945
2022-10-17T05:00:00.000000000,2024-07-17 00:00:00,3.1,71.99,61.99028
2022-10-17T06:00:00.000000000,2024-07-17 00:00:00,3.1,73.92,64.55121
2022-10-17T07:00:00.000000000,2024-07-17 00:00:00,3.1,79.49,65.98977
2022-10-17T08:00:00.000000000,2024-07-17 00:00:00,3.1,75.5,66.47407
2022-10-17T09:00:00.000000000,2024-07-17 00:00:00,3.1,77.83,69.3935
2022-10-17T10:00:00.000000000,2024-07-17 00:00:00,3.1,79.93,68.62559
2022-10-17T11:00:00.000000000,2024-07-17 00:00:00,3.1,80.58,66.84376
2022-10-17T12:00:00.000000000,2024-07-17 00:00:00,3.1,76.09,66.49559
2022-10-17T13:00:00.000000000,2024-07-17 00:00:00,3.1,71.29,65.0504
2022-10-17T14:00:00.000000000,2024-07-17 00:00:00,3.1,66.3,61.74713
2022-10-17T15:00:00.000000000,2024-07-17 00:00:00,3.1,61.86,60.11771
2022-10-17T16:00:00.000000000,2024-07-17 00:00:00,3.1,64.02,60.42014
2022-10-17T17:00:00.000000000,2024-07-17 00:00:00,3.1,65.01,60.17015
2022-10-17T18:00:00.000000000,2024-07-17 00:00:00,3.1,64.77,61.1409
2022-10-17T19:00:00.000000000,2024-07-17 00:00:00,3.1,66.22,61.39203
2022-10-17T20:00:00.000000000,2024-07-17 00:00:00,3.1,66.91,62.32099
2022-10-17T21:00:00.000000000,2024-07-17 00:00:00,3.1,67.91,63.1501
2022-10-17T22:00:00.000000000,2024-07-17 00:00:00,3.1,68.25,62.98138
2022-10-17T23:00:00.000000000,2024-07-17 00:00:00,3.1,67.73,60.33293
2022-10-18T00:00:00.000000000,2024-07-17 00:00:00,3.1,64.43,60.75915
