UTC time,coal,nat_gas,nuclear,oil,hydro,solar,wind,other
2023-03-25 00:00:00,3.0,4305.0,2272.0,43.0,2455.0,5693.0,2480.0,0.0
2023-03-25 01:00:00,3.0,4753.0,2271.0,45.0,2633.0,5699.0,3203.0,247.0
2023-03-25 02:00:00,3.0,5494.0,2270.0,44.0,3690.0,1961.0,4167.0,407.0
2023-03-25 03:00:00,2.0,5845.0,2271.0,48.0,4172.0,0.0,4355.0,1390.0
2023-03-25 04:00:00,2.0,5995.0,2271.0,50.0,4269.0,0.0,3771.0,1357.0
2023-03-25 05:00:00,2.0,6350.0,2271.0,50.0,4352.0,0.0,3183.0,1458.0
2023-03-25 06:00:00,2.0,5824.0,2272.0,50.0,4132.0,0.0,3263.0,736.0
2023-03-25 07:00:00,2.0,5605.0,2272.0,50.0,4042.0,0.0,3198.0,61.0
2023-03-25 08:00:00,2.0,5522.0,2272.0,51.0,4195.0,0.0,3211.0,0.0
2023-03-25 09:00:00,2.0,5195.0,2272.0,51.0,3967.0,0.0,3397.0,0.0
2023-03-25 10:00:00,2.0,5449.0,2273.0,51.0,3950.0,0.0,3005.0,0.0
2023-03-25 11:00:00,3.0,5470.0,2272.0,51.0,3967.0,0.0,2745.0,0.0
2023-03-25 12:00:00,3.0,5361.0,2270.0,51.0,4086.0,0.0,2564.0,0.0
2023-03-25 13:00:00,3.0,5625.0,2269.0,50.0,4337.0,0.0,2684.0,197.0
2023-03-25 14:00:00,2.0,5845.0,2269.0,43.0,4447.0,14.0,2820.0,1237.0
2023-03-25 15:00:00,2.0,5079.0,2270.0,43.0,4395.0,2760.0,2699.0,493.0
2023-03-25 16:00:00,3.0,3822.0,2271.0,45.0,3535.0,7766.0,2475.0,0.0
2023-03-25 17:00:00,3.0,3553.0,2273.0,44.0,2807.0,8756.0,2343.0,0.0
2023-03-25 18:00:00,2.0,3713.0,2274.0,45.0,2712.0,7116.0,2131.0,0.0
2023-03-25 19:00:00,3.0,3563.0,2274.0,44.0,2467.0,6134.0,2037.0,0.0
2023-03-25 20:00:00,3.0,3582.0,2272.0,52.0,2431.0,5713.0,2144.0,0.0
2023-03-25 21:00:00,3.0,3487.0,2272.0,58.0,2431.0,5218.0,2280.0,0.0
2023-03-25 22:00:00,3.0,3066.0,2273.0,69.0,2384.0,5047.0,2485.0,0.0
2023-03-25 23:00:00,2.0,3203.0,2273.0,78.0,2446.0,4923.0,2537.0,0.0
