UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2022-10-20T00:00:00.000000000,2024-07-17 00:00:00,3.1,237.46,238.34397
2022-10-20T01:00:00.000000000,2024-07-17 00:00:00,3.1,298.64,269.87912
2022-10-20T02:00:00.000000000,2024-07-17 00:00:00,3.1,319.98,288.15424
2022-10-20T03:00:00.000000000,2024-07-17 00:00:00,3.1,310.19,290.77145
2022-10-20T04:00:00.000000000,2024-07-17 00:00:00,3.1,302.22,286.62064
2022-10-20T05:00:00.000000000,2024-07-17 00:00:00,3.1,294.02,282.84878
2022-10-20T06:00:00.000000000,2024-07-17 00:00:00,3.1,300.17,281.08427
2022-10-20T07:00:00.000000000,2024-07-17 00:00:00,3.1,298.79,279.44462
2022-10-20T08:00:00.000000000,2024-07-17 00:00:00,3.1,303.91,275.33223
2022-10-20T09:00:00.000000000,2024-07-17 00:00:00,3.1,319.48,271.6191
2022-10-20T10:00:00.000000000,2024-07-17 00:00:00,3.1,335.81,272.28715
2022-10-20T11:00:00.000000000,2024-07-17 00:00:00,3.1,338.01,278.78372
2022-10-20T12:00:00.000000000,2024-07-17 00:00:00,3.1,337.7,288.22279
2022-10-20T13:00:00.000000000,2024-07-17 00:00:00,3.1,336.95,289.9996
2022-10-20T14:00:00.000000000,2024-07-17 00:00:00,3.1,330.35,270.69791
2022-10-20T15:00:00.000000000,2024-07-17 00:00:00,3.1,294.96,233.68598
2022-10-20T16:00:00.000000000,2024-07-17 00:00:00,3.1,224.98,190.54886
2022-10-20T17:00:00.000000000,2024-07-17 00:00:00,3.1,183.38,161.39124
2022-10-20T18:00:00.000000000,2024-07-17 00:00:00,3.1,176.15,154.32455
2022-10-20T19:00:00.000000000,2024-07-17 00:00:00,3.1,179.93,156.63728
2022-10-20T20:00:00.000000000,2024-07-17 00:00:00,3.1,171.47,161.26392
2022-10-20T21:00:00.000000000,2024-07-17 00:00:00,3.1,169.89,162.84685
2022-10-20T22:00:00.000000000,2024-07-17 00:00:00,3.1,180.06,171.41218
2022-10-20T23:00:00.000000000,2024-07-17 00:00:00,3.1,197.67,191.67672
2022-10-21T00:00:00.000000000,2024-07-17 00:00:00,3.1,229.71,230.95334
2022-10-21T01:00:00.000000000,2024-07-17 00:00:00,3.1,306.65,262.09789
2022-10-21T02:00:00.000000000,2024-07-17 00:00:00,3.1,322.7,278.09644
2022-10-21T03:00:00.000000000,2024-07-17 00:00:00,3.1,316.39,277.28165
