UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2023-10-30T00:00:00.000000000,2024-07-17 00:00:00,3.1,221.19,287.08303
2023-10-30T01:00:00.000000000,2024-07-17 00:00:00,3.1,364.15,336.82847
2023-10-30T02:00:00.000000000,2024-07-17 00:00:00,3.1,389.88,378.71677
2023-10-30T03:00:00.000000000,2024-07-17 00:00:00,3.1,392.66,396.6433
2023-10-30T04:00:00.000000000,2024-07-17 00:00:00,3.1,396.05,395.68659
2023-10-30T05:00:00.000000000,2024-07-17 00:00:00,3.1,387.2,394.04825
2023-10-30T06:00:00.000000000,2024-07-17 00:00:00,3.1,366.64,395.57531
2023-10-30T07:00:00.000000000,2024-07-17 00:00:00,3.1,367.09,402.84233
2023-10-30T08:00:00.000000000,2024-07-17 00:00:00,3.1,376.06,409.09803
2023-10-30T09:00:00.000000000,2024-07-17 00:00:00,3.1,370.77,408.51009
2023-10-30T10:00:00.000000000,2024-07-17 00:00:00,3.1,372.64,404.87009
2023-10-30T11:00:00.000000000,2024-07-17 00:00:00,3.1,382.58,404.00704
2023-10-30T12:00:00.000000000,2024-07-17 00:00:00,3.1,382.7,409.60769
2023-10-30T13:00:00.000000000,2024-07-17 00:00:00,3.1,391.5,405.55645
2023-10-30T14:00:00.000000000,2024-07-17 00:00:00,3.1,404.45,379.93282
2023-10-30T15:00:00.000000000,2024-07-17 00:00:00,3.1,377.47,332.58838
2023-10-30T16:00:00.000000000,2024-07-17 00:00:00,3.1,265.6,276.32573
2023-10-30T17:00:00.000000000,2024-07-17 00:00:00,3.1,219.09,228.53702
2023-10-30T18:00:00.000000000,2024-07-17 00:00:00,3.1,208.62,206.66313
2023-10-30T19:00:00.000000000,2024-07-17 00:00:00,3.1,210.52,201.67471
2023-10-30T20:00:00.000000000,2024-07-17 00:00:00,3.1,208.81,204.80727
2023-10-30T21:00:00.000000000,2024-07-17 00:00:00,3.1,209.16,207.12698
2023-10-30T22:00:00.000000000,2024-07-17 00:00:00,3.1,212.99,220.09605
2023-10-30T23:00:00.000000000,2024-07-17 00:00:00,3.1,219.99,246.09671
2023-10-31T00:00:00.000000000,2024-07-17 00:00:00,3.1,245.34,323.98301
2023-10-31T01:00:00.000000000,2024-07-17 00:00:00,3.1,391.67,363.21312
2023-10-31T02:00:00.000000000,2024-07-17 00:00:00,3.1,414.99,391.60769
2023-10-31T03:00:00.000000000,2024-07-17 00:00:00,3.1,406.29,401.8966
2023-10-31T04:00:00.000000000,2024-07-17 00:00:00,3.1,391.66,401.03154
2023-10-31T05:00:00.000000000,2024-07-17 00:00:00,3.1,401.93,402.89573
2023-10-31T06:00:00.000000000,2024-07-17 00:00:00,3.1,388.09,405.65085
2023-10-31T07:00:00.000000000,2024-07-17 00:00:00,3.1,380.25,411.51038
2023-10-31T08:00:00.000000000,2024-07-17 00:00:00,3.1,384.55,416.48927
2023-10-31T09:00:00.000000000,2024-07-17 00:00:00,3.1,387.89,415.6807
2023-10-31T10:00:00.000000000,2024-07-17 00:00:00,3.1,388.62,412.58737
2023-10-31T11:00:00.000000000,2024-07-17 00:00:00,3.1,391.86,410.19016
2023-10-31T12:00:00.000000000,2024-07-17 00:00:00,3.1,390.94,412.59086
