UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2022-08-03T00:00:00.000000000,2024-07-17 00:00:00,3.1,252.38,255.42919
2022-08-03T01:00:00.000000000,2024-07-17 00:00:00,3.1,256.21,285.76405
2022-08-03T02:00:00.000000000,2024-07-17 00:00:00,3.1,296.59,313.68706
2022-08-03T03:00:00.000000000,2024-07-17 00:00:00,3.1,335.27,331.35477
2022-08-03T04:00:00.000000000,2024-07-17 00:00:00,3.1,343.14,335.30907
2022-08-03T05:00:00.000000000,2024-07-17 00:00:00,3.1,331.28,329.01651
2022-08-03T06:00:00.000000000,2024-07-17 00:00:00,3.1,320.4,318.16907
2022-08-03T07:00:00.000000000,2024-07-17 00:00:00,3.1,307.6,306.35176
2022-08-03T08:00:00.000000000,2024-07-17 00:00:00,3.1,294.11,295.74627
2022-08-03T09:00:00.000000000,2024-07-17 00:00:00,3.1,290.89,290.44262
2022-08-03T10:00:00.000000000,2024-07-17 00:00:00,3.1,289.09,290.2342
2022-08-03T11:00:00.000000000,2024-07-17 00:00:00,3.1,297.03,292.13284
2022-08-03T12:00:00.000000000,2024-07-17 00:00:00,3.1,297.27,289.13904
2022-08-03T13:00:00.000000000,2024-07-17 00:00:00,3.1,297.26,276.16386
2022-08-03T14:00:00.000000000,2024-07-17 00:00:00,3.1,296.07,249.60461
2022-08-03T15:00:00.000000000,2024-07-17 00:00:00,3.1,260.46,216.66595
2022-08-03T16:00:00.000000000,2024-07-17 00:00:00,3.1,238.99,189.8526
2022-08-03T17:00:00.000000000,2024-07-17 00:00:00,3.1,231.09,178.2256
2022-08-03T18:00:00.000000000,2024-07-17 00:00:00,3.1,225.38,181.24861
2022-08-03T19:00:00.000000000,2024-07-17 00:00:00,3.1,226.17,190.59642
2022-08-03T20:00:00.000000000,2024-07-17 00:00:00,3.1,242.13,198.291
2022-08-03T21:00:00.000000000,2024-07-17 00:00:00,3.1,253.94,203.10523
2022-08-03T22:00:00.000000000,2024-07-17 00:00:00,3.1,264.7,209.8435
2022-08-03T23:00:00.000000000,2024-07-17 00:00:00,3.1,270.87,226.3442
2022-08-04T00:00:00.000000000,2024-07-17 00:00:00,3.1,271.2,235.50964
2022-08-04T01:00:00.000000000,2024-07-17 00:00:00,3.1,281.41,268.7292
2022-08-04T02:00:00.000000000,2024-07-17 00:00:00,3.1,326.93,298.65138
2022-08-04T03:00:00.000000000,2024-07-17 00:00:00,3.1,362.27,315.89659
2022-08-04T04:00:00.000000000,2024-07-17 00:00:00,3.1,364.53,316.4186
2022-08-04T05:00:00.000000000,2024-07-17 00:00:00,3.1,360.9,305.61218
2022-08-04T06:00:00.000000000,2024-07-17 00:00:00,3.1,348.95,290.85294
2022-08-04T07:00:00.000000000,2024-07-17 00:00:00,3.1,334.61,275.60025
2022-08-04T08:00:00.000000000,2024-07-17 00:00:00,3.1,328.84,261.04937
2022-08-04T09:00:00.000000000,2024-07-17 00:00:00,3.1,328.63,251.64526
2022-08-04T10:00:00.000000000,2024-07-17 00:00:00,3.1,331.48,248.38975
2022-08-04T11:00:00.000000000,2024-07-17 00:00:00,3.1,331.27,249.83134
2022-08-04T12:00:00.000000000,2024-07-17 00:00:00,3.1,328.75,249.02338
2022-08-04T13:00:00.000000000,2024-07-17 00:00:00,3.1,327.01,240.17649
2022-08-04T14:00:00.000000000,2024-07-17 00:00:00,3.1,315.84,218.65791
2022-08-04T15:00:00.000000000,2024-07-17 00:00:00,3.1,297.92,189.33039
2022-08-04T16:00:00.000000000,2024-07-17 00:00:00,3.1,275.31,163.73905
2022-08-04T17:00:00.000000000,2024-07-17 00:00:00,3.1,266.74,152.60408
2022-08-04T18:00:00.000000000,2024-07-17 00:00:00,3.1,265.4,157.26156
2022-08-04T19:00:00.000000000,2024-07-17 00:00:00,3.1,271.43,169.31139
2022-08-04T20:00:00.000000000,2024-07-17 00:00:00,3.1,275.49,178.68092
2022-08-04T21:00:00.000000000,2024-07-17 00:00:00,3.1,270.58,183.23945
2022-08-04T22:00:00.000000000,2024-07-17 00:00:00,3.1,280.5,188.78885
2022-08-04T23:00:00.000000000,2024-07-17 00:00:00,3.1,306.13,205.25643
2022-08-05T00:00:00.000000000,2024-07-17 00:00:00,3.1,307.88,221.52475
2022-08-05T01:00:00.000000000,2024-07-17 00:00:00,3.1,326.57,259.08748
2022-08-05T02:00:00.000000000,2024-07-17 00:00:00,3.1,338.63,294.87981
2022-08-05T03:00:00.000000000,2024-07-17 00:00:00,3.1,359.38,316.31803
2022-08-05T04:00:00.000000000,2024-07-17 00:00:00,3.1,373.36,317.27475
2022-08-05T05:00:00.000000000,2024-07-17 00:00:00,3.1,364.27,304.51908
2022-08-05T06:00:00.000000000,2024-07-17 00:00:00,3.1,363.01,287.23819
2022-08-05T07:00:00.000000000,2024-07-17 00:00:00,3.1,358.43,269.111
2022-08-05T08:00:00.000000000,2024-07-17 00:00:00,3.1,350.51,251.23079
2022-08-05T09:00:00.000000000,2024-07-17 00:00:00,3.1,354.46,238.77662
2022-08-05T10:00:00.000000000,2024-07-17 00:00:00,3.1,363.85,233.06139
2022-08-05T11:00:00.000000000,2024-07-17 00:00:00,3.1,369.32,232.42136
2022-08-05T12:00:00.000000000,2024-07-17 00:00:00,3.1,359.3,230.37167
2022-08-05T13:00:00.000000000,2024-07-17 00:00:00,3.1,354.71,222.30332
2022-08-05T14:00:00.000000000,2024-07-17 00:00:00,3.1,346.8,203.05295
2022-08-05T15:00:00.000000000,2024-07-17 00:00:00,3.1,324.03,174.62843
2022-08-05T16:00:00.000000000,2024-07-17 00:00:00,3.1,298.98,147.24985
2022-08-05T17:00:00.000000000,2024-07-17 00:00:00,3.1,277.81,133.73414
2022-08-05T18:00:00.000000000,2024-07-17 00:00:00,3.1,263.67,138.01341
2022-08-05T19:00:00.000000000,2024-07-17 00:00:00,3.1,235.01,151.27232
2022-08-05T20:00:00.000000000,2024-07-17 00:00:00,3.1,233.12,161.00962
2022-08-05T21:00:00.000000000,2024-07-17 00:00:00,3.1,236.24,164.74296
2022-08-05T22:00:00.000000000,2024-07-17 00:00:00,3.1,235.22,169.757
2022-08-05T23:00:00.000000000,2024-07-17 00:00:00,3.1,248.09,187.07857
2022-08-06T00:00:00.000000000,2024-07-17 00:00:00,3.1,261.45,223.68164
2022-08-06T01:00:00.000000000,2024-07-17 00:00:00,3.1,276.38,260.45375
2022-08-06T02:00:00.000000000,2024-07-17 00:00:00,3.1,315.24,295.77605
2022-08-06T03:00:00.000000000,2024-07-17 00:00:00,3.1,361.54,316.93209
2022-08-06T04:00:00.000000000,2024-07-17 00:00:00,3.1,358.25,317.47696
2022-08-06T05:00:00.000000000,2024-07-17 00:00:00,3.1,351.08,304.31704
2022-08-06T06:00:00.000000000,2024-07-17 00:00:00,3.1,336.02,286.45838
2022-08-06T07:00:00.000000000,2024-07-17 00:00:00,3.1,325.49,267.39423
2022-08-06T08:00:00.000000000,2024-07-17 00:00:00,3.1,326.86,248.42101
2022-08-06T09:00:00.000000000,2024-07-17 00:00:00,3.1,330.14,235.62412
2022-08-06T10:00:00.000000000,2024-07-17 00:00:00,3.1,321.26,230.56648
2022-08-06T11:00:00.000000000,2024-07-17 00:00:00,3.1,307.7,230.40079
2022-08-06T12:00:00.000000000,2024-07-17 00:00:00,3.1,308.38,228.00252
2022-08-06T13:00:00.000000000,2024-07-17 00:00:00,3.1,317.56,219.51479
2022-08-06T14:00:00.000000000,2024-07-17 00:00:00,3.1,303.23,200.57205
2022-08-06T15:00:00.000000000,2024-07-17 00:00:00,3.1,247.92,172.91687
2022-08-06T16:00:00.000000000,2024-07-17 00:00:00,3.1,214.51,146.51679
2022-08-06T17:00:00.000000000,2024-07-17 00:00:00,3.1,198.74,133.86768
2022-08-06T18:00:00.000000000,2024-07-17 00:00:00,3.1,195.14,138.62444
2022-08-06T19:00:00.000000000,2024-07-17 00:00:00,3.1,194.22,151.68985
2022-08-06T20:00:00.000000000,2024-07-17 00:00:00,3.1,200.06,160.97677
2022-08-06T21:00:00.000000000,2024-07-17 00:00:00,3.1,202.26,164.89393
2022-08-06T22:00:00.000000000,2024-07-17 00:00:00,3.1,207.3,171.07928
2022-08-06T23:00:00.000000000,2024-07-17 00:00:00,3.1,227.18,189.62038
