UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2022-12-28T00:00:00.000000000,2024-07-17 00:00:00,3.1,142.24,117.38689
2022-12-28T01:00:00.000000000,2024-07-17 00:00:00,3.1,143.99,116.1108
2022-12-28T02:00:00.000000000,2024-07-17 00:00:00,3.1,149.78,118.0385
2022-12-28T03:00:00.000000000,2024-07-17 00:00:00,3.1,145.0,123.29553
2022-12-28T04:00:00.000000000,2024-07-17 00:00:00,3.1,146.24,130.52998
2022-12-28T05:00:00.000000000,2024-07-17 00:00:00,3.1,133.78,138.90133
2022-12-28T06:00:00.000000000,2024-07-17 00:00:00,3.1,125.73,144.90967
2022-12-28T07:00:00.000000000,2024-07-17 00:00:00,3.1,120.74,147.83467
2022-12-28T08:00:00.000000000,2024-07-17 00:00:00,3.1,118.46,149.34544
2022-12-28T09:00:00.000000000,2024-07-17 00:00:00,3.1,113.47,148.95526
2022-12-28T10:00:00.000000000,2024-07-17 00:00:00,3.1,104.81,147.71077
2022-12-28T11:00:00.000000000,2024-07-17 00:00:00,3.1,99.29,146.67954
2022-12-28T12:00:00.000000000,2024-07-17 00:00:00,3.1,105.95,148.14575
2022-12-28T13:00:00.000000000,2024-07-17 00:00:00,3.1,108.26,151.57087
2022-12-28T14:00:00.000000000,2024-07-17 00:00:00,3.1,113.63,157.01504
2022-12-28T15:00:00.000000000,2024-07-17 00:00:00,3.1,121.23,164.19686
2022-12-28T16:00:00.000000000,2024-07-17 00:00:00,3.1,121.51,171.66386
2022-12-28T17:00:00.000000000,2024-07-17 00:00:00,3.1,120.61,175.55248
2022-12-28T18:00:00.000000000,2024-07-17 00:00:00,3.1,124.23,173.88242
2022-12-28T19:00:00.000000000,2024-07-17 00:00:00,3.1,123.73,167.94472
2022-12-28T20:00:00.000000000,2024-07-17 00:00:00,3.1,125.67,158.77398
2022-12-28T21:00:00.000000000,2024-07-17 00:00:00,3.1,121.02,147.93651
2022-12-28T22:00:00.000000000,2024-07-17 00:00:00,3.1,123.05,137.93714
2022-12-28T23:00:00.000000000,2024-07-17 00:00:00,3.1,120.46,130.92022
2022-12-29T00:00:00.000000000,2024-07-17 00:00:00,3.1,121.01,107.26279
2022-12-29T01:00:00.000000000,2024-07-17 00:00:00,3.1,123.12,111.35959
2022-12-29T02:00:00.000000000,2024-07-17 00:00:00,3.1,123.01,118.86506
2022-12-29T03:00:00.000000000,2024-07-17 00:00:00,3.1,128.35,129.26048
2022-12-29T04:00:00.000000000,2024-07-17 00:00:00,3.1,124.36,141.16202
2022-12-29T05:00:00.000000000,2024-07-17 00:00:00,3.1,121.36,154.45622
2022-12-29T06:00:00.000000000,2024-07-17 00:00:00,3.1,124.88,166.3364
2022-12-29T07:00:00.000000000,2024-07-17 00:00:00,3.1,127.77,175.55665
2022-12-29T08:00:00.000000000,2024-07-17 00:00:00,3.1,128.61,182.15084
2022-12-29T09:00:00.000000000,2024-07-17 00:00:00,3.1,129.82,184.05189
2022-12-29T10:00:00.000000000,2024-07-17 00:00:00,3.1,125.63,181.9387
2022-12-29T11:00:00.000000000,2024-07-17 00:00:00,3.1,120.99,176.98147
2022-12-29T12:00:00.000000000,2024-07-17 00:00:00,3.1,122.2,172.79397
2022-12-29T13:00:00.000000000,2024-07-17 00:00:00,3.1,122.84,170.36737
2022-12-29T14:00:00.000000000,2024-07-17 00:00:00,3.1,126.0,170.59841
2022-12-29T15:00:00.000000000,2024-07-17 00:00:00,3.1,132.8,173.34951
