Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,nat_gas,solar
40056,2023-07-28 00:00:00,2024-07-17 00:00:00,3.1,428.86,1036.0,165.0
40057,2023-07-28 01:00:00,2024-07-17 00:00:00,3.1,436.34,1021.0,140.0
40058,2023-07-28 02:00:00,2024-07-17 00:00:00,3.1,463.75,1053.0,66.0
40059,2023-07-28 03:00:00,2024-07-17 00:00:00,3.1,472.18,1031.0,43.0
40060,2023-07-28 04:00:00,2024-07-17 00:00:00,3.1,473.47,1037.0,40.0
40061,2023-07-28 05:00:00,2024-07-17 00:00:00,3.1,483.13,1020.0,16.0
40062,2023-07-28 06:00:00,2024-07-17 00:00:00,3.1,488.66,995.0,3.0
40063,2023-07-28 07:00:00,2024-07-17 00:00:00,3.1,490.0,971.0,0.0
40064,2023-07-28 08:00:00,2024-07-17 00:00:00,3.1,490.0,923.0,0.0
40065,2023-07-28 09:00:00,2024-07-17 00:00:00,3.1,490.0,914.0,0.0
40066,2023-07-28 10:00:00,2024-07-17 00:00:00,3.1,490.0,877.0,0.0
40067,2023-07-28 11:00:00,2024-07-17 00:00:00,3.1,490.0,856.0,0.0
40068,2023-07-28 12:00:00,2024-07-17 00:00:00,3.1,489.49,865.0,1.0
40069,2023-07-28 13:00:00,2024-07-17 00:00:00,3.1,487.45,868.0,5.0
40070,2023-07-28 14:00:00,2024-07-17 00:00:00,3.1,436.34,722.0,99.0
40071,2023-07-28 15:00:00,2024-07-17 00:00:00,3.1,404.12,736.0,176.0
40072,2023-07-28 16:00:00,2024-07-17 00:00:00,3.1,382.11,778.0,249.0
40073,2023-07-28 17:00:00,2024-07-17 00:00:00,3.1,382.74,825.0,262.0
40074,2023-07-28 18:00:00,2024-07-17 00:00:00,3.1,389.68,859.0,250.0
40075,2023-07-28 19:00:00,2024-07-17 00:00:00,3.1,408.04,1001.0,226.0
40076,2023-07-28 20:00:00,2024-07-17 00:00:00,3.1,405.17,968.0,228.0
40077,2023-07-28 21:00:00,2024-07-17 00:00:00,3.1,410.28,1008.0,220.0
40078,2023-07-28 22:00:00,2024-07-17 00:00:00,3.1,416.95,1054.0,207.0
40079,2023-07-28 23:00:00,2024-07-17 00:00:00,3.1,414.64,1030.0,210.0
