UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2023-04-17T00:00:00.000000000,2024-07-17 00:00:00,3.1,219.6,188.12148
2023-04-17T01:00:00.000000000,2024-07-17 00:00:00,3.1,186.35,177.79164
2023-04-17T02:00:00.000000000,2024-07-17 00:00:00,3.1,165.73,167.1456
2023-04-17T03:00:00.000000000,2024-07-17 00:00:00,3.1,144.76,158.62739
2023-04-17T04:00:00.000000000,2024-07-17 00:00:00,3.1,124.12,152.20483
2023-04-17T05:00:00.000000000,2024-07-17 00:00:00,3.1,113.4,148.30792
2023-04-17T06:00:00.000000000,2024-07-17 00:00:00,3.1,106.66,146.62055
2023-04-17T07:00:00.000000000,2024-07-17 00:00:00,3.1,102.1,146.94338
2023-04-17T08:00:00.000000000,2024-07-17 00:00:00,3.1,102.08,147.66674
2023-04-17T09:00:00.000000000,2024-07-17 00:00:00,3.1,100.47,148.5489
2023-04-17T10:00:00.000000000,2024-07-17 00:00:00,3.1,99.18,149.78796
2023-04-17T11:00:00.000000000,2024-07-17 00:00:00,3.1,97.42,153.26541
2023-04-17T12:00:00.000000000,2024-07-17 00:00:00,3.1,99.7,159.30941
2023-04-17T13:00:00.000000000,2024-07-17 00:00:00,3.1,116.98,167.53768
2023-04-17T14:00:00.000000000,2024-07-17 00:00:00,3.1,170.31,177.05769
2023-04-17T15:00:00.000000000,2024-07-17 00:00:00,3.1,180.07,186.38216
2023-04-17T16:00:00.000000000,2024-07-17 00:00:00,3.1,154.98,193.47133
2023-04-17T17:00:00.000000000,2024-07-17 00:00:00,3.1,153.06,197.27967
2023-04-17T18:00:00.000000000,2024-07-17 00:00:00,3.1,153.71,198.03303
2023-04-17T19:00:00.000000000,2024-07-17 00:00:00,3.1,152.11,196.98934
2023-04-17T20:00:00.000000000,2024-07-17 00:00:00,3.1,147.58,195.47782
2023-04-17T21:00:00.000000000,2024-07-17 00:00:00,3.1,142.93,193.40259
2023-04-17T22:00:00.000000000,2024-07-17 00:00:00,3.1,140.86,189.92229
2023-04-17T23:00:00.000000000,2024-07-17 00:00:00,3.1,137.35,185.39734
2023-04-18T00:00:00.000000000,2024-07-17 00:00:00,3.1,118.06,168.48146
2023-04-18T01:00:00.000000000,2024-07-17 00:00:00,3.1,99.9,163.20593
2023-04-18T02:00:00.000000000,2024-07-17 00:00:00,3.1,87.36,158.72711
2023-04-18T03:00:00.000000000,2024-07-17 00:00:00,3.1,86.06,156.0084
2023-04-18T04:00:00.000000000,2024-07-17 00:00:00,3.1,88.95,154.06381
2023-04-18T05:00:00.000000000,2024-07-17 00:00:00,3.1,93.95,152.44322
2023-04-18T06:00:00.000000000,2024-07-17 00:00:00,3.1,97.17,151.59482
2023-04-18T07:00:00.000000000,2024-07-17 00:00:00,3.1,103.14,151.88987
2023-04-18T08:00:00.000000000,2024-07-17 00:00:00,3.1,106.22,152.82947
2023-04-18T09:00:00.000000000,2024-07-17 00:00:00,3.1,107.27,155.14465
2023-04-18T10:00:00.000000000,2024-07-17 00:00:00,3.1,105.46,159.06023
2023-04-18T11:00:00.000000000,2024-07-17 00:00:00,3.1,104.53,166.11073
2023-04-18T12:00:00.000000000,2024-07-17 00:00:00,3.1,115.31,175.70139
2023-04-18T13:00:00.000000000,2024-07-17 00:00:00,3.1,124.41,186.3726
2023-04-18T14:00:00.000000000,2024-07-17 00:00:00,3.1,159.3,196.71048
2023-04-18T15:00:00.000000000,2024-07-17 00:00:00,3.1,158.54,206.4727
2023-04-18T16:00:00.000000000,2024-07-17 00:00:00,3.1,159.37,214.44356
2023-04-18T17:00:00.000000000,2024-07-17 00:00:00,3.1,166.09,219.99612
2023-04-18T18:00:00.000000000,2024-07-17 00:00:00,3.1,186.51,222.90175
2023-04-18T19:00:00.000000000,2024-07-17 00:00:00,3.1,193.91,221.82662
2023-04-18T20:00:00.000000000,2024-07-17 00:00:00,3.1,189.98,217.65131
2023-04-18T21:00:00.000000000,2024-07-17 00:00:00,3.1,175.86,209.28839
2023-04-18T22:00:00.000000000,2024-07-17 00:00:00,3.1,165.98,198.50534
2023-04-18T23:00:00.000000000,2024-07-17 00:00:00,3.1,155.48,188.46523
2023-04-19T00:00:00.000000000,2024-07-17 00:00:00,3.1,139.58,165.49218
2023-04-19T01:00:00.000000000,2024-07-17 00:00:00,3.1,119.22,159.54308
2023-04-19T02:00:00.000000000,2024-07-17 00:00:00,3.1,114.78,153.45365
2023-04-19T03:00:00.000000000,2024-07-17 00:00:00,3.1,112.24,148.97818
