Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,oil,hydro,solar,other
36984,2023-03-22 00:00:00,2024-07-17 00:00:00,3.1,697.12,3693.0,0.0,28.0,32.0,86.0,1161.0
36985,2023-03-22 01:00:00,2024-07-17 00:00:00,3.1,700.66,3741.0,0.0,27.0,0.0,89.0,1207.0
36986,2023-03-22 02:00:00,2024-07-17 00:00:00,3.1,704.4,3650.0,0.0,27.0,0.0,88.0,1027.0
36987,2023-03-22 03:00:00,2024-07-17 00:00:00,3.1,717.9,3646.0,0.0,27.0,0.0,89.0,568.0
36988,2023-03-22 04:00:00,2024-07-17 00:00:00,3.1,718.89,3281.0,0.0,27.0,0.0,90.0,429.0
36989,2023-03-22 05:00:00,2024-07-17 00:00:00,3.1,715.13,2723.0,0.0,27.0,0.0,91.0,348.0
36990,2023-03-22 06:00:00,2024-07-17 00:00:00,3.1,712.69,2490.0,0.0,27.0,0.0,87.0,345.0
36991,2023-03-22 07:00:00,2024-07-17 00:00:00,3.1,709.9,2345.0,0.0,27.0,0.0,88.0,347.0
36992,2023-03-22 08:00:00,2024-07-17 00:00:00,3.1,709.03,2325.0,0.0,27.0,0.0,90.0,347.0
36993,2023-03-22 09:00:00,2024-07-17 00:00:00,3.1,711.45,2464.0,0.0,27.0,0.0,90.0,347.0
36994,2023-03-22 10:00:00,2024-07-17 00:00:00,3.1,715.12,2703.0,0.0,27.0,0.0,88.0,357.0
36995,2023-03-22 11:00:00,2024-07-17 00:00:00,3.1,720.34,3161.0,0.0,27.0,0.0,90.0,358.0
36996,2023-03-22 12:00:00,2024-07-17 00:00:00,3.1,723.2,3487.0,0.0,27.0,2.0,90.0,359.0
36997,2023-03-22 13:00:00,2024-07-17 00:00:00,3.1,701.74,3402.0,0.0,28.0,122.0,84.0,358.0
36998,2023-03-22 14:00:00,2024-07-17 00:00:00,3.1,652.05,3119.0,0.0,27.0,382.0,82.0,357.0
36999,2023-03-22 15:00:00,2024-07-17 00:00:00,3.1,598.86,2880.0,0.0,27.0,671.0,81.0,357.0
37000,2023-03-22 16:00:00,2024-07-17 00:00:00,3.1,586.43,2951.0,42.0,26.0,759.0,84.0,357.0
37001,2023-03-22 17:00:00,2024-07-17 00:00:00,3.1,589.25,3068.0,58.0,24.0,762.0,89.0,371.0
37002,2023-03-22 18:00:00,2024-07-17 00:00:00,3.1,598.42,3307.0,51.0,25.0,764.0,87.0,369.0
37003,2023-03-22 19:00:00,2024-07-17 00:00:00,3.1,605.38,3450.0,43.0,25.0,746.0,88.0,442.0
37004,2023-03-22 20:00:00,2024-07-17 00:00:00,3.1,616.49,3631.0,8.0,30.0,704.0,85.0,636.0
37005,2023-03-22 21:00:00,2024-07-17 00:00:00,3.1,628.92,3860.0,0.0,28.0,638.0,83.0,858.0
37006,2023-03-22 22:00:00,2024-07-17 00:00:00,3.1,632.28,3890.0,0.0,33.0,583.0,86.0,1159.0
37007,2023-03-22 23:00:00,2024-07-17 00:00:00,3.1,662.9,3948.0,0.0,28.0,300.0,88.0,1353.0
