UTC time,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_coal_production_forecast,avg_nat_gas_production_forecast,avg_oil_production_forecast,avg_hydro_production_forecast,avg_solar_production_forecast,avg_other_production_forecast
2023-11-01 00:00:00,2024-07-17 00:00:00,3.1,8.9,290.8,280.8,298.42,0.09,719.75,4978.18,3.85,26.0,29.34,71.12
2023-11-01 01:00:00,2024-07-17 00:00:00,3.1,8.82,289.73,281.2,0.0,0.04,663.69,4902.88,0.0,26.08,10.97,71.66
2023-11-01 02:00:00,2024-07-17 00:00:00,3.1,8.82,289.73,281.2,0.0,0.04,597.59,4603.22,0.0,26.66,150.71,74.15
2023-11-01 03:00:00,2024-07-17 00:00:00,3.1,8.82,289.73,281.2,0.0,0.04,546.16,4575.41,0.0,25.57,31.84,74.75
2023-11-01 04:00:00,2024-07-17 00:00:00,3.1,8.69,289.01,280.72,0.0,0.07,453.69,4195.87,0.07,25.68,93.54,74.67
2023-11-01 05:00:00,2024-07-17 00:00:00,3.1,8.69,289.01,280.72,0.0,0.07,382.35,3954.77,0.27,26.04,194.93,73.69
2023-11-01 06:00:00,2024-07-17 00:00:00,3.1,8.69,289.01,280.72,0.0,0.07,329.22,3748.48,0.0,26.01,14.93,74.22
2023-11-01 07:00:00,2024-07-17 00:00:00,3.1,8.38,288.64,280.81,0.0,0.01,282.82,3462.86,0.0,25.78,212.84,73.69
2023-11-01 08:00:00,2024-07-17 00:00:00,3.1,8.38,288.64,280.81,0.0,0.01,250.3,3189.99,0.0,26.55,247.36,74.15
2023-11-01 09:00:00,2024-07-17 00:00:00,3.1,8.38,288.64,280.81,0.0,0.01,198.71,3085.04,1.28,27.27,227.25,74.26
2023-11-01 10:00:00,2024-07-17 00:00:00,3.1,8.08,288.79,281.57,0.32,0.02,192.06,3028.66,2.27,26.31,220.13,73.16
2023-11-01 11:00:00,2024-07-17 00:00:00,3.1,8.08,288.79,281.57,0.32,0.02,190.43,3047.99,4.65,25.95,140.18,73.99
2023-11-01 12:00:00,2024-07-17 00:00:00,3.1,8.08,288.79,281.57,0.32,0.02,195.65,3143.41,5.88,26.29,117.97,73.75
2023-11-01 13:00:00,2024-07-17 00:00:00,3.1,8.37,292.34,283.82,273.25,0.02,222.24,3227.1,2.66,25.44,188.43,74.14
2023-11-01 14:00:00,2024-07-17 00:00:00,3.1,8.37,292.34,283.82,273.25,0.02,280.28,3435.48,0.0,26.3,110.23,73.83
2023-11-01 15:00:00,2024-07-17 00:00:00,3.1,8.37,292.34,283.82,273.25,0.02,341.59,3695.46,0.0,25.89,236.37,71.94
