UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2023-12-07 00:00:00,2024-07-17 00:00:00,3.1,726.27,720.36041
2023-12-07 01:00:00,2024-07-17 00:00:00,3.1,721.99,720.69434
2023-12-07 02:00:00,2024-07-17 00:00:00,3.1,721.18,721.70095
2023-12-07 03:00:00,2024-07-17 00:00:00,3.1,721.94,722.07024
2023-12-07 04:00:00,2024-07-17 00:00:00,3.1,721.72,723.25973
2023-12-07 05:00:00,2024-07-17 00:00:00,3.1,721.97,723.9108
2023-12-07 06:00:00,2024-07-17 00:00:00,3.1,725.39,723.32429
2023-12-07 07:00:00,2024-07-17 00:00:00,3.1,727.63,723.41414
2023-12-07 08:00:00,2024-07-17 00:00:00,3.1,726.85,723.52313
2023-12-07 09:00:00,2024-07-17 00:00:00,3.1,723.56,722.35077
2023-12-07 10:00:00,2024-07-17 00:00:00,3.1,722.27,720.93523
2023-12-07 11:00:00,2024-07-17 00:00:00,3.1,723.65,720.8004
2023-12-07 12:00:00,2024-07-17 00:00:00,3.1,720.97,721.52035
2023-12-07 13:00:00,2024-07-17 00:00:00,3.1,714.4,721.07562
2023-12-07 14:00:00,2024-07-17 00:00:00,3.1,649.76,721.69732
2023-12-07 15:00:00,2024-07-17 00:00:00,3.1,592.39,723.73003
2023-12-07 16:00:00,2024-07-17 00:00:00,3.1,583.81,723.97916
2023-12-07 17:00:00,2024-07-17 00:00:00,3.1,574.29,722.73947
2023-12-07 18:00:00,2024-07-17 00:00:00,3.1,571.08,721.50112
2023-12-07 19:00:00,2024-07-17 00:00:00,3.1,569.12,721.54636
2023-12-07 20:00:00,2024-07-17 00:00:00,3.1,583.86,721.74429
2023-12-07 21:00:00,2024-07-17 00:00:00,3.1,615.58,721.22667
2023-12-07 22:00:00,2024-07-17 00:00:00,3.1,676.02,721.92204
2023-12-07 23:00:00,2024-07-17 00:00:00,3.1,728.07,722.76565
2023-12-08 00:00:00,2024-07-17 00:00:00,3.1,724.96,720.36054
2023-12-08 01:00:00,2024-07-17 00:00:00,3.1,725.78,720.6943
2023-12-08 02:00:00,2024-07-17 00:00:00,3.1,725.82,721.70082
2023-12-08 03:00:00,2024-07-17 00:00:00,3.1,728.12,722.07011
2023-12-08 04:00:00,2024-07-17 00:00:00,3.1,730.5,723.25973
2023-12-08 05:00:00,2024-07-17 00:00:00,3.1,731.26,723.91089
2023-12-08 06:00:00,2024-07-17 00:00:00,3.1,729.36,723.32442
2023-12-08 07:00:00,2024-07-17 00:00:00,3.1,727.36,723.41422
2023-12-08 08:00:00,2024-07-17 00:00:00,3.1,727.19,723.52296
2023-12-08 09:00:00,2024-07-17 00:00:00,3.1,726.62,722.35034
2023-12-08 10:00:00,2024-07-17 00:00:00,3.1,726.5,720.93463
2023-12-08 11:00:00,2024-07-17 00:00:00,3.1,728.17,720.79971
2023-12-08 12:00:00,2024-07-17 00:00:00,3.1,730.44,721.51984
2023-12-08 13:00:00,2024-07-17 00:00:00,3.1,725.1,721.07545
2023-12-08 14:00:00,2024-07-17 00:00:00,3.1,705.15,721.6975
2023-12-08 15:00:00,2024-07-17 00:00:00,3.1,662.43,723.73029
2023-12-08 16:00:00,2024-07-17 00:00:00,3.1,640.8,723.9796
2023-12-08 17:00:00,2024-07-17 00:00:00,3.1,632.76,722.74008
2023-12-08 18:00:00,2024-07-17 00:00:00,3.1,624.55,721.50207
2023-12-08 19:00:00,2024-07-17 00:00:00,3.1,658.93,721.54748
2023-12-08 20:00:00,2024-07-17 00:00:00,3.1,696.48,721.7455
2023-12-08 21:00:00,2024-07-17 00:00:00,3.1,708.15,721.22775
2023-12-08 22:00:00,2024-07-17 00:00:00,3.1,717.48,721.92295
2023-12-08 23:00:00,2024-07-17 00:00:00,3.1,724.7,722.76626
2023-12-09 00:00:00,2024-07-17 00:00:00,3.1,727.0,720.3605
2023-12-09 01:00:00,2024-07-17 00:00:00,3.1,730.89,720.6943
2023-12-09 02:00:00,2024-07-17 00:00:00,3.1,733.46,721.70086
2023-12-09 03:00:00,2024-07-17 00:00:00,3.1,733.11,722.07015
2023-12-09 04:00:00,2024-07-17 00:00:00,3.1,731.09,723.25973
2023-12-09 05:00:00,2024-07-17 00:00:00,3.1,729.59,723.91084
2023-12-09 06:00:00,2024-07-17 00:00:00,3.1,728.39,723.32438
2023-12-09 07:00:00,2024-07-17 00:00:00,3.1,726.76,723.41418
2023-12-09 08:00:00,2024-07-17 00:00:00,3.1,725.54,723.52305
2023-12-09 09:00:00,2024-07-17 00:00:00,3.1,724.63,722.35051
2023-12-09 10:00:00,2024-07-17 00:00:00,3.1,724.08,720.93488
2023-12-09 11:00:00,2024-07-17 00:00:00,3.1,724.22,720.79997
2023-12-09 12:00:00,2024-07-17 00:00:00,3.1,726.72,721.52005
2023-12-09 13:00:00,2024-07-17 00:00:00,3.1,720.05,721.07554
2023-12-09 14:00:00,2024-07-17 00:00:00,3.1,650.83,721.69741
2023-12-09 15:00:00,2024-07-17 00:00:00,3.1,597.01,723.73021
2023-12-09 16:00:00,2024-07-17 00:00:00,3.1,601.4,723.97942
2023-12-09 17:00:00,2024-07-17 00:00:00,3.1,606.33,722.73982
2023-12-09 18:00:00,2024-07-17 00:00:00,3.1,611.02,721.50168
2023-12-09 19:00:00,2024-07-17 00:00:00,3.1,619.38,721.54705
2023-12-09 20:00:00,2024-07-17 00:00:00,3.1,638.78,721.74503
2023-12-09 21:00:00,2024-07-17 00:00:00,3.1,642.7,721.22732
2023-12-09 22:00:00,2024-07-17 00:00:00,3.1,687.66,721.92256
2023-12-09 23:00:00,2024-07-17 00:00:00,3.1,714.63,722.76604
2023-12-10 00:00:00,2024-07-17 00:00:00,3.1,719.01,720.36076
2023-12-10 01:00:00,2024-07-17 00:00:00,3.1,723.5,720.69425
2023-12-10 02:00:00,2024-07-17 00:00:00,3.1,732.94,721.70064
2023-12-10 03:00:00,2024-07-17 00:00:00,3.1,733.32,722.06998
2023-12-10 04:00:00,2024-07-17 00:00:00,3.1,731.64,723.25968
2023-12-10 05:00:00,2024-07-17 00:00:00,3.1,730.77,723.91097
2023-12-10 06:00:00,2024-07-17 00:00:00,3.1,729.79,723.32455
2023-12-10 07:00:00,2024-07-17 00:00:00,3.1,728.86,723.41427
2023-12-10 08:00:00,2024-07-17 00:00:00,3.1,728.07,723.52279
2023-12-10 09:00:00,2024-07-17 00:00:00,3.1,723.99,722.34978
2023-12-10 10:00:00,2024-07-17 00:00:00,3.1,723.72,720.93385
2023-12-10 11:00:00,2024-07-17 00:00:00,3.1,723.21,720.79885
2023-12-10 12:00:00,2024-07-17 00:00:00,3.1,723.69,721.51919
2023-12-10 13:00:00,2024-07-17 00:00:00,3.1,717.88,721.07528
2023-12-10 14:00:00,2024-07-17 00:00:00,3.1,674.03,721.69767
2023-12-10 15:00:00,2024-07-17 00:00:00,3.1,644.4,723.7306
2023-12-10 16:00:00,2024-07-17 00:00:00,3.1,658.99,723.98007
2023-12-10 17:00:00,2024-07-17 00:00:00,3.1,660.72,722.74081
2023-12-10 18:00:00,2024-07-17 00:00:00,3.1,663.54,721.50323
2023-12-10 19:00:00,2024-07-17 00:00:00,3.1,679.21,721.54891
2023-12-10 20:00:00,2024-07-17 00:00:00,3.1,692.67,721.74697
