UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2023-10-27 00:00:00,2024-07-17 00:00:00,3.1,793.3,784.56677
2023-10-27 01:00:00,2024-07-17 00:00:00,3.1,791.81,783.87666
2023-10-27 02:00:00,2024-07-17 00:00:00,3.1,789.34,781.82177
2023-10-27 03:00:00,2024-07-17 00:00:00,3.1,787.79,781.17369
2023-10-27 04:00:00,2024-07-17 00:00:00,3.1,789.5,782.30546
2023-10-27 05:00:00,2024-07-17 00:00:00,3.1,793.23,783.13945
2023-10-27 06:00:00,2024-07-17 00:00:00,3.1,795.01,783.48234
2023-10-27 07:00:00,2024-07-17 00:00:00,3.1,793.98,783.42609
2023-10-27 08:00:00,2024-07-17 00:00:00,3.1,793.13,782.33107
2023-10-27 09:00:00,2024-07-17 00:00:00,3.1,792.0,781.56282
2023-10-27 10:00:00,2024-07-17 00:00:00,3.1,793.84,782.16542
2023-10-27 11:00:00,2024-07-17 00:00:00,3.1,795.69,782.73789
2023-10-27 12:00:00,2024-07-17 00:00:00,3.1,797.03,783.71699
2023-10-27 13:00:00,2024-07-17 00:00:00,3.1,754.85,784.32755
2023-10-27 14:00:00,2024-07-17 00:00:00,3.1,664.6,784.51175
2023-10-27 15:00:00,2024-07-17 00:00:00,3.1,644.63,784.10756
2023-10-27 16:00:00,2024-07-17 00:00:00,3.1,655.19,783.01276
2023-10-27 17:00:00,2024-07-17 00:00:00,3.1,669.33,782.4469
2023-10-27 18:00:00,2024-07-17 00:00:00,3.1,690.6,782.12058
2023-10-27 19:00:00,2024-07-17 00:00:00,3.1,694.87,782.87824
2023-10-27 20:00:00,2024-07-17 00:00:00,3.1,708.72,783.20262
2023-10-27 21:00:00,2024-07-17 00:00:00,3.1,716.46,783.20149
2023-10-27 22:00:00,2024-07-17 00:00:00,3.1,736.17,783.41279
2023-10-27 23:00:00,2024-07-17 00:00:00,3.1,784.06,783.88716
2023-10-28 00:00:00,2024-07-17 00:00:00,3.1,792.49,784.57542
2023-10-28 01:00:00,2024-07-17 00:00:00,3.1,791.47,783.8759
2023-10-28 02:00:00,2024-07-17 00:00:00,3.1,790.86,781.80236
2023-10-28 03:00:00,2024-07-17 00:00:00,3.1,787.24,781.13433
2023-10-28 04:00:00,2024-07-17 00:00:00,3.1,786.89,782.26089
2023-10-28 05:00:00,2024-07-17 00:00:00,3.1,786.17,783.10489
2023-10-28 06:00:00,2024-07-17 00:00:00,3.1,783.56,783.45931
2023-10-28 07:00:00,2024-07-17 00:00:00,3.1,790.43,783.40664
2023-10-28 08:00:00,2024-07-17 00:00:00,3.1,791.99,782.31044
2023-10-28 09:00:00,2024-07-17 00:00:00,3.1,791.48,781.54137
2023-10-28 10:00:00,2024-07-17 00:00:00,3.1,792.29,782.14578
2023-10-28 11:00:00,2024-07-17 00:00:00,3.1,792.53,782.72513
2023-10-28 12:00:00,2024-07-17 00:00:00,3.1,794.32,783.70857
2023-10-28 13:00:00,2024-07-17 00:00:00,3.1,741.79,784.3252
2023-10-28 14:00:00,2024-07-17 00:00:00,3.1,645.42,784.51085
2023-10-28 15:00:00,2024-07-17 00:00:00,3.1,626.94,784.11059
2023-10-28 16:00:00,2024-07-17 00:00:00,3.1,645.48,783.02462
2023-10-28 17:00:00,2024-07-17 00:00:00,3.1,663.16,782.46898
2023-10-28 18:00:00,2024-07-17 00:00:00,3.1,668.96,782.14651
2023-10-28 19:00:00,2024-07-17 00:00:00,3.1,671.89,782.90177
2023-10-28 20:00:00,2024-07-17 00:00:00,3.1,683.71,783.21909
2023-10-28 21:00:00,2024-07-17 00:00:00,3.1,690.85,783.21081
2023-10-28 22:00:00,2024-07-17 00:00:00,3.1,723.47,783.41958
2023-10-28 23:00:00,2024-07-17 00:00:00,3.1,781.39,783.89535
2023-10-29 00:00:00,2024-07-17 00:00:00,3.1,789.42,784.57768
2023-10-29 01:00:00,2024-07-17 00:00:00,3.1,786.42,783.8759
2023-10-29 02:00:00,2024-07-17 00:00:00,3.1,784.26,781.79711
2023-10-29 03:00:00,2024-07-17 00:00:00,3.1,782.09,781.12659
2023-10-29 04:00:00,2024-07-17 00:00:00,3.1,784.16,782.25582
2023-10-29 05:00:00,2024-07-17 00:00:00,3.1,788.62,783.10511
2023-10-29 06:00:00,2024-07-17 00:00:00,3.1,789.67,783.4636
2023-10-29 07:00:00,2024-07-17 00:00:00,3.1,790.1,783.4127
2023-10-29 08:00:00,2024-07-17 00:00:00,3.1,788.91,782.31582
2023-10-29 09:00:00,2024-07-17 00:00:00,3.1,787.74,781.54802
2023-10-29 10:00:00,2024-07-17 00:00:00,3.1,788.72,782.15271
2023-10-29 11:00:00,2024-07-17 00:00:00,3.1,788.95,782.73137
2023-10-29 12:00:00,2024-07-17 00:00:00,3.1,790.29,783.71373
2023-10-29 13:00:00,2024-07-17 00:00:00,3.1,759.72,784.32769
2023-10-29 14:00:00,2024-07-17 00:00:00,3.1,686.62,784.50859
2023-10-29 15:00:00,2024-07-17 00:00:00,3.1,645.14,784.1039
2023-10-29 16:00:00,2024-07-17 00:00:00,3.1,635.83,783.0172
2023-10-29 17:00:00,2024-07-17 00:00:00,3.1,640.82,782.46491
2023-10-29 18:00:00,2024-07-17 00:00:00,3.1,646.78,782.14619
2023-10-29 19:00:00,2024-07-17 00:00:00,3.1,658.41,782.90272
2023-10-29 20:00:00,2024-07-17 00:00:00,3.1,669.27,783.22013
2023-10-29 21:00:00,2024-07-17 00:00:00,3.1,681.6,783.21312
2023-10-29 22:00:00,2024-07-17 00:00:00,3.1,719.75,783.4237
2023-10-29 23:00:00,2024-07-17 00:00:00,3.1,781.65,783.90164
2023-10-30 00:00:00,2024-07-17 00:00:00,3.1,791.36,784.5784
2023-10-30 01:00:00,2024-07-17 00:00:00,3.1,790.07,783.87603
2023-10-30 02:00:00,2024-07-17 00:00:00,3.1,787.59,781.79589
2023-10-30 03:00:00,2024-07-17 00:00:00,3.1,785.52,781.12424
2023-10-30 04:00:00,2024-07-17 00:00:00,3.1,786.5,782.25356
2023-10-30 05:00:00,2024-07-17 00:00:00,3.1,793.01,783.10389
2023-10-30 06:00:00,2024-07-17 00:00:00,3.1,792.43,783.46333
2023-10-30 07:00:00,2024-07-17 00:00:00,3.1,791.27,783.41279
2023-10-30 08:00:00,2024-07-17 00:00:00,3.1,792.33,782.31578
2023-10-30 09:00:00,2024-07-17 00:00:00,3.1,792.9,781.54816
