UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2022-08-12T00:00:00.000000000,2024-07-17 00:00:00,3.1,430.96,432.36944
2022-08-12T01:00:00.000000000,2024-07-17 00:00:00,3.1,433.49,429.77233
2022-08-12T02:00:00.000000000,2024-07-17 00:00:00,3.1,431.03,424.86211
2022-08-12T03:00:00.000000000,2024-07-17 00:00:00,3.1,426.93,416.92837
2022-08-12T04:00:00.000000000,2024-07-17 00:00:00,3.1,422.48,409.27822
2022-08-12T05:00:00.000000000,2024-07-17 00:00:00,3.1,414.89,402.50986
2022-08-12T06:00:00.000000000,2024-07-17 00:00:00,3.1,408.97,393.24253
2022-08-12T07:00:00.000000000,2024-07-17 00:00:00,3.1,402.62,385.41564
2022-08-12T08:00:00.000000000,2024-07-17 00:00:00,3.1,399.35,382.62093
2022-08-12T09:00:00.000000000,2024-07-17 00:00:00,3.1,398.49,384.0116
2022-08-12T10:00:00.000000000,2024-07-17 00:00:00,3.1,402.21,388.09532
2022-08-12T11:00:00.000000000,2024-07-17 00:00:00,3.1,406.36,391.89152
2022-08-12T12:00:00.000000000,2024-07-17 00:00:00,3.1,404.68,395.63504
2022-08-12T13:00:00.000000000,2024-07-17 00:00:00,3.1,398.57,397.53308
2022-08-12T14:00:00.000000000,2024-07-17 00:00:00,3.1,396.37,398.77613
2022-08-12T15:00:00.000000000,2024-07-17 00:00:00,3.1,388.78,400.09009
2022-08-12T16:00:00.000000000,2024-07-17 00:00:00,3.1,384.03,402.10453
2022-08-12T17:00:00.000000000,2024-07-17 00:00:00,3.1,382.85,404.94994
2022-08-12T18:00:00.000000000,2024-07-17 00:00:00,3.1,390.85,407.25178
2022-08-12T19:00:00.000000000,2024-07-17 00:00:00,3.1,399.93,410.53143
2022-08-12T20:00:00.000000000,2024-07-17 00:00:00,3.1,410.58,414.08674
2022-08-12T21:00:00.000000000,2024-07-17 00:00:00,3.1,414.63,419.20779
2022-08-12T22:00:00.000000000,2024-07-17 00:00:00,3.1,413.32,424.48017
2022-08-12T23:00:00.000000000,2024-07-17 00:00:00,3.1,425.11,428.15872
2022-08-13T00:00:00.000000000,2024-07-17 00:00:00,3.1,436.01,428.4438
2022-08-13T01:00:00.000000000,2024-07-17 00:00:00,3.1,436.47,427.00072
2022-08-13T02:00:00.000000000,2024-07-17 00:00:00,3.1,434.04,422.49787
