UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2023-11-19T00:00:00.000000000,2024-07-17 00:00:00,3.1,12.94,13.25237
2023-11-19T01:00:00.000000000,2024-07-17 00:00:00,3.1,13.66,13.44745
2023-11-19T02:00:00.000000000,2024-07-17 00:00:00,3.1,14.03,13.41369
2023-11-19T03:00:00.000000000,2024-07-17 00:00:00,3.1,14.23,15.03594
2023-11-19T04:00:00.000000000,2024-07-17 00:00:00,3.1,14.31,16.22421
2023-11-19T05:00:00.000000000,2024-07-17 00:00:00,3.1,14.37,17.44412
2023-11-19T06:00:00.000000000,2024-07-17 00:00:00,3.1,14.12,18.283
2023-11-19T07:00:00.000000000,2024-07-17 00:00:00,3.1,13.28,18.0813
2023-11-19T08:00:00.000000000,2024-07-17 00:00:00,3.1,12.58,18.43355
2023-11-19T09:00:00.000000000,2024-07-17 00:00:00,3.1,11.98,17.25676
2023-11-19T10:00:00.000000000,2024-07-17 00:00:00,3.1,11.74,18.41212
2023-11-19T11:00:00.000000000,2024-07-17 00:00:00,3.1,11.36,17.87455
2023-11-19T12:00:00.000000000,2024-07-17 00:00:00,3.1,11.12,19.3858
2023-11-19T13:00:00.000000000,2024-07-17 00:00:00,3.1,11.09,19.50338
2023-11-19T14:00:00.000000000,2024-07-17 00:00:00,3.1,11.44,20.51815
2023-11-19T15:00:00.000000000,2024-07-17 00:00:00,3.1,11.28,21.17012
2023-11-19T16:00:00.000000000,2024-07-17 00:00:00,3.1,11.26,21.60502
2023-11-19T17:00:00.000000000,2024-07-17 00:00:00,3.1,11.99,21.27041
2023-11-19T18:00:00.000000000,2024-07-17 00:00:00,3.1,13.92,21.55225
2023-11-19T19:00:00.000000000,2024-07-17 00:00:00,3.1,14.16,20.13542
2023-11-19T20:00:00.000000000,2024-07-17 00:00:00,3.1,13.83,20.77838
2023-11-19T21:00:00.000000000,2024-07-17 00:00:00,3.1,13.92,19.00795
2023-11-19T22:00:00.000000000,2024-07-17 00:00:00,3.1,13.97,17.96202
2023-11-19T23:00:00.000000000,2024-07-17 00:00:00,3.1,14.54,17.89266
2023-11-20T00:00:00.000000000,2024-07-17 00:00:00,3.1,15.41,19.29696
2023-11-20T01:00:00.000000000,2024-07-17 00:00:00,3.1,14.63,18.84011
2023-11-20T02:00:00.000000000,2024-07-17 00:00:00,3.1,15.01,18.85502
2023-11-20T03:00:00.000000000,2024-07-17 00:00:00,3.1,15.76,20.07557
2023-11-20T04:00:00.000000000,2024-07-17 00:00:00,3.1,16.5,20.98991
2023-11-20T05:00:00.000000000,2024-07-17 00:00:00,3.1,18.5,22.63242
2023-11-20T06:00:00.000000000,2024-07-17 00:00:00,3.1,21.99,22.26796
2023-11-20T07:00:00.000000000,2024-07-17 00:00:00,3.1,26.34,21.89764
2023-11-20T08:00:00.000000000,2024-07-17 00:00:00,3.1,28.34,22.89323
2023-11-20T09:00:00.000000000,2024-07-17 00:00:00,3.1,27.38,21.51756
2023-11-20T10:00:00.000000000,2024-07-17 00:00:00,3.1,26.13,22.62092
2023-11-20T11:00:00.000000000,2024-07-17 00:00:00,3.1,25.86,22.24739
2023-11-20T12:00:00.000000000,2024-07-17 00:00:00,3.1,24.67,23.42731
2023-11-20T13:00:00.000000000,2024-07-17 00:00:00,3.1,25.97,22.67151
2023-11-20T14:00:00.000000000,2024-07-17 00:00:00,3.1,26.67,24.09035
2023-11-20T15:00:00.000000000,2024-07-17 00:00:00,3.1,27.81,24.83105
2023-11-20T16:00:00.000000000,2024-07-17 00:00:00,3.1,29.84,24.88209
2023-11-20T17:00:00.000000000,2024-07-17 00:00:00,3.1,32.11,24.64569
2023-11-20T18:00:00.000000000,2024-07-17 00:00:00,3.1,32.66,24.56469
2023-11-20T19:00:00.000000000,2024-07-17 00:00:00,3.1,32.72,24.3339
2023-11-20T20:00:00.000000000,2024-07-17 00:00:00,3.1,36.0,24.39905
2023-11-20T21:00:00.000000000,2024-07-17 00:00:00,3.1,35.27,22.32661
2023-11-20T22:00:00.000000000,2024-07-17 00:00:00,3.1,34.94,21.77358
2023-11-20T23:00:00.000000000,2024-07-17 00:00:00,3.1,37.56,21.06507
2023-11-21T00:00:00.000000000,2024-07-17 00:00:00,3.1,36.53,19.69607
2023-11-21T01:00:00.000000000,2024-07-17 00:00:00,3.1,39.21,20.39903
2023-11-21T02:00:00.000000000,2024-07-17 00:00:00,3.1,38.9,20.03081
2023-11-21T03:00:00.000000000,2024-07-17 00:00:00,3.1,38.86,22.1806
2023-11-21T04:00:00.000000000,2024-07-17 00:00:00,3.1,38.26,23.10551
2023-11-21T05:00:00.000000000,2024-07-17 00:00:00,3.1,36.12,24.50051
2023-11-21T06:00:00.000000000,2024-07-17 00:00:00,3.1,39.19,23.04408
2023-11-21T07:00:00.000000000,2024-07-17 00:00:00,3.1,45.5,22.3783
2023-11-21T08:00:00.000000000,2024-07-17 00:00:00,3.1,46.76,23.73141
2023-11-21T09:00:00.000000000,2024-07-17 00:00:00,3.1,46.86,21.26411
2023-11-21T10:00:00.000000000,2024-07-17 00:00:00,3.1,45.03,22.80616
2023-11-21T11:00:00.000000000,2024-07-17 00:00:00,3.1,42.36,22.14307
2023-11-21T12:00:00.000000000,2024-07-17 00:00:00,3.1,43.34,23.64212
2023-11-21T13:00:00.000000000,2024-07-17 00:00:00,3.1,44.3,21.99042
2023-11-21T14:00:00.000000000,2024-07-17 00:00:00,3.1,47.28,24.71166
2023-11-21T15:00:00.000000000,2024-07-17 00:00:00,3.1,47.71,24.30016
2023-11-21T16:00:00.000000000,2024-07-17 00:00:00,3.1,46.16,24.49372
2023-11-21T17:00:00.000000000,2024-07-17 00:00:00,3.1,45.83,24.08149
2023-11-21T18:00:00.000000000,2024-07-17 00:00:00,3.1,44.09,23.90744
2023-11-21T19:00:00.000000000,2024-07-17 00:00:00,3.1,41.54,23.90197
2023-11-21T20:00:00.000000000,2024-07-17 00:00:00,3.1,40.53,23.52323
2023-11-21T21:00:00.000000000,2024-07-17 00:00:00,3.1,43.68,20.64784
2023-11-21T22:00:00.000000000,2024-07-17 00:00:00,3.1,43.77,19.64046
2023-11-21T23:00:00.000000000,2024-07-17 00:00:00,3.1,42.43,19.18428
2023-11-22T00:00:00.000000000,2024-07-17 00:00:00,3.1,34.21,19.91689
2023-11-22T01:00:00.000000000,2024-07-17 00:00:00,3.1,26.92,20.44652
2023-11-22T02:00:00.000000000,2024-07-17 00:00:00,3.1,28.42,20.21623
2023-11-22T03:00:00.000000000,2024-07-17 00:00:00,3.1,28.77,22.45935
2023-11-22T04:00:00.000000000,2024-07-17 00:00:00,3.1,30.01,23.45021
2023-11-22T05:00:00.000000000,2024-07-17 00:00:00,3.1,32.35,25.22429
2023-11-22T06:00:00.000000000,2024-07-17 00:00:00,3.1,37.63,24.23929
2023-11-22T07:00:00.000000000,2024-07-17 00:00:00,3.1,41.69,23.69092
