UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2023-10-21T00:00:00.000000000,2024-07-17 00:00:00,3.1,5.12,8.10398
2023-10-21T01:00:00.000000000,2024-07-17 00:00:00,3.1,5.1,9.58309
2023-10-21T02:00:00.000000000,2024-07-17 00:00:00,3.1,5.22,8.24833
2023-10-21T03:00:00.000000000,2024-07-17 00:00:00,3.1,5.29,8.76933
2023-10-21T04:00:00.000000000,2024-07-17 00:00:00,3.1,5.23,9.65644
2023-10-21T05:00:00.000000000,2024-07-17 00:00:00,3.1,5.14,8.32166
2023-10-21T06:00:00.000000000,2024-07-17 00:00:00,3.1,5.02,9.30478
2023-10-21T07:00:00.000000000,2024-07-17 00:00:00,3.1,4.97,8.67664
2023-10-21T08:00:00.000000000,2024-07-17 00:00:00,3.1,4.99,9.57865
2023-10-21T09:00:00.000000000,2024-07-17 00:00:00,3.1,5.03,8.34827
2023-10-21T10:00:00.000000000,2024-07-17 00:00:00,3.1,5.03,9.16563
2023-10-21T11:00:00.000000000,2024-07-17 00:00:00,3.1,5.65,8.95291
2023-10-21T12:00:00.000000000,2024-07-17 00:00:00,3.1,7.11,9.84613
2023-10-21T13:00:00.000000000,2024-07-17 00:00:00,3.1,7.64,8.53446
2023-10-21T14:00:00.000000000,2024-07-17 00:00:00,3.1,7.39,9.88329
2023-10-21T15:00:00.000000000,2024-07-17 00:00:00,3.1,7.5,9.52382
2023-10-21T16:00:00.000000000,2024-07-17 00:00:00,3.1,7.59,9.82487
2023-10-21T17:00:00.000000000,2024-07-17 00:00:00,3.1,6.67,9.99123
2023-10-21T18:00:00.000000000,2024-07-17 00:00:00,3.1,4.93,10.43452
2023-10-21T19:00:00.000000000,2024-07-17 00:00:00,3.1,5.11,11.36781
2023-10-21T20:00:00.000000000,2024-07-17 00:00:00,3.1,5.81,12.22594
2023-10-21T21:00:00.000000000,2024-07-17 00:00:00,3.1,7.66,11.24756
2023-10-21T22:00:00.000000000,2024-07-17 00:00:00,3.1,8.78,10.9162
2023-10-21T23:00:00.000000000,2024-07-17 00:00:00,3.1,6.86,10.43897
2023-10-22T00:00:00.000000000,2024-07-17 00:00:00,3.1,5.28,8.70675
2023-10-22T01:00:00.000000000,2024-07-17 00:00:00,3.1,5.27,11.28925
2023-10-22T02:00:00.000000000,2024-07-17 00:00:00,3.1,5.59,8.42398
2023-10-22T03:00:00.000000000,2024-07-17 00:00:00,3.1,5.72,10.99803
2023-10-22T04:00:00.000000000,2024-07-17 00:00:00,3.1,5.44,11.08302
2023-10-22T05:00:00.000000000,2024-07-17 00:00:00,3.1,4.85,12.85836
2023-10-22T06:00:00.000000000,2024-07-17 00:00:00,3.1,4.83,13.88372
2023-10-22T07:00:00.000000000,2024-07-17 00:00:00,3.1,5.1,15.07607
2023-10-22T08:00:00.000000000,2024-07-17 00:00:00,3.1,5.14,15.63348
2023-10-22T09:00:00.000000000,2024-07-17 00:00:00,3.1,5.0,15.64411
2023-10-22T10:00:00.000000000,2024-07-17 00:00:00,3.1,5.1,15.2675
2023-10-22T11:00:00.000000000,2024-07-17 00:00:00,3.1,5.06,15.76518
2023-10-22T12:00:00.000000000,2024-07-17 00:00:00,3.1,5.25,17.44329
2023-10-22T13:00:00.000000000,2024-07-17 00:00:00,3.1,5.17,17.61029
