UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2023-08-21T00:00:00.000000000,2024-07-17 00:00:00,3.1,44.66,41.50391
2023-08-21T01:00:00.000000000,2024-07-17 00:00:00,3.1,46.01,41.32985
2023-08-21T02:00:00.000000000,2024-07-17 00:00:00,3.1,50.42,41.76664
2023-08-21T03:00:00.000000000,2024-07-17 00:00:00,3.1,49.59,43.65604
2023-08-21T04:00:00.000000000,2024-07-17 00:00:00,3.1,49.63,46.16229
2023-08-21T05:00:00.000000000,2024-07-17 00:00:00,3.1,49.56,49.26821
2023-08-21T06:00:00.000000000,2024-07-17 00:00:00,3.1,49.75,52.1353
2023-08-21T07:00:00.000000000,2024-07-17 00:00:00,3.1,48.17,53.74883
2023-08-21T08:00:00.000000000,2024-07-17 00:00:00,3.1,46.69,54.81844
2023-08-21T09:00:00.000000000,2024-07-17 00:00:00,3.1,46.38,54.71795
2023-08-21T10:00:00.000000000,2024-07-17 00:00:00,3.1,46.84,53.75067
2023-08-21T11:00:00.000000000,2024-07-17 00:00:00,3.1,47.56,52.74838
2023-08-21T12:00:00.000000000,2024-07-17 00:00:00,3.1,48.6,52.41249
2023-08-21T13:00:00.000000000,2024-07-17 00:00:00,3.1,47.95,52.44353
2023-08-21T14:00:00.000000000,2024-07-17 00:00:00,3.1,46.51,54.00767
2023-08-21T15:00:00.000000000,2024-07-17 00:00:00,3.1,49.5,55.46659
2023-08-21T16:00:00.000000000,2024-07-17 00:00:00,3.1,58.26,57.57698
2023-08-21T17:00:00.000000000,2024-07-17 00:00:00,3.1,68.36,59.70172
2023-08-21T18:00:00.000000000,2024-07-17 00:00:00,3.1,70.34,61.25541
2023-08-21T19:00:00.000000000,2024-07-17 00:00:00,3.1,72.77,61.74876
2023-08-21T20:00:00.000000000,2024-07-17 00:00:00,3.1,70.46,61.1289
2023-08-21T21:00:00.000000000,2024-07-17 00:00:00,3.1,72.38,59.57838
2023-08-21T22:00:00.000000000,2024-07-17 00:00:00,3.1,66.15,57.16589
2023-08-21T23:00:00.000000000,2024-07-17 00:00:00,3.1,62.17,55.09914
2023-08-22T00:00:00.000000000,2024-07-17 00:00:00,3.1,63.08,55.54641
2023-08-22T01:00:00.000000000,2024-07-17 00:00:00,3.1,62.64,56.08475
2023-08-22T02:00:00.000000000,2024-07-17 00:00:00,3.1,62.1,56.70606
2023-08-22T03:00:00.000000000,2024-07-17 00:00:00,3.1,57.69,57.483
2023-08-22T04:00:00.000000000,2024-07-17 00:00:00,3.1,59.81,58.05479
2023-08-22T05:00:00.000000000,2024-07-17 00:00:00,3.1,59.79,58.34866
2023-08-22T06:00:00.000000000,2024-07-17 00:00:00,3.1,61.19,58.0643
2023-08-22T07:00:00.000000000,2024-07-17 00:00:00,3.1,60.35,57.23131
2023-08-22T08:00:00.000000000,2024-07-17 00:00:00,3.1,59.3,56.44422
2023-08-22T09:00:00.000000000,2024-07-17 00:00:00,3.1,59.31,55.36574
2023-08-22T10:00:00.000000000,2024-07-17 00:00:00,3.1,60.28,54.38703
2023-08-22T11:00:00.000000000,2024-07-17 00:00:00,3.1,59.9,54.43097
2023-08-22T12:00:00.000000000,2024-07-17 00:00:00,3.1,60.28,55.08989
2023-08-22T13:00:00.000000000,2024-07-17 00:00:00,3.1,62.35,56.23051
2023-08-22T14:00:00.000000000,2024-07-17 00:00:00,3.1,62.13,58.19411
2023-08-22T15:00:00.000000000,2024-07-17 00:00:00,3.1,64.96,59.71512
2023-08-22T16:00:00.000000000,2024-07-17 00:00:00,3.1,68.45,61.18274
2023-08-22T17:00:00.000000000,2024-07-17 00:00:00,3.1,75.67,61.80373
2023-08-22T18:00:00.000000000,2024-07-17 00:00:00,3.1,77.57,61.9426
2023-08-22T19:00:00.000000000,2024-07-17 00:00:00,3.1,77.62,61.40026
2023-08-22T20:00:00.000000000,2024-07-17 00:00:00,3.1,75.11,60.38933
2023-08-22T21:00:00.000000000,2024-07-17 00:00:00,3.1,73.37,59.23271
2023-08-22T22:00:00.000000000,2024-07-17 00:00:00,3.1,70.78,58.31387
2023-08-22T23:00:00.000000000,2024-07-17 00:00:00,3.1,60.7,57.79794
2023-08-23T00:00:00.000000000,2024-07-17 00:00:00,3.1,61.2,57.78714
2023-08-23T01:00:00.000000000,2024-07-17 00:00:00,3.1,60.4,58.69525
2023-08-23T02:00:00.000000000,2024-07-17 00:00:00,3.1,58.83,59.64727
2023-08-23T03:00:00.000000000,2024-07-17 00:00:00,3.1,59.52,60.53772
2023-08-23T04:00:00.000000000,2024-07-17 00:00:00,3.1,61.99,61.06148
2023-08-23T05:00:00.000000000,2024-07-17 00:00:00,3.1,60.87,61.09301
