UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2023-10-19T00:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,150.3537
2023-10-19T01:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,158.37309
2023-10-19T02:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,136.77428
2023-10-19T03:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,149.5714
2023-10-19T04:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,177.31109
2023-10-19T05:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,173.46533
2023-10-19T06:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,194.08599
2023-10-19T07:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,195.05698
2023-10-19T08:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,228.04683
2023-10-19T09:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,207.84508
2023-10-19T10:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,216.58589
2023-10-19T11:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,210.22262
2023-10-19T12:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,222.76613
2023-10-19T13:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,228.46863
2023-10-19T14:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,240.85441
2023-10-19T15:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,250.31283
2023-10-19T16:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,279.2685
2023-10-19T17:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,259.03241
2023-10-19T18:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,283.32998
2023-10-19T19:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,264.49739
2023-10-19T20:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,291.06044
2023-10-19T21:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,250.49239
2023-10-19T22:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,255.04525
2023-10-19T23:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,236.83359
2023-10-20T00:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,182.72042
2023-10-20T01:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,175.7941
2023-10-20T02:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,167.79455
2023-10-20T03:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,189.5171
2023-10-20T04:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,200.81526
2023-10-20T05:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,202.71943
2023-10-20T06:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,211.28853
2023-10-20T07:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,210.67392
2023-10-20T08:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,234.1609
2023-10-20T09:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,215.44533
2023-10-20T10:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,220.90723
2023-10-20T11:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,230.15557
2023-10-20T12:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,216.59502
2023-10-20T13:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,221.18789
2023-10-20T14:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,220.11929
2023-10-20T15:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,241.28813
2023-10-20T16:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,260.07058
2023-10-20T17:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,248.81572
2023-10-20T18:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,259.00705
2023-10-20T19:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,241.39983
2023-10-20T20:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,258.4602
2023-10-20T21:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,224.32925
2023-10-20T22:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,227.68783
2023-10-20T23:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,208.75856
2023-10-21T00:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,181.2798
2023-10-21T01:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,179.4243
2023-10-21T02:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,164.10605
2023-10-21T03:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,179.19784
2023-10-21T04:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,193.51343
2023-10-21T05:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,197.83519
2023-10-21T06:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,211.92102
2023-10-21T07:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,212.65398
2023-10-21T08:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,238.53082
2023-10-21T09:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,224.25418
2023-10-21T10:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,230.21359
2023-10-21T11:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,237.39407
2023-10-21T12:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,241.07089
2023-10-21T13:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,246.84375
2023-10-21T14:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,250.0626
2023-10-21T15:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,268.49348
2023-10-21T16:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,290.32594
2023-10-21T17:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,277.08985
2023-10-21T18:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,293.40846
2023-10-21T19:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,276.05874
2023-10-21T20:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,296.94844
2023-10-21T21:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,259.534
2023-10-21T22:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,264.26549
2023-10-21T23:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,243.4729
2023-10-22T00:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,220.95712
2023-10-22T01:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,219.85298
2023-10-22T02:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,209.22
2023-10-22T03:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,212.53541
2023-10-22T04:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,230.4397
2023-10-22T05:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,229.66464
2023-10-22T06:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,245.84084
2023-10-22T07:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,265.18555
2023-10-22T08:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,288.33856
2023-10-22T09:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,278.96524
2023-10-22T10:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,276.64701
2023-10-22T11:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,292.61266
2023-10-22T12:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,321.66522
2023-10-22T13:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,311.63324
2023-10-22T14:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,322.55193
2023-10-22T15:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,343.86827
2023-10-22T16:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,353.75287
2023-10-22T17:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,346.08903
2023-10-22T18:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,358.22364
2023-10-22T19:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,341.2371
2023-10-22T20:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,358.46911
2023-10-22T21:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,316.65005
2023-10-22T22:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,316.41191
2023-10-22T23:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,297.48412
