UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2023-08-28T00:00:00.000000000,2024-07-17 00:00:00,3.1,476.05,428.62067
2023-08-28T01:00:00.000000000,2024-07-17 00:00:00,3.1,485.62,427.5079
2023-08-28T02:00:00.000000000,2024-07-17 00:00:00,3.1,479.87,418.88352
2023-08-28T03:00:00.000000000,2024-07-17 00:00:00,3.1,452.43,398.44673
2023-08-28T04:00:00.000000000,2024-07-17 00:00:00,3.1,419.99,362.93661
2023-08-28T05:00:00.000000000,2024-07-17 00:00:00,3.1,355.36,316.56614
2023-08-28T06:00:00.000000000,2024-07-17 00:00:00,3.1,297.62,271.76735
2023-08-28T07:00:00.000000000,2024-07-17 00:00:00,3.1,264.47,237.76593
2023-08-28T08:00:00.000000000,2024-07-17 00:00:00,3.1,243.55,216.29052
2023-08-28T09:00:00.000000000,2024-07-17 00:00:00,3.1,235.37,201.89784
2023-08-28T10:00:00.000000000,2024-07-17 00:00:00,3.1,232.98,194.16382
2023-08-28T11:00:00.000000000,2024-07-17 00:00:00,3.1,240.4,194.64881
2023-08-28T12:00:00.000000000,2024-07-17 00:00:00,3.1,253.4,214.89754
2023-08-28T13:00:00.000000000,2024-07-17 00:00:00,3.1,276.67,251.34565
2023-08-28T14:00:00.000000000,2024-07-17 00:00:00,3.1,310.59,299.35611
2023-08-28T15:00:00.000000000,2024-07-17 00:00:00,3.1,346.44,342.68236
2023-08-28T16:00:00.000000000,2024-07-17 00:00:00,3.1,382.3,366.47628
2023-08-28T17:00:00.000000000,2024-07-17 00:00:00,3.1,388.94,377.96695
2023-08-28T18:00:00.000000000,2024-07-17 00:00:00,3.1,397.27,387.38693
2023-08-28T19:00:00.000000000,2024-07-17 00:00:00,3.1,415.12,401.51334
2023-08-28T20:00:00.000000000,2024-07-17 00:00:00,3.1,450.75,420.25378
2023-08-28T21:00:00.000000000,2024-07-17 00:00:00,3.1,483.24,439.74303
2023-08-28T22:00:00.000000000,2024-07-17 00:00:00,3.1,511.05,451.13122
2023-08-28T23:00:00.000000000,2024-07-17 00:00:00,3.1,517.06,453.92192
2023-08-29T00:00:00.000000000,2024-07-17 00:00:00,3.1,515.41,434.79281
2023-08-29T01:00:00.000000000,2024-07-17 00:00:00,3.1,514.55,431.11904
2023-08-29T02:00:00.000000000,2024-07-17 00:00:00,3.1,508.93,421.44528
2023-08-29T03:00:00.000000000,2024-07-17 00:00:00,3.1,481.43,402.1217
2023-08-29T04:00:00.000000000,2024-07-17 00:00:00,3.1,444.4,370.45814
2023-08-29T05:00:00.000000000,2024-07-17 00:00:00,3.1,393.08,329.65517
2023-08-29T06:00:00.000000000,2024-07-17 00:00:00,3.1,347.5,285.61426
2023-08-29T07:00:00.000000000,2024-07-17 00:00:00,3.1,313.96,245.18896
2023-08-29T08:00:00.000000000,2024-07-17 00:00:00,3.1,286.4,212.31849
2023-08-29T09:00:00.000000000,2024-07-17 00:00:00,3.1,253.92,188.7149
2023-08-29T10:00:00.000000000,2024-07-17 00:00:00,3.1,238.52,175.45517
2023-08-29T11:00:00.000000000,2024-07-17 00:00:00,3.1,243.89,173.1586
2023-08-29T12:00:00.000000000,2024-07-17 00:00:00,3.1,254.69,188.71657
2023-08-29T13:00:00.000000000,2024-07-17 00:00:00,3.1,273.9,215.14113
2023-08-29T14:00:00.000000000,2024-07-17 00:00:00,3.1,299.26,248.96545
2023-08-29T15:00:00.000000000,2024-07-17 00:00:00,3.1,335.51,283.409
2023-08-29T16:00:00.000000000,2024-07-17 00:00:00,3.1,370.93,306.91388
