UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2022-10-16 00:00:00,2024-07-17 00:00:00,3.1,490.67,424.9193
2022-10-16 01:00:00,2024-07-17 00:00:00,3.1,484.04,426.83226
2022-10-16 02:00:00,2024-07-17 00:00:00,3.1,471.67,427.1367
2022-10-16 03:00:00,2024-07-17 00:00:00,3.1,466.54,426.50348
2022-10-16 04:00:00,2024-07-17 00:00:00,3.1,440.17,430.38433
2022-10-16 05:00:00,2024-07-17 00:00:00,3.1,451.92,433.43608
2022-10-16 06:00:00,2024-07-17 00:00:00,3.1,494.85,439.18411
2022-10-16 07:00:00,2024-07-17 00:00:00,3.1,501.61,438.38992
2022-10-16 08:00:00,2024-07-17 00:00:00,3.1,460.84,442.08672
2022-10-16 09:00:00,2024-07-17 00:00:00,3.1,456.11,440.06218
2022-10-16 10:00:00,2024-07-17 00:00:00,3.1,456.25,440.99573
2022-10-16 11:00:00,2024-07-17 00:00:00,3.1,456.0,441.50075
2022-10-16 12:00:00,2024-07-17 00:00:00,3.1,456.85,442.83899
2022-10-16 13:00:00,2024-07-17 00:00:00,3.1,457.18,441.68078
2022-10-16 14:00:00,2024-07-17 00:00:00,3.1,465.29,439.29225
2022-10-16 15:00:00,2024-07-17 00:00:00,3.1,461.82,442.68805
2022-10-16 16:00:00,2024-07-17 00:00:00,3.1,436.33,446.03921
2022-10-16 17:00:00,2024-07-17 00:00:00,3.1,429.38,443.30642
2022-10-16 18:00:00,2024-07-17 00:00:00,3.1,428.54,444.02167
2022-10-16 19:00:00,2024-07-17 00:00:00,3.1,443.04,443.04952
2022-10-16 20:00:00,2024-07-17 00:00:00,3.1,438.13,445.3114
2022-10-16 21:00:00,2024-07-17 00:00:00,3.1,425.69,443.19765
2022-10-16 22:00:00,2024-07-17 00:00:00,3.1,424.79,444.18533
2022-10-16 23:00:00,2024-07-17 00:00:00,3.1,414.98,440.35743
2022-10-17 00:00:00,2024-07-17 00:00:00,3.1,428.27,408.81609
2022-10-17 01:00:00,2024-07-17 00:00:00,3.1,461.35,410.99829
2022-10-17 02:00:00,2024-07-17 00:00:00,3.1,471.42,411.98592
2022-10-17 03:00:00,2024-07-17 00:00:00,3.1,466.2,412.43346
2022-10-17 04:00:00,2024-07-17 00:00:00,3.1,472.04,417.25428
2022-10-17 05:00:00,2024-07-17 00:00:00,3.1,480.22,420.94374
2022-10-17 06:00:00,2024-07-17 00:00:00,3.1,474.99,428.22522
2022-10-17 07:00:00,2024-07-17 00:00:00,3.1,477.03,427.24194
2022-10-17 08:00:00,2024-07-17 00:00:00,3.1,511.98,430.82356
2022-10-17 09:00:00,2024-07-17 00:00:00,3.1,526.95,428.81429
2022-10-17 10:00:00,2024-07-17 00:00:00,3.1,536.3,430.06243
