Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,nuclear,oil,hydro,solar,wind,biomass,geothermal,unknown
40152,2023-08-01 00:00:00,2024-07-17 00:00:00,3.1,157.01,1050.0,2618.0,7433.0,0.0,120.0,0.0,282.0,305.0,0.0,209.0
40153,2023-08-01 01:00:00,2024-07-17 00:00:00,3.1,157.63,1043.0,2645.0,7435.0,0.0,120.0,0.0,251.0,307.0,0.0,213.0
40154,2023-08-01 02:00:00,2024-07-17 00:00:00,3.1,158.89,1062.0,2713.0,7431.0,0.0,120.0,0.0,301.0,315.0,0.0,208.0
40155,2023-08-01 03:00:00,2024-07-17 00:00:00,3.1,159.4,1119.0,2735.0,7433.0,0.0,120.0,82.0,416.0,321.0,0.0,208.0
40156,2023-08-01 04:00:00,2024-07-17 00:00:00,3.1,158.02,1138.0,3139.0,7433.0,0.0,112.0,808.0,411.0,355.0,0.0,217.0
40157,2023-08-01 05:00:00,2024-07-17 00:00:00,3.1,138.3,1142.0,3113.0,7437.0,0.0,91.0,2929.0,264.0,357.0,0.0,231.0
40158,2023-08-01 06:00:00,2024-07-17 00:00:00,3.1,116.13,1159.0,2885.0,7439.0,0.0,85.0,5636.0,201.0,355.0,0.0,249.0
40159,2023-08-01 07:00:00,2024-07-17 00:00:00,3.1,101.97,1148.0,2655.0,7440.0,0.0,84.0,7703.0,158.0,352.0,0.0,291.0
40160,2023-08-01 08:00:00,2024-07-17 00:00:00,3.1,92.85,1124.0,2500.0,7430.0,0.0,89.0,9094.0,140.0,348.0,0.0,301.0
40161,2023-08-01 09:00:00,2024-07-17 00:00:00,3.1,87.46,1035.0,2433.0,7435.0,0.0,88.0,9541.0,124.0,347.0,0.0,308.0
40162,2023-08-01 10:00:00,2024-07-17 00:00:00,3.1,94.48,1026.0,2774.0,7441.0,0.0,87.0,9049.0,76.0,343.0,0.0,330.0
40163,2023-08-01 11:00:00,2024-07-17 00:00:00,3.1,97.54,1022.0,2746.0,7445.0,0.0,91.0,8340.0,61.0,343.0,0.0,341.0
40164,2023-08-01 12:00:00,2024-07-17 00:00:00,3.1,97.68,1019.0,2227.0,7449.0,0.0,99.0,6748.0,123.0,346.0,0.0,337.0
40165,2023-08-01 13:00:00,2024-07-17 00:00:00,3.1,123.04,1117.0,3041.0,7451.0,0.0,108.0,4825.0,292.0,341.0,0.0,308.0
40166,2023-08-01 14:00:00,2024-07-17 00:00:00,3.1,142.65,1248.0,3231.0,7452.0,0.0,115.0,3102.0,361.0,345.0,0.0,272.0
40167,2023-08-01 15:00:00,2024-07-17 00:00:00,3.1,157.75,1386.0,2909.0,7451.0,0.0,118.0,1842.0,100.0,350.0,0.0,248.0
40168,2023-08-01 16:00:00,2024-07-17 00:00:00,3.1,175.43,1534.0,2758.0,7455.0,0.0,116.0,759.0,11.0,351.0,0.0,229.0
40169,2023-08-01 17:00:00,2024-07-17 00:00:00,3.1,184.62,1517.0,2929.0,7455.0,0.0,118.0,177.0,25.0,353.0,0.0,217.0
40170,2023-08-01 18:00:00,2024-07-17 00:00:00,3.1,189.17,1510.0,3122.0,7455.0,0.0,124.0,1.0,44.0,351.0,0.0,213.0
40171,2023-08-01 19:00:00,2024-07-17 00:00:00,3.1,181.49,1471.0,2777.0,7454.0,0.0,124.0,0.0,100.0,353.0,0.0,211.0
40172,2023-08-01 20:00:00,2024-07-17 00:00:00,3.1,180.1,1373.0,2977.0,7452.0,0.0,124.0,0.0,91.0,353.0,0.0,210.0
40173,2023-08-01 21:00:00,2024-07-17 00:00:00,3.1,174.87,1256.0,3042.0,7444.0,0.0,124.0,0.0,153.0,354.0,0.0,209.0
40174,2023-08-01 22:00:00,2024-07-17 00:00:00,3.1,162.13,1042.0,2852.0,7450.0,0.0,120.0,0.0,179.0,318.0,0.0,223.0
40175,2023-08-01 23:00:00,2024-07-17 00:00:00,3.1,157.11,1034.0,2626.0,7449.0,0.0,120.0,0.0,256.0,302.0,0.0,226.0
