Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,nuclear,oil,hydro,solar,wind,biomass,geothermal,unknown
41904,2023-10-13 00:00:00,2024-07-17 00:00:00,3.1,204.63,730.0,3275.0,7650.0,0.0,60.0,0.0,54.0,512.0,0.0,198.0
41905,2023-10-13 01:00:00,2024-07-17 00:00:00,3.1,200.31,739.0,3045.0,7652.0,0.0,60.0,0.0,24.0,507.0,0.0,202.0
41906,2023-10-13 02:00:00,2024-07-17 00:00:00,3.1,199.88,735.0,3033.0,7653.0,0.0,60.0,0.0,11.0,507.0,0.0,199.0
41907,2023-10-13 03:00:00,2024-07-17 00:00:00,3.1,209.93,741.0,3471.0,7654.0,0.0,60.0,0.0,20.0,516.0,0.0,195.0
41908,2023-10-13 04:00:00,2024-07-17 00:00:00,3.1,216.29,724.0,3794.0,7647.0,0.0,60.0,0.0,37.0,559.0,0.0,203.0
41909,2023-10-13 05:00:00,2024-07-17 00:00:00,3.1,214.91,726.0,3867.0,7645.0,0.0,60.0,195.0,77.0,562.0,0.0,206.0
41910,2023-10-13 06:00:00,2024-07-17 00:00:00,3.1,199.33,708.0,3718.0,7647.0,0.0,63.0,1302.0,11.0,563.0,0.0,218.0
41911,2023-10-13 07:00:00,2024-07-17 00:00:00,3.1,185.18,718.0,3854.0,7642.0,0.0,62.0,3204.0,4.0,558.0,0.0,248.0
41912,2023-10-13 08:00:00,2024-07-17 00:00:00,3.1,155.28,723.0,3177.0,7644.0,0.0,62.0,5646.0,0.0,504.0,0.0,265.0
41913,2023-10-13 09:00:00,2024-07-17 00:00:00,3.1,145.87,713.0,3156.0,7646.0,0.0,64.0,7344.0,1.0,500.0,0.0,295.0
41914,2023-10-13 10:00:00,2024-07-17 00:00:00,3.1,136.29,725.0,2902.0,7643.0,0.0,64.0,8541.0,5.0,499.0,0.0,299.0
41915,2023-10-13 11:00:00,2024-07-17 00:00:00,3.1,142.13,739.0,3170.0,7650.0,0.0,64.0,8363.0,12.0,497.0,0.0,304.0
41916,2023-10-13 12:00:00,2024-07-17 00:00:00,3.1,147.17,725.0,3163.0,7648.0,0.0,64.0,7170.0,28.0,496.0,0.0,298.0
41917,2023-10-13 13:00:00,2024-07-17 00:00:00,3.1,160.52,732.0,3235.0,7646.0,0.0,64.0,5067.0,47.0,501.0,0.0,284.0
41918,2023-10-13 14:00:00,2024-07-17 00:00:00,3.1,187.44,714.0,3727.0,7645.0,0.0,64.0,2538.0,84.0,532.0,0.0,246.0
41919,2023-10-13 15:00:00,2024-07-17 00:00:00,3.1,233.5,734.0,5124.0,7640.0,0.0,64.0,530.0,159.0,536.0,0.0,210.0
41920,2023-10-13 16:00:00,2024-07-17 00:00:00,3.1,240.98,736.0,5355.0,7638.0,0.0,64.0,3.0,363.0,539.0,0.0,203.0
41921,2023-10-13 17:00:00,2024-07-17 00:00:00,3.1,238.92,737.0,5364.0,7632.0,0.0,64.0,0.0,517.0,539.0,0.0,202.0
41922,2023-10-13 18:00:00,2024-07-17 00:00:00,3.1,230.64,622.0,5249.0,7632.0,0.0,67.0,0.0,635.0,545.0,0.0,201.0
41923,2023-10-13 19:00:00,2024-07-17 00:00:00,3.1,203.12,620.0,3830.0,7637.0,0.0,68.0,0.0,640.0,527.0,0.0,200.0
41924,2023-10-13 20:00:00,2024-07-17 00:00:00,3.1,203.64,644.0,3771.0,7639.0,0.0,72.0,0.0,587.0,490.0,0.0,202.0
41925,2023-10-13 21:00:00,2024-07-17 00:00:00,3.1,205.96,733.0,3691.0,7640.0,0.0,63.0,0.0,580.0,421.0,0.0,198.0
41926,2023-10-13 22:00:00,2024-07-17 00:00:00,3.1,184.96,743.0,2755.0,7644.0,0.0,60.0,0.0,635.0,347.0,0.0,222.0
41927,2023-10-13 23:00:00,2024-07-17 00:00:00,3.1,185.02,752.0,2700.0,7644.0,0.0,60.0,0.0,570.0,336.0,0.0,224.0
