Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,nuclear,oil,hydro,solar,wind,biomass,geothermal,unknown
39624,2023-07-10 00:00:00,2024-07-17 00:00:00,3.1,265.78,427.0,1257.0,0.0,407.0,75.0,0.0,1429.0,0.0,0.0,2.0
39625,2023-07-10 01:00:00,2024-07-17 00:00:00,3.1,262.63,427.0,1266.0,0.0,424.0,76.0,0.0,1484.0,0.0,0.0,2.0
39626,2023-07-10 02:00:00,2024-07-17 00:00:00,3.1,248.42,429.0,1051.0,0.0,425.0,77.0,0.0,1593.0,0.0,0.0,2.0
39627,2023-07-10 03:00:00,2024-07-17 00:00:00,3.1,277.54,427.0,1538.0,0.0,437.0,77.0,0.0,1382.0,0.0,0.0,2.0
39628,2023-07-10 04:00:00,2024-07-17 00:00:00,3.1,304.19,425.0,1739.0,0.0,643.0,77.0,0.0,1153.0,0.0,0.0,2.0
39629,2023-07-10 05:00:00,2024-07-17 00:00:00,3.1,337.45,510.0,2249.0,0.0,842.0,77.0,0.0,951.0,0.0,0.0,2.0
39630,2023-07-10 06:00:00,2024-07-17 00:00:00,3.1,367.57,756.0,2534.0,0.0,880.0,76.0,0.0,841.0,0.0,0.0,2.0
39631,2023-07-10 07:00:00,2024-07-17 00:00:00,3.1,367.41,777.0,2515.0,0.0,865.0,107.0,0.0,833.0,0.0,0.0,2.0
39632,2023-07-10 08:00:00,2024-07-17 00:00:00,3.1,374.89,747.0,2484.0,0.0,868.0,123.0,0.0,685.0,0.0,0.0,2.0
39633,2023-07-10 09:00:00,2024-07-17 00:00:00,3.1,372.25,591.0,2537.0,0.0,878.0,124.0,0.0,557.0,0.0,0.0,2.0
39634,2023-07-10 10:00:00,2024-07-17 00:00:00,3.1,367.62,491.0,2458.0,0.0,871.0,123.0,0.0,509.0,0.0,0.0,2.0
39635,2023-07-10 11:00:00,2024-07-17 00:00:00,3.1,331.09,409.0,2405.0,0.0,871.0,156.0,0.0,855.0,0.0,0.0,2.0
39636,2023-07-10 12:00:00,2024-07-17 00:00:00,3.1,334.79,524.0,2299.0,0.0,866.0,164.0,0.0,929.0,0.0,0.0,2.0
39637,2023-07-10 13:00:00,2024-07-17 00:00:00,3.1,345.83,804.0,2125.0,0.0,783.0,165.0,0.0,1084.0,0.0,0.0,2.0
39638,2023-07-10 14:00:00,2024-07-17 00:00:00,3.1,327.64,735.0,2119.0,0.0,780.0,162.0,0.0,1270.0,0.0,0.0,2.0
39639,2023-07-10 15:00:00,2024-07-17 00:00:00,3.1,316.94,590.0,2228.0,0.0,810.0,169.0,0.0,1258.0,0.0,0.0,2.0
39640,2023-07-10 16:00:00,2024-07-17 00:00:00,3.1,319.9,541.0,2451.0,0.0,841.0,167.0,0.0,1189.0,0.0,0.0,2.0
39641,2023-07-10 17:00:00,2024-07-17 00:00:00,3.1,363.92,893.0,2382.0,0.0,806.0,169.0,0.0,937.0,0.0,0.0,2.0
39642,2023-07-10 18:00:00,2024-07-17 00:00:00,3.1,393.75,1024.0,2486.0,0.0,788.0,168.0,0.0,660.0,0.0,0.0,2.0
39643,2023-07-10 19:00:00,2024-07-17 00:00:00,3.1,404.59,966.0,2246.0,0.0,757.0,164.0,0.0,496.0,0.0,0.0,2.0
39644,2023-07-10 20:00:00,2024-07-17 00:00:00,3.1,416.76,978.0,2244.0,0.0,792.0,135.0,0.0,399.0,0.0,0.0,2.0
39645,2023-07-10 21:00:00,2024-07-17 00:00:00,3.1,405.55,729.0,1938.0,0.0,793.0,91.0,0.0,378.0,0.0,0.0,2.0
39646,2023-07-10 22:00:00,2024-07-17 00:00:00,3.1,399.16,523.0,1837.0,0.0,787.0,77.0,0.0,276.0,0.0,0.0,2.0
39647,2023-07-10 23:00:00,2024-07-17 00:00:00,3.1,392.78,407.0,1691.0,0.0,701.0,76.0,0.0,231.0,0.0,0.0,2.0
