Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,nat_gas,oil,hydro,solar,wind,other
42888,2023-11-23 00:00:00,2024-07-17 00:00:00,3.1,171.97,458.0,0.0,528.0,24.0,109.0,57.0
42889,2023-11-23 01:00:00,2024-07-17 00:00:00,3.1,158.85,471.0,0.0,595.0,0.0,183.0,58.0
42890,2023-11-23 02:00:00,2024-07-17 00:00:00,3.1,151.7,470.0,0.0,625.0,0.0,216.0,59.0
42891,2023-11-23 03:00:00,2024-07-17 00:00:00,3.1,154.85,472.0,0.0,630.0,0.0,175.0,55.0
42892,2023-11-23 04:00:00,2024-07-17 00:00:00,3.1,154.14,440.0,0.0,627.0,0.0,153.0,60.0
42893,2023-11-23 05:00:00,2024-07-17 00:00:00,3.1,131.14,284.0,0.0,626.0,0.0,91.0,59.0
42894,2023-11-23 06:00:00,2024-07-17 00:00:00,3.1,130.15,283.0,0.0,601.0,0.0,129.0,61.0
42895,2023-11-23 07:00:00,2024-07-17 00:00:00,3.1,127.73,282.0,0.0,605.0,0.0,126.0,56.0
42896,2023-11-23 08:00:00,2024-07-17 00:00:00,3.1,135.39,283.0,0.0,566.0,0.0,116.0,59.0
42897,2023-11-23 09:00:00,2024-07-17 00:00:00,3.1,169.4,282.0,0.0,358.0,0.0,110.0,56.0
42898,2023-11-23 10:00:00,2024-07-17 00:00:00,3.1,168.5,282.0,0.0,363.0,0.0,119.0,60.0
42899,2023-11-23 11:00:00,2024-07-17 00:00:00,3.1,167.91,282.0,0.0,357.0,0.0,123.0,58.0
42900,2023-11-23 12:00:00,2024-07-17 00:00:00,3.1,176.72,283.0,0.0,311.0,0.0,127.0,57.0
42901,2023-11-23 13:00:00,2024-07-17 00:00:00,3.1,161.8,282.0,0.0,383.0,0.0,128.0,58.0
42902,2023-11-23 14:00:00,2024-07-17 00:00:00,3.1,139.83,283.0,0.0,501.0,0.0,136.0,55.0
42903,2023-11-23 15:00:00,2024-07-17 00:00:00,3.1,127.17,284.0,0.0,601.0,0.0,142.0,57.0
42904,2023-11-23 16:00:00,2024-07-17 00:00:00,3.1,124.84,286.0,0.0,616.0,8.0,136.0,55.0
42905,2023-11-23 17:00:00,2024-07-17 00:00:00,3.1,126.71,284.0,0.0,556.0,50.0,148.0,59.0
42906,2023-11-23 18:00:00,2024-07-17 00:00:00,3.1,125.08,283.0,0.0,526.0,79.0,147.0,55.0
42907,2023-11-23 19:00:00,2024-07-17 00:00:00,3.1,125.32,285.0,0.0,490.0,94.0,159.0,52.0
42908,2023-11-23 20:00:00,2024-07-17 00:00:00,3.1,124.73,284.0,0.0,488.0,99.0,170.0,55.0
42909,2023-11-23 21:00:00,2024-07-17 00:00:00,3.1,124.13,284.0,0.0,485.0,89.0,181.0,53.0
42910,2023-11-23 22:00:00,2024-07-17 00:00:00,3.1,118.78,260.0,0.0,476.0,79.0,210.0,56.0
42911,2023-11-23 23:00:00,2024-07-17 00:00:00,3.1,100.91,192.0,0.0,464.0,55.0,242.0,53.0
