UTC time,coal,nat_gas,nuclear,oil,hydro,solar,wind,other
2023-03-08 00:00:00,4.0,7660.0,3364.0,0.0,2042.0,28.0,646.0,613.0
2023-03-08 01:00:00,6.0,7382.0,3353.0,0.0,2078.0,28.0,630.0,617.0
2023-03-08 02:00:00,5.0,7381.0,3338.0,0.0,1669.0,10.0,616.0,603.0
2023-03-08 03:00:00,5.0,7186.0,3335.0,1.0,1049.0,7.0,626.0,597.0
2023-03-08 04:00:00,4.0,6352.0,3329.0,5.0,808.0,7.0,645.0,579.0
2023-03-08 05:00:00,7.0,5308.0,3328.0,1.0,663.0,7.0,635.0,584.0
2023-03-08 06:00:00,9.0,4839.0,3334.0,0.0,639.0,7.0,653.0,586.0
2023-03-08 07:00:00,5.0,4405.0,3345.0,0.0,636.0,7.0,652.0,582.0
2023-03-08 08:00:00,5.0,4122.0,3355.0,0.0,636.0,7.0,704.0,577.0
2023-03-08 09:00:00,9.0,4260.0,3372.0,0.0,636.0,7.0,705.0,575.0
2023-03-08 10:00:00,10.0,4382.0,3368.0,0.0,633.0,7.0,695.0,579.0
2023-03-08 11:00:00,10.0,5414.0,3383.0,0.0,706.0,7.0,691.0,551.0
2023-03-08 12:00:00,12.0,6275.0,3376.0,0.0,1137.0,14.0,676.0,559.0
2023-03-08 13:00:00,9.0,6430.0,3361.0,0.0,1483.0,77.0,655.0,555.0
2023-03-08 14:00:00,11.0,6309.0,3332.0,0.0,1139.0,172.0,646.0,540.0
2023-03-08 15:00:00,10.0,5720.0,3358.0,0.0,887.0,268.0,612.0,551.0
2023-03-08 16:00:00,10.0,5725.0,3347.0,0.0,767.0,273.0,574.0,533.0
2023-03-08 17:00:00,10.0,5495.0,3348.0,0.0,683.0,295.0,573.0,528.0
2023-03-08 18:00:00,7.0,5127.0,3347.0,0.0,662.0,351.0,593.0,525.0
2023-03-08 19:00:00,5.0,4846.0,3353.0,0.0,662.0,325.0,609.0,530.0
2023-03-08 20:00:00,5.0,4538.0,3350.0,0.0,676.0,308.0,639.0,525.0
2023-03-08 21:00:00,5.0,4907.0,3370.0,0.0,841.0,260.0,650.0,517.0
2023-03-08 22:00:00,8.0,5755.0,3397.0,47.0,1438.0,137.0,616.0,532.0
2023-03-08 23:00:00,5.0,7128.0,3379.0,15.0,1843.0,22.0,551.0,539.0
