UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2022-10-16T00:00:00.000000000,2024-07-17 00:00:00,3.1,285.62,278.18856
2022-10-16T01:00:00.000000000,2024-07-17 00:00:00,3.1,293.48,270.11482
2022-10-16T02:00:00.000000000,2024-07-17 00:00:00,3.1,287.64,268.31571
2022-10-16T03:00:00.000000000,2024-07-17 00:00:00,3.1,276.65,268.22426
2022-10-16T04:00:00.000000000,2024-07-17 00:00:00,3.1,269.79,258.396
2022-10-16T05:00:00.000000000,2024-07-17 00:00:00,3.1,267.82,254.54081
2022-10-16T06:00:00.000000000,2024-07-17 00:00:00,3.1,264.75,252.28614
2022-10-16T07:00:00.000000000,2024-07-17 00:00:00,3.1,262.87,246.99103
2022-10-16T08:00:00.000000000,2024-07-17 00:00:00,3.1,259.06,250.19238
2022-10-16T09:00:00.000000000,2024-07-17 00:00:00,3.1,259.67,247.84995
2022-10-16T10:00:00.000000000,2024-07-17 00:00:00,3.1,253.92,248.22322
2022-10-16T11:00:00.000000000,2024-07-17 00:00:00,3.1,255.99,257.29721
2022-10-16T12:00:00.000000000,2024-07-17 00:00:00,3.1,251.38,260.67951
2022-10-16T13:00:00.000000000,2024-07-17 00:00:00,3.1,254.63,262.93922
2022-10-16T14:00:00.000000000,2024-07-17 00:00:00,3.1,248.67,270.83299
2022-10-16T15:00:00.000000000,2024-07-17 00:00:00,3.1,246.48,271.95101
2022-10-16T16:00:00.000000000,2024-07-17 00:00:00,3.1,243.47,278.65171
2022-10-16T17:00:00.000000000,2024-07-17 00:00:00,3.1,246.8,274.94373
2022-10-16T18:00:00.000000000,2024-07-17 00:00:00,3.1,250.93,281.62956
2022-10-16T19:00:00.000000000,2024-07-17 00:00:00,3.1,256.44,284.44053
2022-10-16T20:00:00.000000000,2024-07-17 00:00:00,3.1,270.06,283.48041
2022-10-16T21:00:00.000000000,2024-07-17 00:00:00,3.1,292.62,288.65407
2022-10-16T22:00:00.000000000,2024-07-17 00:00:00,3.1,301.42,283.82453
2022-10-16T23:00:00.000000000,2024-07-17 00:00:00,3.1,294.8,286.34806
2022-10-17T00:00:00.000000000,2024-07-17 00:00:00,3.1,296.97,292.48814
2022-10-17T01:00:00.000000000,2024-07-17 00:00:00,3.1,302.21,284.59753
2022-10-17T02:00:00.000000000,2024-07-17 00:00:00,3.1,304.1,278.05893
2022-10-17T03:00:00.000000000,2024-07-17 00:00:00,3.1,288.05,281.43956
2022-10-17T04:00:00.000000000,2024-07-17 00:00:00,3.1,272.0,267.18692
2022-10-17T05:00:00.000000000,2024-07-17 00:00:00,3.1,267.17,264.0785
2022-10-17T06:00:00.000000000,2024-07-17 00:00:00,3.1,262.69,261.49493
2022-10-17T07:00:00.000000000,2024-07-17 00:00:00,3.1,256.29,256.12071
2022-10-17T08:00:00.000000000,2024-07-17 00:00:00,3.1,264.03,260.46586
2022-10-17T09:00:00.000000000,2024-07-17 00:00:00,3.1,272.51,260.8059
2022-10-17T10:00:00.000000000,2024-07-17 00:00:00,3.1,285.54,260.9175
2022-10-17T11:00:00.000000000,2024-07-17 00:00:00,3.1,304.76,268.14821
2022-10-17T12:00:00.000000000,2024-07-17 00:00:00,3.1,315.3,271.87984
2022-10-17T13:00:00.000000000,2024-07-17 00:00:00,3.1,314.5,275.98165
2022-10-17T14:00:00.000000000,2024-07-17 00:00:00,3.1,317.13,287.6777
2022-10-17T15:00:00.000000000,2024-07-17 00:00:00,3.1,320.22,290.85929
2022-10-17T16:00:00.000000000,2024-07-17 00:00:00,3.1,315.77,294.66741
2022-10-17T17:00:00.000000000,2024-07-17 00:00:00,3.1,314.17,290.16628
2022-10-17T18:00:00.000000000,2024-07-17 00:00:00,3.1,312.04,299.25914
2022-10-17T19:00:00.000000000,2024-07-17 00:00:00,3.1,312.08,300.52714
2022-10-17T20:00:00.000000000,2024-07-17 00:00:00,3.1,310.02,298.85243
