UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2022-11-12T00:00:00.000000000,2024-07-17 00:00:00,3.1,299.01,314.05166
2022-11-12T01:00:00.000000000,2024-07-17 00:00:00,3.1,301.34,316.51162
2022-11-12T02:00:00.000000000,2024-07-17 00:00:00,3.1,307.08,309.09692
2022-11-12T03:00:00.000000000,2024-07-17 00:00:00,3.1,298.45,307.25591
2022-11-12T04:00:00.000000000,2024-07-17 00:00:00,3.1,286.27,298.46081
2022-11-12T05:00:00.000000000,2024-07-17 00:00:00,3.1,267.87,298.01262
2022-11-12T06:00:00.000000000,2024-07-17 00:00:00,3.1,272.15,289.85645
2022-11-12T07:00:00.000000000,2024-07-17 00:00:00,3.1,268.47,289.87078
2022-11-12T08:00:00.000000000,2024-07-17 00:00:00,3.1,264.61,293.62772
2022-11-12T09:00:00.000000000,2024-07-17 00:00:00,3.1,257.08,292.02312
2022-11-12T10:00:00.000000000,2024-07-17 00:00:00,3.1,258.81,293.58349
2022-11-12T11:00:00.000000000,2024-07-17 00:00:00,3.1,260.13,293.9072
2022-11-12T12:00:00.000000000,2024-07-17 00:00:00,3.1,271.82,296.51003
2022-11-12T13:00:00.000000000,2024-07-17 00:00:00,3.1,272.06,301.35684
2022-11-12T14:00:00.000000000,2024-07-17 00:00:00,3.1,274.66,306.19886
2022-11-12T15:00:00.000000000,2024-07-17 00:00:00,3.1,269.06,310.14249
2022-11-12T16:00:00.000000000,2024-07-17 00:00:00,3.1,264.35,311.77913
2022-11-12T17:00:00.000000000,2024-07-17 00:00:00,3.1,265.83,306.91213
2022-11-12T18:00:00.000000000,2024-07-17 00:00:00,3.1,266.22,312.82725
2022-11-12T19:00:00.000000000,2024-07-17 00:00:00,3.1,270.28,317.06764
2022-11-12T20:00:00.000000000,2024-07-17 00:00:00,3.1,273.6,316.6939
2022-11-12T21:00:00.000000000,2024-07-17 00:00:00,3.1,285.99,321.85451
2022-11-12T22:00:00.000000000,2024-07-17 00:00:00,3.1,283.4,317.86757
2022-11-12T23:00:00.000000000,2024-07-17 00:00:00,3.1,286.24,318.18033
2022-11-13T00:00:00.000000000,2024-07-17 00:00:00,3.1,288.84,317.82028
2022-11-13T01:00:00.000000000,2024-07-17 00:00:00,3.1,301.98,317.61501
2022-11-13T02:00:00.000000000,2024-07-17 00:00:00,3.1,307.75,311.16575
2022-11-13T03:00:00.000000000,2024-07-17 00:00:00,3.1,308.5,313.29341
2022-11-13T04:00:00.000000000,2024-07-17 00:00:00,3.1,304.43,299.78096
2022-11-13T05:00:00.000000000,2024-07-17 00:00:00,3.1,296.96,296.43804
2022-11-13T06:00:00.000000000,2024-07-17 00:00:00,3.1,279.37,295.58038
2022-11-13T07:00:00.000000000,2024-07-17 00:00:00,3.1,276.34,292.63479
2022-11-13T08:00:00.000000000,2024-07-17 00:00:00,3.1,276.68,295.32138
2022-11-13T09:00:00.000000000,2024-07-17 00:00:00,3.1,269.91,296.54713
2022-11-13T10:00:00.000000000,2024-07-17 00:00:00,3.1,278.75,297.93258
2022-11-13T11:00:00.000000000,2024-07-17 00:00:00,3.1,272.86,296.42803
2022-11-13T12:00:00.000000000,2024-07-17 00:00:00,3.1,284.18,301.67975
2022-11-13T13:00:00.000000000,2024-07-17 00:00:00,3.1,289.84,303.97815
2022-11-13T14:00:00.000000000,2024-07-17 00:00:00,3.1,307.89,311.71668
2022-11-13T15:00:00.000000000,2024-07-17 00:00:00,3.1,314.33,314.45169
2022-11-13T16:00:00.000000000,2024-07-17 00:00:00,3.1,316.77,318.27444
2022-11-13T17:00:00.000000000,2024-07-17 00:00:00,3.1,318.82,313.43792
2022-11-13T18:00:00.000000000,2024-07-17 00:00:00,3.1,309.97,320.86387
2022-11-13T19:00:00.000000000,2024-07-17 00:00:00,3.1,296.47,323.32749
2022-11-13T20:00:00.000000000,2024-07-17 00:00:00,3.1,295.95,323.36777
2022-11-13T21:00:00.000000000,2024-07-17 00:00:00,3.1,300.07,324.35129
2022-11-13T22:00:00.000000000,2024-07-17 00:00:00,3.1,298.54,322.22956
2022-11-13T23:00:00.000000000,2024-07-17 00:00:00,3.1,285.05,324.80506
2022-11-14T00:00:00.000000000,2024-07-17 00:00:00,3.1,293.01,314.98476
2022-11-14T01:00:00.000000000,2024-07-17 00:00:00,3.1,297.45,312.03329
2022-11-14T02:00:00.000000000,2024-07-17 00:00:00,3.1,282.37,304.56758
2022-11-14T03:00:00.000000000,2024-07-17 00:00:00,3.1,262.41,307.46968
2022-11-14T04:00:00.000000000,2024-07-17 00:00:00,3.1,256.67,290.97058
2022-11-14T05:00:00.000000000,2024-07-17 00:00:00,3.1,244.65,290.40968
2022-11-14T06:00:00.000000000,2024-07-17 00:00:00,3.1,229.13,286.57409
2022-11-14T07:00:00.000000000,2024-07-17 00:00:00,3.1,236.13,283.12264
2022-11-14T08:00:00.000000000,2024-07-17 00:00:00,3.1,238.14,286.46924
2022-11-14T09:00:00.000000000,2024-07-17 00:00:00,3.1,233.01,286.32919
2022-11-14T10:00:00.000000000,2024-07-17 00:00:00,3.1,239.32,286.39649
2022-11-14T11:00:00.000000000,2024-07-17 00:00:00,3.1,250.46,287.52723
2022-11-14T12:00:00.000000000,2024-07-17 00:00:00,3.1,267.15,289.43311
2022-11-14T13:00:00.000000000,2024-07-17 00:00:00,3.1,263.66,295.86744
2022-11-14T14:00:00.000000000,2024-07-17 00:00:00,3.1,262.51,304.19905
2022-11-14T15:00:00.000000000,2024-07-17 00:00:00,3.1,247.06,303.67263
2022-11-14T16:00:00.000000000,2024-07-17 00:00:00,3.1,228.86,307.72673
2022-11-14T17:00:00.000000000,2024-07-17 00:00:00,3.1,224.49,304.49959
2022-11-14T18:00:00.000000000,2024-07-17 00:00:00,3.1,232.28,309.86811
2022-11-14T19:00:00.000000000,2024-07-17 00:00:00,3.1,245.47,312.03729
2022-11-14T20:00:00.000000000,2024-07-17 00:00:00,3.1,262.89,314.95145
2022-11-14T21:00:00.000000000,2024-07-17 00:00:00,3.1,289.54,314.65944
2022-11-14T22:00:00.000000000,2024-07-17 00:00:00,3.1,293.4,312.42811
2022-11-14T23:00:00.000000000,2024-07-17 00:00:00,3.1,293.76,318.9963
2022-11-15T00:00:00.000000000,2024-07-17 00:00:00,3.1,294.78,316.31173
2022-11-15T01:00:00.000000000,2024-07-17 00:00:00,3.1,292.77,318.12615
2022-11-15T02:00:00.000000000,2024-07-17 00:00:00,3.1,297.8,309.24025
2022-11-15T03:00:00.000000000,2024-07-17 00:00:00,3.1,296.27,305.87027
2022-11-15T04:00:00.000000000,2024-07-17 00:00:00,3.1,288.61,296.19091
2022-11-15T05:00:00.000000000,2024-07-17 00:00:00,3.1,275.41,298.06935
2022-11-15T06:00:00.000000000,2024-07-17 00:00:00,3.1,272.26,287.27682
2022-11-15T07:00:00.000000000,2024-07-17 00:00:00,3.1,271.62,288.31574
2022-11-15T08:00:00.000000000,2024-07-17 00:00:00,3.1,275.88,293.02766
2022-11-15T09:00:00.000000000,2024-07-17 00:00:00,3.1,277.98,290.55557
2022-11-15T10:00:00.000000000,2024-07-17 00:00:00,3.1,280.55,291.9396
2022-11-15T11:00:00.000000000,2024-07-17 00:00:00,3.1,288.83,292.94866
2022-11-15T12:00:00.000000000,2024-07-17 00:00:00,3.1,291.79,294.53378
2022-11-15T13:00:00.000000000,2024-07-17 00:00:00,3.1,300.94,301.02089
2022-11-15T14:00:00.000000000,2024-07-17 00:00:00,3.1,310.44,305.70996
2022-11-15T15:00:00.000000000,2024-07-17 00:00:00,3.1,302.01,308.88367
2022-11-15T16:00:00.000000000,2024-07-17 00:00:00,3.1,310.06,310.08701
2022-11-15T17:00:00.000000000,2024-07-17 00:00:00,3.1,313.79,306.14484
2022-11-15T18:00:00.000000000,2024-07-17 00:00:00,3.1,317.43,311.01373
2022-11-15T19:00:00.000000000,2024-07-17 00:00:00,3.1,329.33,314.50465
2022-11-15T20:00:00.000000000,2024-07-17 00:00:00,3.1,336.19,316.32063
2022-11-15T21:00:00.000000000,2024-07-17 00:00:00,3.1,336.67,321.31606
2022-11-15T22:00:00.000000000,2024-07-17 00:00:00,3.1,334.17,316.88091
2022-11-15T23:00:00.000000000,2024-07-17 00:00:00,3.1,333.93,318.42261
