Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,oil,hydro,solar,wind,biomass,geothermal,unknown
40080,2023-07-29 00:00:00,2024-07-17 00:00:00,3.1,375.75,1443.0,10440.0,14.0,4222.0,0.0,1362.0,1001.0,608.0,1528.0
40081,2023-07-29 01:00:00,2024-07-17 00:00:00,3.1,376.39,1429.0,10755.0,14.0,4332.0,0.0,1300.0,1003.0,609.0,1529.0
40082,2023-07-29 02:00:00,2024-07-17 00:00:00,3.1,378.49,1398.0,10271.0,14.0,4248.0,0.0,1092.0,1004.0,610.0,1548.0
40083,2023-07-29 03:00:00,2024-07-17 00:00:00,3.1,382.22,1345.0,10606.0,24.0,4232.0,0.0,895.0,1001.0,610.0,1486.0
40084,2023-07-29 04:00:00,2024-07-17 00:00:00,3.1,378.41,1421.0,10759.0,14.0,4330.0,270.0,811.0,1013.0,609.0,1394.0
40085,2023-07-29 05:00:00,2024-07-17 00:00:00,3.1,350.41,1479.0,10668.0,24.0,4747.0,2092.0,617.0,1013.0,608.0,1484.0
40086,2023-07-29 06:00:00,2024-07-17 00:00:00,3.1,313.25,1469.0,10329.0,25.0,4762.0,5318.0,381.0,1030.0,608.0,1535.0
40087,2023-07-29 07:00:00,2024-07-17 00:00:00,3.1,281.85,1467.0,9512.0,25.0,4884.0,7879.0,258.0,1041.0,607.0,1480.0
40088,2023-07-29 08:00:00,2024-07-17 00:00:00,3.1,262.13,1465.0,8328.0,24.0,4289.0,9881.0,207.0,1023.0,607.0,1515.0
40089,2023-07-29 09:00:00,2024-07-17 00:00:00,3.1,243.83,1462.0,7498.0,14.0,4152.0,11436.0,219.0,1023.0,605.0,1496.0
40090,2023-07-29 10:00:00,2024-07-17 00:00:00,3.1,240.57,1463.0,7376.0,14.0,3931.0,11796.0,308.0,1013.0,605.0,1456.0
40091,2023-07-29 11:00:00,2024-07-17 00:00:00,3.1,236.18,1466.0,7275.0,14.0,3814.0,11979.0,476.0,1004.0,604.0,1346.0
40092,2023-07-29 12:00:00,2024-07-17 00:00:00,3.1,232.33,1459.0,6896.0,14.0,3770.0,11689.0,675.0,1006.0,603.0,1291.0
40093,2023-07-29 13:00:00,2024-07-17 00:00:00,3.1,242.69,1457.0,6963.0,14.0,3834.0,10342.0,940.0,1008.0,603.0,1461.0
40094,2023-07-29 14:00:00,2024-07-17 00:00:00,3.1,261.21,1463.0,8185.0,14.0,3971.0,9219.0,1091.0,1004.0,604.0,1547.0
40095,2023-07-29 15:00:00,2024-07-17 00:00:00,3.1,287.13,1475.0,10411.0,14.0,4773.0,7247.0,1241.0,1024.0,605.0,1597.0
40096,2023-07-29 16:00:00,2024-07-17 00:00:00,3.1,328.83,1490.0,13096.0,24.0,5644.0,3908.0,1087.0,1031.0,605.0,1624.0
40097,2023-07-29 17:00:00,2024-07-17 00:00:00,3.1,349.61,1489.0,14071.0,24.0,7345.0,991.0,802.0,1010.0,604.0,1687.0
40098,2023-07-29 18:00:00,2024-07-17 00:00:00,3.1,362.77,1471.0,13894.0,24.0,7342.0,36.0,630.0,992.0,606.0,1784.0
40099,2023-07-29 19:00:00,2024-07-17 00:00:00,3.1,371.0,1472.0,14086.0,24.0,7007.0,0.0,450.0,1015.0,603.0,1804.0
40100,2023-07-29 20:00:00,2024-07-17 00:00:00,3.1,376.94,1467.0,13804.0,14.0,6312.0,0.0,470.0,1026.0,606.0,1676.0
40101,2023-07-29 21:00:00,2024-07-17 00:00:00,3.1,387.54,1465.0,12410.0,19.0,5124.0,0.0,409.0,1016.0,607.0,1533.0
40102,2023-07-29 22:00:00,2024-07-17 00:00:00,3.1,385.35,1434.0,11050.0,20.0,4813.0,0.0,377.0,1026.0,609.0,1482.0
40103,2023-07-29 23:00:00,2024-07-17 00:00:00,3.1,375.09,1428.0,9566.0,17.0,4722.0,0.0,463.0,1012.0,609.0,1352.0
