UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2022-09-04T02:00:00.000000000,2024-07-17 00:00:00,3.1,584.15,502.81469
2022-09-04T03:00:00.000000000,2024-07-17 00:00:00,3.1,590.13,517.16715
2022-09-04T04:00:00.000000000,2024-07-17 00:00:00,3.1,592.47,533.07214
2022-09-04T05:00:00.000000000,2024-07-17 00:00:00,3.1,593.84,541.24808
2022-09-04T06:00:00.000000000,2024-07-17 00:00:00,3.1,581.05,549.65311
2022-09-04T07:00:00.000000000,2024-07-17 00:00:00,3.1,570.79,548.39294
2022-09-04T08:00:00.000000000,2024-07-17 00:00:00,3.1,588.64,549.1239
2022-09-04T09:00:00.000000000,2024-07-17 00:00:00,3.1,612.39,560.25353
2022-09-04T10:00:00.000000000,2024-07-17 00:00:00,3.1,624.7,566.33487
2022-09-04T11:00:00.000000000,2024-07-17 00:00:00,3.1,594.6,576.09858
2022-09-04T12:00:00.000000000,2024-07-17 00:00:00,3.1,587.83,573.61475
2022-09-04T13:00:00.000000000,2024-07-17 00:00:00,3.1,583.89,577.61415
2022-09-04T14:00:00.000000000,2024-07-17 00:00:00,3.1,572.06,561.22747
2022-09-04T15:00:00.000000000,2024-07-17 00:00:00,3.1,503.46,535.04583
2022-09-04T16:00:00.000000000,2024-07-17 00:00:00,3.1,447.04,495.5089
2022-09-04T17:00:00.000000000,2024-07-17 00:00:00,3.1,454.7,460.79611
2022-09-04T18:00:00.000000000,2024-07-17 00:00:00,3.1,482.26,435.85223
2022-09-04T19:00:00.000000000,2024-07-17 00:00:00,3.1,487.43,413.07069
2022-09-04T20:00:00.000000000,2024-07-17 00:00:00,3.1,487.23,403.5806
2022-09-04T21:00:00.000000000,2024-07-17 00:00:00,3.1,487.64,403.23718
2022-09-04T22:00:00.000000000,2024-07-17 00:00:00,3.1,486.79,410.89557
2022-09-04T23:00:00.000000000,2024-07-17 00:00:00,3.1,475.27,435.63379
2022-09-05T00:00:00.000000000,2024-07-17 00:00:00,3.1,482.52,468.71247
2022-09-05T01:00:00.000000000,2024-07-17 00:00:00,3.1,525.87,484.44763
2022-09-05T02:00:00.000000000,2024-07-17 00:00:00,3.1,544.3,464.88833
2022-09-05T03:00:00.000000000,2024-07-17 00:00:00,3.1,548.19,487.15475
2022-09-05T04:00:00.000000000,2024-07-17 00:00:00,3.1,554.03,504.50067
2022-09-05T05:00:00.000000000,2024-07-17 00:00:00,3.1,555.39,518.24283
2022-09-05T06:00:00.000000000,2024-07-17 00:00:00,3.1,557.04,525.94908
2022-09-05T07:00:00.000000000,2024-07-17 00:00:00,3.1,615.25,529.97246
2022-09-05T08:00:00.000000000,2024-07-17 00:00:00,3.1,615.6,535.59706
2022-09-05T09:00:00.000000000,2024-07-17 00:00:00,3.1,618.96,543.86038
2022-09-05T10:00:00.000000000,2024-07-17 00:00:00,3.1,617.39,553.30007
2022-09-05T11:00:00.000000000,2024-07-17 00:00:00,3.1,622.5,559.44586
2022-09-05T12:00:00.000000000,2024-07-17 00:00:00,3.1,620.88,560.4688
2022-09-05T13:00:00.000000000,2024-07-17 00:00:00,3.1,619.51,562.9541
2022-09-05T14:00:00.000000000,2024-07-17 00:00:00,3.1,620.15,551.4563
2022-09-05T15:00:00.000000000,2024-07-17 00:00:00,3.1,580.25,527.87658
2022-09-05T16:00:00.000000000,2024-07-17 00:00:00,3.1,502.83,490.36924
2022-09-05T17:00:00.000000000,2024-07-17 00:00:00,3.1,483.04,452.51154
2022-09-05T18:00:00.000000000,2024-07-17 00:00:00,3.1,486.0,425.89418
2022-09-05T19:00:00.000000000,2024-07-17 00:00:00,3.1,485.11,399.99517
2022-09-05T20:00:00.000000000,2024-07-17 00:00:00,3.1,486.3,381.69365
2022-09-05T21:00:00.000000000,2024-07-17 00:00:00,3.1,484.36,379.19244
2022-09-05T22:00:00.000000000,2024-07-17 00:00:00,3.1,459.48,382.70693
2022-09-05T23:00:00.000000000,2024-07-17 00:00:00,3.1,460.08,402.10965
2022-09-06T00:00:00.000000000,2024-07-17 00:00:00,3.1,467.91,434.37322
2022-09-06T01:00:00.000000000,2024-07-17 00:00:00,3.1,493.13,449.74501
2022-09-06T02:00:00.000000000,2024-07-17 00:00:00,3.1,510.59,478.84502
2022-09-06T03:00:00.000000000,2024-07-17 00:00:00,3.1,518.84,497.52722
2022-09-06T04:00:00.000000000,2024-07-17 00:00:00,3.1,521.65,511.83908
2022-09-06T05:00:00.000000000,2024-07-17 00:00:00,3.1,543.82,521.6679
2022-09-06T06:00:00.000000000,2024-07-17 00:00:00,3.1,548.56,527.51668
2022-09-06T07:00:00.000000000,2024-07-17 00:00:00,3.1,558.15,530.6886
2022-09-06T08:00:00.000000000,2024-07-17 00:00:00,3.1,611.73,533.24492
2022-09-06T09:00:00.000000000,2024-07-17 00:00:00,3.1,615.26,540.73457
2022-09-06T10:00:00.000000000,2024-07-17 00:00:00,3.1,615.27,548.94524
2022-09-06T11:00:00.000000000,2024-07-17 00:00:00,3.1,614.9,556.28413
2022-09-06T12:00:00.000000000,2024-07-17 00:00:00,3.1,615.27,556.46948
2022-09-06T13:00:00.000000000,2024-07-17 00:00:00,3.1,614.96,558.33146
2022-09-06T14:00:00.000000000,2024-07-17 00:00:00,3.1,611.85,544.54933
2022-09-06T15:00:00.000000000,2024-07-17 00:00:00,3.1,570.27,521.26469
2022-09-06T16:00:00.000000000,2024-07-17 00:00:00,3.1,518.47,480.78708
2022-09-06T17:00:00.000000000,2024-07-17 00:00:00,3.1,496.14,442.91884
2022-09-06T18:00:00.000000000,2024-07-17 00:00:00,3.1,488.62,421.95632
2022-09-06T19:00:00.000000000,2024-07-17 00:00:00,3.1,485.44,402.40319
2022-09-06T20:00:00.000000000,2024-07-17 00:00:00,3.1,475.91,384.95586
2022-09-06T21:00:00.000000000,2024-07-17 00:00:00,3.1,443.45,384.44982
2022-09-06T22:00:00.000000000,2024-07-17 00:00:00,3.1,441.41,390.46037
2022-09-06T23:00:00.000000000,2024-07-17 00:00:00,3.1,445.43,410.40006
2022-09-07T00:00:00.000000000,2024-07-17 00:00:00,3.1,456.39,444.04872
2022-09-07T01:00:00.000000000,2024-07-17 00:00:00,3.1,481.08,459.28232
2022-09-07T02:00:00.000000000,2024-07-17 00:00:00,3.1,515.46,488.15967
2022-09-07T03:00:00.000000000,2024-07-17 00:00:00,3.1,525.51,504.88773
2022-09-07T04:00:00.000000000,2024-07-17 00:00:00,3.1,525.05,517.95745
2022-09-07T05:00:00.000000000,2024-07-17 00:00:00,3.1,534.54,526.29789
2022-09-07T06:00:00.000000000,2024-07-17 00:00:00,3.1,557.47,531.22187
2022-09-07T07:00:00.000000000,2024-07-17 00:00:00,3.1,601.45,533.9257
2022-09-07T08:00:00.000000000,2024-07-17 00:00:00,3.1,611.0,535.99332
2022-09-07T09:00:00.000000000,2024-07-17 00:00:00,3.1,613.65,542.68635
2022-09-07T10:00:00.000000000,2024-07-17 00:00:00,3.1,617.45,550.98618
2022-09-07T11:00:00.000000000,2024-07-17 00:00:00,3.1,617.17,558.07927
2022-09-07T12:00:00.000000000,2024-07-17 00:00:00,3.1,616.92,557.66262
2022-09-07T13:00:00.000000000,2024-07-17 00:00:00,3.1,615.35,557.99717
2022-09-07T14:00:00.000000000,2024-07-17 00:00:00,3.1,608.32,544.29621
2022-09-07T15:00:00.000000000,2024-07-17 00:00:00,3.1,571.55,521.39173
2022-09-07T16:00:00.000000000,2024-07-17 00:00:00,3.1,519.3,482.22198
2022-09-07T17:00:00.000000000,2024-07-17 00:00:00,3.1,493.93,444.60572
2022-09-07T18:00:00.000000000,2024-07-17 00:00:00,3.1,487.69,425.58102
2022-09-07T19:00:00.000000000,2024-07-17 00:00:00,3.1,484.83,407.47096
2022-09-07T20:00:00.000000000,2024-07-17 00:00:00,3.1,477.71,390.38479
2022-09-07T21:00:00.000000000,2024-07-17 00:00:00,3.1,461.8,390.99652
