UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2023-12-10T00:00:00.000000000,2024-07-17 00:00:00,3.1,89.27,88.33249
2023-12-10T01:00:00.000000000,2024-07-17 00:00:00,3.1,91.37,98.407
2023-12-10T02:00:00.000000000,2024-07-17 00:00:00,3.1,80.01,111.29281
2023-12-10T03:00:00.000000000,2024-07-17 00:00:00,3.1,80.46,125.8483
2023-12-10T04:00:00.000000000,2024-07-17 00:00:00,3.1,82.07,135.986
2023-12-10T05:00:00.000000000,2024-07-17 00:00:00,3.1,92.55,149.56439
2023-12-10T06:00:00.000000000,2024-07-17 00:00:00,3.1,94.3,160.48506
2023-12-10T07:00:00.000000000,2024-07-17 00:00:00,3.1,87.35,168.73292
2023-12-10T08:00:00.000000000,2024-07-17 00:00:00,3.1,93.49,171.09724
2023-12-10T09:00:00.000000000,2024-07-17 00:00:00,3.1,88.78,173.03413
2023-12-10T10:00:00.000000000,2024-07-17 00:00:00,3.1,91.72,171.82491
2023-12-10T11:00:00.000000000,2024-07-17 00:00:00,3.1,87.2,168.6601
2023-12-10T12:00:00.000000000,2024-07-17 00:00:00,3.1,113.65,167.40993
2023-12-10T13:00:00.000000000,2024-07-17 00:00:00,3.1,106.18,166.9385
2023-12-10T14:00:00.000000000,2024-07-17 00:00:00,3.1,97.72,167.429
2023-12-10T15:00:00.000000000,2024-07-17 00:00:00,3.1,67.43,169.04626
2023-12-10T16:00:00.000000000,2024-07-17 00:00:00,3.1,61.87,167.17757
2023-12-10T17:00:00.000000000,2024-07-17 00:00:00,3.1,60.34,165.53502
2023-12-10T18:00:00.000000000,2024-07-17 00:00:00,3.1,57.94,162.17158
2023-12-10T19:00:00.000000000,2024-07-17 00:00:00,3.1,54.77,154.50956
2023-12-10T20:00:00.000000000,2024-07-17 00:00:00,3.1,54.0,147.19023
2023-12-10T21:00:00.000000000,2024-07-17 00:00:00,3.1,52.73,138.45828
2023-12-10T22:00:00.000000000,2024-07-17 00:00:00,3.1,52.23,128.55536
2023-12-10T23:00:00.000000000,2024-07-17 00:00:00,3.1,51.66,122.92066
2023-12-11T00:00:00.000000000,2024-07-17 00:00:00,3.1,49.27,90.14364
