Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,nat_gas,hydro,wind,biomass,unknown
42096,2023-10-21 00:00:00,2024-07-17 00:00:00,3.1,109.05,0.0,0.0,97.0,20.0,12.0
42097,2023-10-21 01:00:00,2024-07-17 00:00:00,3.1,101.12,0.0,6.0,98.0,21.0,11.0
42098,2023-10-21 02:00:00,2024-07-17 00:00:00,3.1,105.71,0.0,1.0,102.0,21.0,12.0
42099,2023-10-21 03:00:00,2024-07-17 00:00:00,3.1,112.41,0.0,0.0,102.0,23.0,13.0
42100,2023-10-21 04:00:00,2024-07-17 00:00:00,3.1,111.8,0.0,0.0,104.0,24.0,13.0
42101,2023-10-21 05:00:00,2024-07-17 00:00:00,3.1,111.8,0.0,0.0,104.0,24.0,13.0
42102,2023-10-21 06:00:00,2024-07-17 00:00:00,3.1,115.88,0.0,0.0,103.0,23.0,14.0
42103,2023-10-21 07:00:00,2024-07-17 00:00:00,3.1,116.63,0.0,0.0,102.0,23.0,14.0
42104,2023-10-21 08:00:00,2024-07-17 00:00:00,3.1,90.44,0.0,45.0,99.0,21.0,13.0
42105,2023-10-21 09:00:00,2024-07-17 00:00:00,3.1,113.67,0.0,18.0,96.0,23.0,15.0
42106,2023-10-21 10:00:00,2024-07-17 00:00:00,3.1,97.92,0.0,54.0,86.0,23.0,14.0
42107,2023-10-21 11:00:00,2024-07-17 00:00:00,3.1,91.47,0.0,67.0,80.0,22.0,13.0
42108,2023-10-21 12:00:00,2024-07-17 00:00:00,3.1,88.62,0.0,67.0,77.0,21.0,12.0
42109,2023-10-21 13:00:00,2024-07-17 00:00:00,3.1,96.46,0.0,53.0,93.0,25.0,14.0
42110,2023-10-21 14:00:00,2024-07-17 00:00:00,3.1,92.43,0.0,67.0,88.0,28.0,13.0
42111,2023-10-21 15:00:00,2024-07-17 00:00:00,3.1,47.77,0.0,466.0,78.0,30.0,13.0
42112,2023-10-21 16:00:00,2024-07-17 00:00:00,3.1,50.82,1.0,454.0,73.0,31.0,14.0
42113,2023-10-21 17:00:00,2024-07-17 00:00:00,3.1,53.1,1.0,388.0,68.0,30.0,13.0
42114,2023-10-21 18:00:00,2024-07-17 00:00:00,3.1,54.72,1.0,373.0,60.0,30.0,13.0
42115,2023-10-21 19:00:00,2024-07-17 00:00:00,3.1,68.53,1.0,222.0,43.0,27.0,12.0
42116,2023-10-21 20:00:00,2024-07-17 00:00:00,3.1,78.71,0.0,164.0,29.0,23.0,12.0
42117,2023-10-21 21:00:00,2024-07-17 00:00:00,3.1,181.28,0.0,20.0,18.0,21.0,10.0
42118,2023-10-21 22:00:00,2024-07-17 00:00:00,3.1,199.08,0.0,18.0,13.0,19.0,10.0
42119,2023-10-21 23:00:00,2024-07-17 00:00:00,3.1,276.69,0.0,0.0,11.0,19.0,9.0
