UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2023-09-01T00:00:00.000000000,2024-07-17 00:00:00,3.1,366.28,371.79462
2023-09-01T01:00:00.000000000,2024-07-17 00:00:00,3.1,372.36,369.66339
2023-09-01T02:00:00.000000000,2024-07-17 00:00:00,3.1,361.59,364.87205
2023-09-01T03:00:00.000000000,2024-07-17 00:00:00,3.1,339.97,359.77246
2023-09-01T04:00:00.000000000,2024-07-17 00:00:00,3.1,321.03,349.46697
2023-09-01T05:00:00.000000000,2024-07-17 00:00:00,3.1,310.27,343.26337
2023-09-01T06:00:00.000000000,2024-07-17 00:00:00,3.1,302.07,332.70973
2023-09-01T07:00:00.000000000,2024-07-17 00:00:00,3.1,282.06,328.26348
2023-09-01T08:00:00.000000000,2024-07-17 00:00:00,3.1,281.5,325.90785
2023-09-01T09:00:00.000000000,2024-07-17 00:00:00,3.1,284.48,325.11725
2023-09-01T10:00:00.000000000,2024-07-17 00:00:00,3.1,286.25,329.58883
2023-09-01T11:00:00.000000000,2024-07-17 00:00:00,3.1,294.38,332.46431
2023-09-01T12:00:00.000000000,2024-07-17 00:00:00,3.1,303.7,342.85587
2023-09-01T13:00:00.000000000,2024-07-17 00:00:00,3.1,302.64,349.75485
2023-09-01T14:00:00.000000000,2024-07-17 00:00:00,3.1,309.91,358.23701
2023-09-01T15:00:00.000000000,2024-07-17 00:00:00,3.1,330.64,359.1803
2023-09-01T16:00:00.000000000,2024-07-17 00:00:00,3.1,344.57,363.60825
2023-09-01T17:00:00.000000000,2024-07-17 00:00:00,3.1,355.05,365.07165
2023-09-01T18:00:00.000000000,2024-07-17 00:00:00,3.1,367.41,366.81981
2023-09-01T19:00:00.000000000,2024-07-17 00:00:00,3.1,362.11,365.34106
2023-09-01T20:00:00.000000000,2024-07-17 00:00:00,3.1,367.06,365.22346
2023-09-01T21:00:00.000000000,2024-07-17 00:00:00,3.1,370.54,364.30046
2023-09-01T22:00:00.000000000,2024-07-17 00:00:00,3.1,369.14,366.12072
2023-09-01T23:00:00.000000000,2024-07-17 00:00:00,3.1,376.28,366.38604
2023-09-02T00:00:00.000000000,2024-07-17 00:00:00,3.1,390.04,376.05016
2023-09-02T01:00:00.000000000,2024-07-17 00:00:00,3.1,394.62,372.05259
2023-09-02T02:00:00.000000000,2024-07-17 00:00:00,3.1,379.2,369.82862
2023-09-02T03:00:00.000000000,2024-07-17 00:00:00,3.1,360.8,363.81277
2023-09-02T04:00:00.000000000,2024-07-17 00:00:00,3.1,335.06,356.32852
2023-09-02T05:00:00.000000000,2024-07-17 00:00:00,3.1,316.34,350.46152
2023-09-02T06:00:00.000000000,2024-07-17 00:00:00,3.1,311.36,341.50739
2023-09-02T07:00:00.000000000,2024-07-17 00:00:00,3.1,301.95,338.55506
2023-09-02T08:00:00.000000000,2024-07-17 00:00:00,3.1,295.93,337.98205
2023-09-02T09:00:00.000000000,2024-07-17 00:00:00,3.1,287.45,338.52803
2023-09-02T10:00:00.000000000,2024-07-17 00:00:00,3.1,287.66,344.81526
2023-09-02T11:00:00.000000000,2024-07-17 00:00:00,3.1,291.36,347.31323
2023-09-02T12:00:00.000000000,2024-07-17 00:00:00,3.1,291.35,358.55082
2023-09-02T13:00:00.000000000,2024-07-17 00:00:00,3.1,294.17,366.86811
2023-09-02T14:00:00.000000000,2024-07-17 00:00:00,3.1,305.08,374.25867
2023-09-02T15:00:00.000000000,2024-07-17 00:00:00,3.1,324.06,376.45757
2023-09-02T16:00:00.000000000,2024-07-17 00:00:00,3.1,355.92,379.65024
2023-09-02T17:00:00.000000000,2024-07-17 00:00:00,3.1,368.4,383.86993
2023-09-02T18:00:00.000000000,2024-07-17 00:00:00,3.1,381.37,384.92338
2023-09-02T19:00:00.000000000,2024-07-17 00:00:00,3.1,377.74,383.91609
2023-09-02T20:00:00.000000000,2024-07-17 00:00:00,3.1,367.71,384.05778
2023-09-02T21:00:00.000000000,2024-07-17 00:00:00,3.1,359.21,384.27052
2023-09-02T22:00:00.000000000,2024-07-17 00:00:00,3.1,352.69,385.67134
2023-09-02T23:00:00.000000000,2024-07-17 00:00:00,3.1,355.77,385.43469
2023-09-03T00:00:00.000000000,2024-07-17 00:00:00,3.1,366.76,381.23251
2023-09-03T01:00:00.000000000,2024-07-17 00:00:00,3.1,370.49,378.15046
2023-09-03T02:00:00.000000000,2024-07-17 00:00:00,3.1,368.66,377.57582
2023-09-03T03:00:00.000000000,2024-07-17 00:00:00,3.1,352.43,374.77995
2023-09-03T04:00:00.000000000,2024-07-17 00:00:00,3.1,337.05,367.73848
2023-09-03T05:00:00.000000000,2024-07-17 00:00:00,3.1,319.85,361.51632
2023-09-03T06:00:00.000000000,2024-07-17 00:00:00,3.1,306.85,352.29572
2023-09-03T07:00:00.000000000,2024-07-17 00:00:00,3.1,296.71,349.26312
2023-09-03T08:00:00.000000000,2024-07-17 00:00:00,3.1,289.29,347.80849
2023-09-03T09:00:00.000000000,2024-07-17 00:00:00,3.1,289.07,346.47449
2023-09-03T10:00:00.000000000,2024-07-17 00:00:00,3.1,290.16,351.51773
2023-09-03T11:00:00.000000000,2024-07-17 00:00:00,3.1,294.59,352.3794
2023-09-03T12:00:00.000000000,2024-07-17 00:00:00,3.1,298.11,363.11024
2023-09-03T13:00:00.000000000,2024-07-17 00:00:00,3.1,300.19,371.25814
2023-09-03T14:00:00.000000000,2024-07-17 00:00:00,3.1,311.13,380.77907
