UTC time,coal,nat_gas,nuclear,hydro,solar,wind,other
2023-09-20 00:00:00,24822.0,31394.0,10548.0,2108.0,277.0,8052.0,849.0
2023-09-20 01:00:00,24576.0,31705.0,10553.0,1076.0,4.0,9058.0,833.0
2023-09-20 02:00:00,23267.0,29487.0,10556.0,471.0,0.0,10889.0,821.0
2023-09-20 03:00:00,21323.0,26476.0,10559.0,408.0,0.0,11807.0,820.0
2023-09-20 04:00:00,19686.0,23784.0,10558.0,379.0,0.0,11755.0,796.0
2023-09-20 05:00:00,18130.0,21795.0,10562.0,353.0,0.0,11750.0,793.0
2023-09-20 06:00:00,17112.0,19265.0,10566.0,352.0,0.0,12079.0,792.0
2023-09-20 07:00:00,15194.0,17012.0,10567.0,344.0,1.0,12241.0,790.0
2023-09-20 08:00:00,14275.0,16666.0,10567.0,343.0,0.0,11548.0,794.0
2023-09-20 09:00:00,13991.0,17125.0,10572.0,342.0,0.0,10928.0,818.0
2023-09-20 10:00:00,14892.0,19303.0,10573.0,339.0,0.0,10265.0,819.0
2023-09-20 11:00:00,16878.0,21470.0,10578.0,332.0,0.0,9326.0,824.0
2023-09-20 12:00:00,18902.0,23048.0,10582.0,310.0,1.0,8996.0,883.0
2023-09-20 13:00:00,19573.0,24616.0,10580.0,328.0,265.0,8312.0,983.0
2023-09-20 14:00:00,19919.0,25931.0,10577.0,329.0,1078.0,6799.0,997.0
2023-09-20 15:00:00,22124.0,28141.0,10571.0,310.0,1854.0,3825.0,1002.0
2023-09-20 16:00:00,23175.0,28492.0,10561.0,329.0,2266.0,3025.0,984.0
2023-09-20 17:00:00,24004.0,30204.0,10556.0,571.0,2360.0,2929.0,990.0
2023-09-20 18:00:00,24587.0,31405.0,10558.0,850.0,2443.0,3435.0,998.0
2023-09-20 19:00:00,25489.0,32648.0,10555.0,1111.0,2328.0,4380.0,1041.0
2023-09-20 20:00:00,26190.0,32814.0,10552.0,1750.0,2198.0,5421.0,1029.0
2023-09-20 21:00:00,26809.0,33318.0,10548.0,2107.0,2090.0,6055.0,1010.0
2023-09-20 22:00:00,27233.0,33540.0,10542.0,2232.0,1695.0,6739.0,998.0
2023-09-20 23:00:00,27482.0,33594.0,10542.0,2159.0,1054.0,7325.0,1004.0
