UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2023-09-04T00:00:00.000000000,2024-07-17 00:00:00,3.1,395.54,387.10351
2023-09-04T01:00:00.000000000,2024-07-17 00:00:00,3.1,439.61,444.31129
2023-09-04T02:00:00.000000000,2024-07-17 00:00:00,3.1,489.44,497.51275
2023-09-04T03:00:00.000000000,2024-07-17 00:00:00,3.1,508.18,518.92329
2023-09-04T04:00:00.000000000,2024-07-17 00:00:00,3.1,513.18,517.42494
2023-09-04T05:00:00.000000000,2024-07-17 00:00:00,3.1,534.86,518.37703
2023-09-04T06:00:00.000000000,2024-07-17 00:00:00,3.1,521.63,521.96663
2023-09-04T07:00:00.000000000,2024-07-17 00:00:00,3.1,522.65,526.37906
2023-09-04T08:00:00.000000000,2024-07-17 00:00:00,3.1,537.07,530.04694
2023-09-04T09:00:00.000000000,2024-07-17 00:00:00,3.1,545.72,530.38845
2023-09-04T10:00:00.000000000,2024-07-17 00:00:00,3.1,549.9,529.80548
2023-09-04T11:00:00.000000000,2024-07-17 00:00:00,3.1,549.92,532.26213
2023-09-04T12:00:00.000000000,2024-07-17 00:00:00,3.1,550.67,537.85824
2023-09-04T13:00:00.000000000,2024-07-17 00:00:00,3.1,548.12,534.28477
2023-09-04T14:00:00.000000000,2024-07-17 00:00:00,3.1,534.48,501.39041
2023-09-04T15:00:00.000000000,2024-07-17 00:00:00,3.1,406.37,430.78727
2023-09-04T16:00:00.000000000,2024-07-17 00:00:00,3.1,313.83,362.4494
2023-09-04T17:00:00.000000000,2024-07-17 00:00:00,3.1,303.79,326.33013
2023-09-04T18:00:00.000000000,2024-07-17 00:00:00,3.1,299.89,325.34924
2023-09-04T19:00:00.000000000,2024-07-17 00:00:00,3.1,304.81,332.29281
2023-09-04T20:00:00.000000000,2024-07-17 00:00:00,3.1,306.31,334.9824
2023-09-04T21:00:00.000000000,2024-07-17 00:00:00,3.1,310.72,341.13276
2023-09-04T22:00:00.000000000,2024-07-17 00:00:00,3.1,311.89,348.04624
2023-09-04T23:00:00.000000000,2024-07-17 00:00:00,3.1,321.04,361.53236
2023-09-05T00:00:00.000000000,2024-07-17 00:00:00,3.1,337.67,368.33405
2023-09-05T01:00:00.000000000,2024-07-17 00:00:00,3.1,386.4,429.07555
2023-09-05T02:00:00.000000000,2024-07-17 00:00:00,3.1,469.56,494.64093
2023-09-05T03:00:00.000000000,2024-07-17 00:00:00,3.1,506.28,525.64446
2023-09-05T04:00:00.000000000,2024-07-17 00:00:00,3.1,507.95,525.54776
2023-09-05T05:00:00.000000000,2024-07-17 00:00:00,3.1,522.94,523.76348
2023-09-05T06:00:00.000000000,2024-07-17 00:00:00,3.1,508.79,526.6294
2023-09-05T07:00:00.000000000,2024-07-17 00:00:00,3.1,510.12,531.95878
2023-09-05T08:00:00.000000000,2024-07-17 00:00:00,3.1,523.27,535.37871
2023-09-05T09:00:00.000000000,2024-07-17 00:00:00,3.1,528.31,534.44055
2023-09-05T10:00:00.000000000,2024-07-17 00:00:00,3.1,529.73,534.14116
2023-09-05T11:00:00.000000000,2024-07-17 00:00:00,3.1,530.47,537.8711
2023-09-05T12:00:00.000000000,2024-07-17 00:00:00,3.1,533.09,543.30225
2023-09-05T13:00:00.000000000,2024-07-17 00:00:00,3.1,535.22,537.70652
2023-09-05T14:00:00.000000000,2024-07-17 00:00:00,3.1,527.97,502.11812
2023-09-05T15:00:00.000000000,2024-07-17 00:00:00,3.1,411.0,430.71805
2023-09-05T16:00:00.000000000,2024-07-17 00:00:00,3.1,314.64,363.44819
2023-09-05T17:00:00.000000000,2024-07-17 00:00:00,3.1,297.78,326.57971
2023-09-05T18:00:00.000000000,2024-07-17 00:00:00,3.1,300.09,322.89534
2023-09-05T19:00:00.000000000,2024-07-17 00:00:00,3.1,295.91,328.18632
2023-09-05T20:00:00.000000000,2024-07-17 00:00:00,3.1,294.78,331.93698
2023-09-05T21:00:00.000000000,2024-07-17 00:00:00,3.1,298.55,340.45698
2023-09-05T22:00:00.000000000,2024-07-17 00:00:00,3.1,306.24,345.65463
2023-09-05T23:00:00.000000000,2024-07-17 00:00:00,3.1,316.0,351.13473
2023-09-06T00:00:00.000000000,2024-07-17 00:00:00,3.1,337.09,362.1634
2023-09-06T01:00:00.000000000,2024-07-17 00:00:00,3.1,383.89,423.17031
2023-09-06T02:00:00.000000000,2024-07-17 00:00:00,3.1,458.61,491.51413
2023-09-06T03:00:00.000000000,2024-07-17 00:00:00,3.1,488.37,524.52201
2023-09-06T04:00:00.000000000,2024-07-17 00:00:00,3.1,489.63,524.97389
2023-09-06T05:00:00.000000000,2024-07-17 00:00:00,3.1,503.31,523.01147
2023-09-06T06:00:00.000000000,2024-07-17 00:00:00,3.1,486.92,525.54636
2023-09-06T07:00:00.000000000,2024-07-17 00:00:00,3.1,488.63,530.91513
2023-09-06T08:00:00.000000000,2024-07-17 00:00:00,3.1,504.39,534.76895
2023-09-06T09:00:00.000000000,2024-07-17 00:00:00,3.1,507.18,534.03452
2023-09-06T10:00:00.000000000,2024-07-17 00:00:00,3.1,507.97,533.77984
2023-09-06T11:00:00.000000000,2024-07-17 00:00:00,3.1,511.37,537.2831
2023-09-06T12:00:00.000000000,2024-07-17 00:00:00,3.1,511.65,541.61006
2023-09-06T13:00:00.000000000,2024-07-17 00:00:00,3.1,512.22,536.4276
2023-09-06T14:00:00.000000000,2024-07-17 00:00:00,3.1,502.17,505.30442
2023-09-06T15:00:00.000000000,2024-07-17 00:00:00,3.1,399.24,437.63358
2023-09-06T16:00:00.000000000,2024-07-17 00:00:00,3.1,323.85,367.70302
2023-09-06T17:00:00.000000000,2024-07-17 00:00:00,3.1,302.54,325.96213
2023-09-06T18:00:00.000000000,2024-07-17 00:00:00,3.1,301.02,320.64671
2023-09-06T19:00:00.000000000,2024-07-17 00:00:00,3.1,300.88,326.58124
2023-09-06T20:00:00.000000000,2024-07-17 00:00:00,3.1,308.2,330.96381
2023-09-06T21:00:00.000000000,2024-07-17 00:00:00,3.1,321.25,339.99086
2023-09-06T22:00:00.000000000,2024-07-17 00:00:00,3.1,320.04,344.90209
2023-09-06T23:00:00.000000000,2024-07-17 00:00:00,3.1,338.83,348.06188
2023-09-07T00:00:00.000000000,2024-07-17 00:00:00,3.1,345.9,364.40613
2023-09-07T01:00:00.000000000,2024-07-17 00:00:00,3.1,386.63,424.85764
2023-09-07T02:00:00.000000000,2024-07-17 00:00:00,3.1,454.55,492.36039
2023-09-07T03:00:00.000000000,2024-07-17 00:00:00,3.1,481.6,522.88479
