UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2023-10-13T00:00:00.000000000,2024-07-17 00:00:00,3.1,262.65,288.65926
2023-10-13T01:00:00.000000000,2024-07-17 00:00:00,3.1,354.02,352.09247
2023-10-13T02:00:00.000000000,2024-07-17 00:00:00,3.1,391.75,389.8205
2023-10-13T03:00:00.000000000,2024-07-17 00:00:00,3.1,390.17,399.63663
2023-10-13T04:00:00.000000000,2024-07-17 00:00:00,3.1,391.18,400.65442
2023-10-13T05:00:00.000000000,2024-07-17 00:00:00,3.1,390.52,399.66079
2023-10-13T06:00:00.000000000,2024-07-17 00:00:00,3.1,396.22,402.24336
2023-10-13T07:00:00.000000000,2024-07-17 00:00:00,3.1,402.06,407.41935
2023-10-13T08:00:00.000000000,2024-07-17 00:00:00,3.1,407.32,415.11751
2023-10-13T09:00:00.000000000,2024-07-17 00:00:00,3.1,405.75,417.5726
2023-10-13T10:00:00.000000000,2024-07-17 00:00:00,3.1,409.17,415.71049
2023-10-13T11:00:00.000000000,2024-07-17 00:00:00,3.1,410.91,415.64423
2023-10-13T12:00:00.000000000,2024-07-17 00:00:00,3.1,409.38,420.93231
2023-10-13T13:00:00.000000000,2024-07-17 00:00:00,3.1,409.16,420.22903
2023-10-13T14:00:00.000000000,2024-07-17 00:00:00,3.1,412.43,390.73535
2023-10-13T15:00:00.000000000,2024-07-17 00:00:00,3.1,374.56,334.2791
2023-10-13T16:00:00.000000000,2024-07-17 00:00:00,3.1,274.61,263.3333
2023-10-13T17:00:00.000000000,2024-07-17 00:00:00,3.1,237.68,216.19692
2023-10-13T18:00:00.000000000,2024-07-17 00:00:00,3.1,238.62,208.17392
2023-10-13T19:00:00.000000000,2024-07-17 00:00:00,3.1,237.49,216.51455
2023-10-13T20:00:00.000000000,2024-07-17 00:00:00,3.1,245.29,220.89744
2023-10-13T21:00:00.000000000,2024-07-17 00:00:00,3.1,246.73,217.03965
2023-10-13T22:00:00.000000000,2024-07-17 00:00:00,3.1,263.82,218.20159
2023-10-13T23:00:00.000000000,2024-07-17 00:00:00,3.1,310.97,238.83411
2023-10-14T00:00:00.000000000,2024-07-17 00:00:00,3.1,346.49,295.2918
2023-10-14T01:00:00.000000000,2024-07-17 00:00:00,3.1,383.54,355.03796
2023-10-14T02:00:00.000000000,2024-07-17 00:00:00,3.1,394.17,392.52276
2023-10-14T03:00:00.000000000,2024-07-17 00:00:00,3.1,392.58,403.6009
2023-10-14T04:00:00.000000000,2024-07-17 00:00:00,3.1,397.62,403.8347
2023-10-14T05:00:00.000000000,2024-07-17 00:00:00,3.1,401.61,401.3701
2023-10-14T06:00:00.000000000,2024-07-17 00:00:00,3.1,404.93,403.40695
2023-10-14T07:00:00.000000000,2024-07-17 00:00:00,3.1,404.82,408.51555
2023-10-14T08:00:00.000000000,2024-07-17 00:00:00,3.1,405.83,415.43083
2023-10-14T09:00:00.000000000,2024-07-17 00:00:00,3.1,407.04,417.44779
2023-10-14T10:00:00.000000000,2024-07-17 00:00:00,3.1,407.89,415.97118
2023-10-14T11:00:00.000000000,2024-07-17 00:00:00,3.1,408.97,416.05322
2023-10-14T12:00:00.000000000,2024-07-17 00:00:00,3.1,410.06,420.21027
2023-10-14T13:00:00.000000000,2024-07-17 00:00:00,3.1,419.04,418.75313
2023-10-14T14:00:00.000000000,2024-07-17 00:00:00,3.1,421.87,392.17715
2023-10-14T15:00:00.000000000,2024-07-17 00:00:00,3.1,376.95,342.13881
2023-10-14T16:00:00.000000000,2024-07-17 00:00:00,3.1,319.37,278.09068
2023-10-14T17:00:00.000000000,2024-07-17 00:00:00,3.1,354.95,233.32049
2023-10-14T18:00:00.000000000,2024-07-17 00:00:00,3.1,287.39,223.06837
2023-10-14T19:00:00.000000000,2024-07-17 00:00:00,3.1,229.22,229.70134
2023-10-14T20:00:00.000000000,2024-07-17 00:00:00,3.1,217.53,234.57392
2023-10-14T21:00:00.000000000,2024-07-17 00:00:00,3.1,217.31,231.68655
2023-10-14T22:00:00.000000000,2024-07-17 00:00:00,3.1,223.28,232.03554
2023-10-14T23:00:00.000000000,2024-07-17 00:00:00,3.1,240.72,249.61796
2023-10-15T00:00:00.000000000,2024-07-17 00:00:00,3.1,288.06,309.32066
2023-10-15T01:00:00.000000000,2024-07-17 00:00:00,3.1,366.76,367.04533
2023-10-15T02:00:00.000000000,2024-07-17 00:00:00,3.1,394.16,397.76843
2023-10-15T03:00:00.000000000,2024-07-17 00:00:00,3.1,397.27,404.64069
2023-10-15T04:00:00.000000000,2024-07-17 00:00:00,3.1,397.17,405.18583
2023-10-15T05:00:00.000000000,2024-07-17 00:00:00,3.1,403.49,404.28902
2023-10-15T06:00:00.000000000,2024-07-17 00:00:00,3.1,415.46,406.9138
2023-10-15T07:00:00.000000000,2024-07-17 00:00:00,3.1,416.54,410.8191
2023-10-15T08:00:00.000000000,2024-07-17 00:00:00,3.1,416.71,415.58853
2023-10-15T09:00:00.000000000,2024-07-17 00:00:00,3.1,417.08,417.23896
2023-10-15T10:00:00.000000000,2024-07-17 00:00:00,3.1,420.39,417.69598
2023-10-15T11:00:00.000000000,2024-07-17 00:00:00,3.1,426.8,419.625
2023-10-15T12:00:00.000000000,2024-07-17 00:00:00,3.1,433.98,423.9415
2023-10-15T13:00:00.000000000,2024-07-17 00:00:00,3.1,442.5,422.08669
2023-10-15T14:00:00.000000000,2024-07-17 00:00:00,3.1,457.8,395.18729
2023-10-15T15:00:00.000000000,2024-07-17 00:00:00,3.1,387.56,344.03086
2023-10-15T16:00:00.000000000,2024-07-17 00:00:00,3.1,266.77,279.05274
2023-10-15T17:00:00.000000000,2024-07-17 00:00:00,3.1,230.27,235.11152
2023-10-15T18:00:00.000000000,2024-07-17 00:00:00,3.1,233.21,227.48084
2023-10-15T19:00:00.000000000,2024-07-17 00:00:00,3.1,243.03,236.73748
2023-10-15T20:00:00.000000000,2024-07-17 00:00:00,3.1,243.85,243.16637
2023-10-15T21:00:00.000000000,2024-07-17 00:00:00,3.1,244.55,240.80679
2023-10-15T22:00:00.000000000,2024-07-17 00:00:00,3.1,257.08,241.59291
2023-10-15T23:00:00.000000000,2024-07-17 00:00:00,3.1,264.25,261.1619
2023-10-16T00:00:00.000000000,2024-07-17 00:00:00,3.1,298.64,317.42206
2023-10-16T01:00:00.000000000,2024-07-17 00:00:00,3.1,380.03,372.83996
2023-10-16T02:00:00.000000000,2024-07-17 00:00:00,3.1,405.15,400.90367
2023-10-16T03:00:00.000000000,2024-07-17 00:00:00,3.1,404.83,405.94782
2023-10-16T04:00:00.000000000,2024-07-17 00:00:00,3.1,406.18,405.53577
2023-10-16T05:00:00.000000000,2024-07-17 00:00:00,3.1,410.88,404.43765
2023-10-16T06:00:00.000000000,2024-07-17 00:00:00,3.1,419.49,406.987
2023-10-16T07:00:00.000000000,2024-07-17 00:00:00,3.1,422.23,410.34697
2023-10-16T08:00:00.000000000,2024-07-17 00:00:00,3.1,425.94,414.002
2023-10-16T09:00:00.000000000,2024-07-17 00:00:00,3.1,429.35,415.39965
2023-10-16T10:00:00.000000000,2024-07-17 00:00:00,3.1,429.23,416.48127
2023-10-16T11:00:00.000000000,2024-07-17 00:00:00,3.1,428.43,418.7638
2023-10-16T12:00:00.000000000,2024-07-17 00:00:00,3.1,428.92,422.44326
2023-10-16T13:00:00.000000000,2024-07-17 00:00:00,3.1,428.84,420.21341
2023-10-16T14:00:00.000000000,2024-07-17 00:00:00,3.1,434.98,395.4062
2023-10-16T15:00:00.000000000,2024-07-17 00:00:00,3.1,388.81,348.29847
2023-10-16T16:00:00.000000000,2024-07-17 00:00:00,3.1,277.24,287.1268
2023-10-16T17:00:00.000000000,2024-07-17 00:00:00,3.1,243.97,244.21205
2023-10-16T18:00:00.000000000,2024-07-17 00:00:00,3.1,249.51,235.19948
2023-10-16T19:00:00.000000000,2024-07-17 00:00:00,3.1,254.44,243.35754
2023-10-16T20:00:00.000000000,2024-07-17 00:00:00,3.1,259.3,250.28302
2023-10-16T21:00:00.000000000,2024-07-17 00:00:00,3.1,267.44,249.44579
2023-10-16T22:00:00.000000000,2024-07-17 00:00:00,3.1,279.77,251.08774
2023-10-16T23:00:00.000000000,2024-07-17 00:00:00,3.1,292.42,270.23127
