UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2023-10-09T00:00:00.000000000,2024-07-17 00:00:00,3.1,345.26,366.46777
2023-10-09T01:00:00.000000000,2024-07-17 00:00:00,3.1,342.24,377.19616
2023-10-09T02:00:00.000000000,2024-07-17 00:00:00,3.1,341.5,387.88407
2023-10-09T03:00:00.000000000,2024-07-17 00:00:00,3.1,348.55,397.32419
2023-10-09T04:00:00.000000000,2024-07-17 00:00:00,3.1,362.58,404.4587
2023-10-09T05:00:00.000000000,2024-07-17 00:00:00,3.1,384.57,408.89893
2023-10-09T06:00:00.000000000,2024-07-17 00:00:00,3.1,406.65,410.65552
2023-10-09T07:00:00.000000000,2024-07-17 00:00:00,3.1,411.28,410.34563
2023-10-09T08:00:00.000000000,2024-07-17 00:00:00,3.1,403.94,408.52783
2023-10-09T09:00:00.000000000,2024-07-17 00:00:00,3.1,412.02,406.00794
2023-10-09T10:00:00.000000000,2024-07-17 00:00:00,3.1,423.18,403.384
2023-10-09T11:00:00.000000000,2024-07-17 00:00:00,3.1,430.3,400.86308
2023-10-09T12:00:00.000000000,2024-07-17 00:00:00,3.1,435.28,398.93601
2023-10-09T13:00:00.000000000,2024-07-17 00:00:00,3.1,433.19,397.51653
2023-10-09T14:00:00.000000000,2024-07-17 00:00:00,3.1,423.24,396.892
2023-10-09T15:00:00.000000000,2024-07-17 00:00:00,3.1,427.32,397.34184
2023-10-09T16:00:00.000000000,2024-07-17 00:00:00,3.1,433.4,398.62418
2023-10-09T17:00:00.000000000,2024-07-17 00:00:00,3.1,446.2,400.77798
2023-10-09T18:00:00.000000000,2024-07-17 00:00:00,3.1,450.78,403.74169
2023-10-09T19:00:00.000000000,2024-07-17 00:00:00,3.1,451.63,407.68638
2023-10-09T20:00:00.000000000,2024-07-17 00:00:00,3.1,451.66,412.59208
2023-10-09T21:00:00.000000000,2024-07-17 00:00:00,3.1,453.96,418.40983
2023-10-09T22:00:00.000000000,2024-07-17 00:00:00,3.1,451.11,424.66772
2023-10-09T23:00:00.000000000,2024-07-17 00:00:00,3.1,448.09,431.54333
2023-10-10T00:00:00.000000000,2024-07-17 00:00:00,3.1,438.72,437.1769
2023-10-10T01:00:00.000000000,2024-07-17 00:00:00,3.1,433.82,438.16931
2023-10-10T02:00:00.000000000,2024-07-17 00:00:00,3.1,426.21,438.88157
2023-10-10T03:00:00.000000000,2024-07-17 00:00:00,3.1,425.7,438.91737
2023-10-10T04:00:00.000000000,2024-07-17 00:00:00,3.1,424.71,437.92973
2023-10-10T05:00:00.000000000,2024-07-17 00:00:00,3.1,420.47,435.63855
2023-10-10T06:00:00.000000000,2024-07-17 00:00:00,3.1,412.07,431.85013
2023-10-10T07:00:00.000000000,2024-07-17 00:00:00,3.1,417.03,427.21806
