UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2023-07-11T00:00:00.000000000,2024-07-17 00:00:00,3.1,377.53,384.08091
2023-07-11T01:00:00.000000000,2024-07-17 00:00:00,3.1,372.54,383.01247
2023-07-11T02:00:00.000000000,2024-07-17 00:00:00,3.1,362.16,382.72583
2023-07-11T03:00:00.000000000,2024-07-17 00:00:00,3.1,346.57,383.47251
2023-07-11T04:00:00.000000000,2024-07-17 00:00:00,3.1,341.87,385.19572
2023-07-11T05:00:00.000000000,2024-07-17 00:00:00,3.1,351.65,387.59947
2023-07-11T06:00:00.000000000,2024-07-17 00:00:00,3.1,378.6,390.0281
2023-07-11T07:00:00.000000000,2024-07-17 00:00:00,3.1,394.79,392.30425
2023-07-11T08:00:00.000000000,2024-07-17 00:00:00,3.1,406.06,393.7349
2023-07-11T09:00:00.000000000,2024-07-17 00:00:00,3.1,414.29,393.76211
2023-07-11T10:00:00.000000000,2024-07-17 00:00:00,3.1,427.4,391.95295
2023-07-11T11:00:00.000000000,2024-07-17 00:00:00,3.1,430.11,388.31562
2023-07-11T12:00:00.000000000,2024-07-17 00:00:00,3.1,417.22,383.5253
2023-07-11T13:00:00.000000000,2024-07-17 00:00:00,3.1,409.79,377.90201
2023-07-11T14:00:00.000000000,2024-07-17 00:00:00,3.1,401.0,371.84321
2023-07-11T15:00:00.000000000,2024-07-17 00:00:00,3.1,373.75,366.09519
2023-07-11T16:00:00.000000000,2024-07-17 00:00:00,3.1,371.83,361.08533
2023-07-11T17:00:00.000000000,2024-07-17 00:00:00,3.1,369.34,356.78831
2023-07-11T18:00:00.000000000,2024-07-17 00:00:00,3.1,369.0,353.40705
2023-07-11T19:00:00.000000000,2024-07-17 00:00:00,3.1,375.31,350.59198
2023-07-11T20:00:00.000000000,2024-07-17 00:00:00,3.1,372.96,348.05414
2023-07-11T21:00:00.000000000,2024-07-17 00:00:00,3.1,382.8,345.94255
2023-07-11T22:00:00.000000000,2024-07-17 00:00:00,3.1,338.64,344.19363
2023-07-11T23:00:00.000000000,2024-07-17 00:00:00,3.1,301.88,342.77417
2023-07-12T00:00:00.000000000,2024-07-17 00:00:00,3.1,267.23,333.64924
2023-07-12T01:00:00.000000000,2024-07-17 00:00:00,3.1,248.61,330.8355
2023-07-12T02:00:00.000000000,2024-07-17 00:00:00,3.1,250.64,330.02766
2023-07-12T03:00:00.000000000,2024-07-17 00:00:00,3.1,265.32,332.03962
2023-07-12T04:00:00.000000000,2024-07-17 00:00:00,3.1,290.27,336.9633
2023-07-12T05:00:00.000000000,2024-07-17 00:00:00,3.1,320.64,344.0599
2023-07-12T06:00:00.000000000,2024-07-17 00:00:00,3.1,354.41,352.4199
2023-07-12T07:00:00.000000000,2024-07-17 00:00:00,3.1,380.43,361.4305
2023-07-12T08:00:00.000000000,2024-07-17 00:00:00,3.1,398.44,369.76157
2023-07-12T09:00:00.000000000,2024-07-17 00:00:00,3.1,418.05,376.0499
2023-07-12T10:00:00.000000000,2024-07-17 00:00:00,3.1,421.59,379.79909
2023-07-12T11:00:00.000000000,2024-07-17 00:00:00,3.1,423.23,380.33768
