UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2023-09-25T00:00:00.000000000,2024-07-17 00:00:00,3.1,573.45,532.09109
2023-09-25T01:00:00.000000000,2024-07-17 00:00:00,3.1,585.65,532.03024
2023-09-25T02:00:00.000000000,2024-07-17 00:00:00,3.1,587.15,530.54145
2023-09-25T03:00:00.000000000,2024-07-17 00:00:00,3.1,576.16,530.09229
2023-09-25T04:00:00.000000000,2024-07-17 00:00:00,3.1,580.79,530.29154
2023-09-25T05:00:00.000000000,2024-07-17 00:00:00,3.1,585.81,531.59326
2023-09-25T06:00:00.000000000,2024-07-17 00:00:00,3.1,593.36,531.62578
2023-09-25T07:00:00.000000000,2024-07-17 00:00:00,3.1,592.28,534.63315
2023-09-25T08:00:00.000000000,2024-07-17 00:00:00,3.1,581.5,538.0447
2023-09-25T09:00:00.000000000,2024-07-17 00:00:00,3.1,579.81,540.89407
2023-09-25T10:00:00.000000000,2024-07-17 00:00:00,3.1,576.57,541.72134
2023-09-25T11:00:00.000000000,2024-07-17 00:00:00,3.1,567.64,541.92131
2023-09-25T12:00:00.000000000,2024-07-17 00:00:00,3.1,558.59,544.95138
2023-09-25T13:00:00.000000000,2024-07-17 00:00:00,3.1,557.24,546.16845
2023-09-25T14:00:00.000000000,2024-07-17 00:00:00,3.1,549.54,546.21393
2023-09-25T15:00:00.000000000,2024-07-17 00:00:00,3.1,541.69,548.24521
2023-09-25T16:00:00.000000000,2024-07-17 00:00:00,3.1,549.55,549.65555
2023-09-25T17:00:00.000000000,2024-07-17 00:00:00,3.1,556.41,551.41461
2023-09-25T18:00:00.000000000,2024-07-17 00:00:00,3.1,561.15,550.80682
2023-09-25T19:00:00.000000000,2024-07-17 00:00:00,3.1,555.34,550.2439
2023-09-25T20:00:00.000000000,2024-07-17 00:00:00,3.1,550.38,549.24425
2023-09-25T21:00:00.000000000,2024-07-17 00:00:00,3.1,601.9,547.96063
2023-09-25T22:00:00.000000000,2024-07-17 00:00:00,3.1,541.28,545.37501
2023-09-25T23:00:00.000000000,2024-07-17 00:00:00,3.1,539.31,545.32415
2023-09-26T00:00:00.000000000,2024-07-17 00:00:00,3.1,533.78,489.76746
2023-09-26T01:00:00.000000000,2024-07-17 00:00:00,3.1,530.98,486.22519
2023-09-26T02:00:00.000000000,2024-07-17 00:00:00,3.1,495.51,480.68929
2023-09-26T03:00:00.000000000,2024-07-17 00:00:00,3.1,467.91,476.06665
2023-09-26T04:00:00.000000000,2024-07-17 00:00:00,3.1,474.83,472.96581
2023-09-26T05:00:00.000000000,2024-07-17 00:00:00,3.1,487.68,471.10592
2023-09-26T06:00:00.000000000,2024-07-17 00:00:00,3.1,492.31,469.86696
2023-09-26T07:00:00.000000000,2024-07-17 00:00:00,3.1,495.16,470.2909
2023-09-26T08:00:00.000000000,2024-07-17 00:00:00,3.1,495.18,471.97247
2023-09-26T09:00:00.000000000,2024-07-17 00:00:00,3.1,497.79,474.34478
2023-09-26T10:00:00.000000000,2024-07-17 00:00:00,3.1,502.09,474.71297
2023-09-26T11:00:00.000000000,2024-07-17 00:00:00,3.1,503.84,477.68485
2023-09-26T12:00:00.000000000,2024-07-17 00:00:00,3.1,498.43,481.78619
2023-09-26T13:00:00.000000000,2024-07-17 00:00:00,3.1,501.55,486.05579
2023-09-26T14:00:00.000000000,2024-07-17 00:00:00,3.1,495.5,490.29206
2023-09-26T15:00:00.000000000,2024-07-17 00:00:00,3.1,493.14,496.2428
2023-09-26T16:00:00.000000000,2024-07-17 00:00:00,3.1,491.57,502.81646
2023-09-26T17:00:00.000000000,2024-07-17 00:00:00,3.1,497.03,508.29513
2023-09-26T18:00:00.000000000,2024-07-17 00:00:00,3.1,495.47,511.86935
2023-09-26T19:00:00.000000000,2024-07-17 00:00:00,3.1,488.4,513.9642
2023-09-26T20:00:00.000000000,2024-07-17 00:00:00,3.1,476.23,515.80961
2023-09-26T21:00:00.000000000,2024-07-17 00:00:00,3.1,466.29,516.10665
2023-09-26T22:00:00.000000000,2024-07-17 00:00:00,3.1,477.87,513.42636
2023-09-26T23:00:00.000000000,2024-07-17 00:00:00,3.1,475.21,512.40677
2023-09-27T00:00:00.000000000,2024-07-17 00:00:00,3.1,472.57,495.3753
2023-09-27T01:00:00.000000000,2024-07-17 00:00:00,3.1,479.42,489.70584
2023-09-27T02:00:00.000000000,2024-07-17 00:00:00,3.1,482.74,481.68543
2023-09-27T03:00:00.000000000,2024-07-17 00:00:00,3.1,470.38,474.3536
2023-09-27T04:00:00.000000000,2024-07-17 00:00:00,3.1,452.32,469.91467
2023-09-27T05:00:00.000000000,2024-07-17 00:00:00,3.1,467.82,467.04323
2023-09-27T06:00:00.000000000,2024-07-17 00:00:00,3.1,475.73,465.60579
2023-09-27T07:00:00.000000000,2024-07-17 00:00:00,3.1,470.13,466.15252
2023-09-27T08:00:00.000000000,2024-07-17 00:00:00,3.1,464.57,468.00873
2023-09-27T09:00:00.000000000,2024-07-17 00:00:00,3.1,508.81,472.41901
2023-09-27T10:00:00.000000000,2024-07-17 00:00:00,3.1,543.0,474.41589
2023-09-27T11:00:00.000000000,2024-07-17 00:00:00,3.1,519.49,479.07087
2023-09-27T12:00:00.000000000,2024-07-17 00:00:00,3.1,506.95,486.32528
2023-09-27T13:00:00.000000000,2024-07-17 00:00:00,3.1,513.11,493.15447
2023-09-27T14:00:00.000000000,2024-07-17 00:00:00,3.1,504.22,500.4795
2023-09-27T15:00:00.000000000,2024-07-17 00:00:00,3.1,491.18,508.63885
2023-09-27T16:00:00.000000000,2024-07-17 00:00:00,3.1,488.34,518.04963
2023-09-27T17:00:00.000000000,2024-07-17 00:00:00,3.1,499.84,526.11622
2023-09-27T18:00:00.000000000,2024-07-17 00:00:00,3.1,525.95,530.69806
2023-09-27T19:00:00.000000000,2024-07-17 00:00:00,3.1,546.09,533.78377
2023-09-27T20:00:00.000000000,2024-07-17 00:00:00,3.1,555.73,536.63917
2023-09-27T21:00:00.000000000,2024-07-17 00:00:00,3.1,561.95,536.58034
2023-09-27T22:00:00.000000000,2024-07-17 00:00:00,3.1,556.48,533.58905
2023-09-27T23:00:00.000000000,2024-07-17 00:00:00,3.1,550.16,531.62691
2023-09-28T00:00:00.000000000,2024-07-17 00:00:00,3.1,542.28,518.67067
2023-09-28T01:00:00.000000000,2024-07-17 00:00:00,3.1,539.54,510.72389
2023-09-28T02:00:00.000000000,2024-07-17 00:00:00,3.1,518.02,499.29983
2023-09-28T03:00:00.000000000,2024-07-17 00:00:00,3.1,513.52,489.2548
2023-09-28T04:00:00.000000000,2024-07-17 00:00:00,3.1,493.68,482.83885
2023-09-28T05:00:00.000000000,2024-07-17 00:00:00,3.1,498.67,477.9355
2023-09-28T06:00:00.000000000,2024-07-17 00:00:00,3.1,452.41,475.15799
2023-09-28T07:00:00.000000000,2024-07-17 00:00:00,3.1,464.81,473.71049
2023-09-28T08:00:00.000000000,2024-07-17 00:00:00,3.1,466.95,473.80258
2023-09-28T09:00:00.000000000,2024-07-17 00:00:00,3.1,455.72,478.60768
2023-09-28T10:00:00.000000000,2024-07-17 00:00:00,3.1,464.18,480.19561
2023-09-28T11:00:00.000000000,2024-07-17 00:00:00,3.1,463.51,485.72779
2023-09-28T12:00:00.000000000,2024-07-17 00:00:00,3.1,484.93,495.15985
2023-09-28T13:00:00.000000000,2024-07-17 00:00:00,3.1,465.54,503.22617
2023-09-28T14:00:00.000000000,2024-07-17 00:00:00,3.1,476.0,512.41353
2023-09-28T15:00:00.000000000,2024-07-17 00:00:00,3.1,477.65,522.55373
2023-09-28T16:00:00.000000000,2024-07-17 00:00:00,3.1,467.67,534.15753
2023-09-28T17:00:00.000000000,2024-07-17 00:00:00,3.1,471.07,544.48958
2023-09-28T18:00:00.000000000,2024-07-17 00:00:00,3.1,501.97,551.11512
2023-09-28T19:00:00.000000000,2024-07-17 00:00:00,3.1,511.04,555.03321
2023-09-28T20:00:00.000000000,2024-07-17 00:00:00,3.1,516.56,559.95664
2023-09-28T21:00:00.000000000,2024-07-17 00:00:00,3.1,510.98,560.14722
2023-09-28T22:00:00.000000000,2024-07-17 00:00:00,3.1,508.39,557.18285
2023-09-28T23:00:00.000000000,2024-07-17 00:00:00,3.1,516.3,555.80891
