UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2022-11-09T00:00:00.000000000,2024-07-17 00:00:00,3.1,622.72,627.38445
2022-11-09T01:00:00.000000000,2024-07-17 00:00:00,3.1,634.26,628.85719
2022-11-09T02:00:00.000000000,2024-07-17 00:00:00,3.1,641.02,627.47377
2022-11-09T03:00:00.000000000,2024-07-17 00:00:00,3.1,647.03,626.63944
2022-11-09T04:00:00.000000000,2024-07-17 00:00:00,3.1,644.43,633.08143
2022-11-09T05:00:00.000000000,2024-07-17 00:00:00,3.1,647.9,631.241
2022-11-09T06:00:00.000000000,2024-07-17 00:00:00,3.1,647.64,628.19756
2022-11-09T07:00:00.000000000,2024-07-17 00:00:00,3.1,642.9,629.54961
2022-11-09T08:00:00.000000000,2024-07-17 00:00:00,3.1,644.72,633.06381
2022-11-09T09:00:00.000000000,2024-07-17 00:00:00,3.1,646.96,638.63143
2022-11-09T10:00:00.000000000,2024-07-17 00:00:00,3.1,651.49,644.67017
2022-11-09T11:00:00.000000000,2024-07-17 00:00:00,3.1,651.72,642.06006
2022-11-09T12:00:00.000000000,2024-07-17 00:00:00,3.1,650.8,642.3802
2022-11-09T13:00:00.000000000,2024-07-17 00:00:00,3.1,650.41,640.62321
2022-11-09T14:00:00.000000000,2024-07-17 00:00:00,3.1,645.72,640.77037
2022-11-09T15:00:00.000000000,2024-07-17 00:00:00,3.1,644.42,639.81925
2022-11-09T16:00:00.000000000,2024-07-17 00:00:00,3.1,645.52,636.24717
2022-11-09T17:00:00.000000000,2024-07-17 00:00:00,3.1,649.56,634.58057
2022-11-09T18:00:00.000000000,2024-07-17 00:00:00,3.1,630.06,637.03451
2022-11-09T19:00:00.000000000,2024-07-17 00:00:00,3.1,643.38,639.42928
2022-11-09T20:00:00.000000000,2024-07-17 00:00:00,3.1,650.53,636.7097
2022-11-09T21:00:00.000000000,2024-07-17 00:00:00,3.1,656.72,632.05209
2022-11-09T22:00:00.000000000,2024-07-17 00:00:00,3.1,663.34,634.73045
2022-11-09T23:00:00.000000000,2024-07-17 00:00:00,3.1,667.53,626.7488
2022-11-10T00:00:00.000000000,2024-07-17 00:00:00,3.1,662.15,628.45813
2022-11-10T01:00:00.000000000,2024-07-17 00:00:00,3.1,656.56,628.89687
2022-11-10T02:00:00.000000000,2024-07-17 00:00:00,3.1,646.04,628.50814
2022-11-10T03:00:00.000000000,2024-07-17 00:00:00,3.1,634.67,628.52454
2022-11-10T04:00:00.000000000,2024-07-17 00:00:00,3.1,624.09,636.14175
2022-11-10T05:00:00.000000000,2024-07-17 00:00:00,3.1,626.69,633.2661
2022-11-10T06:00:00.000000000,2024-07-17 00:00:00,3.1,629.69,631.80278
2022-11-10T07:00:00.000000000,2024-07-17 00:00:00,3.1,635.49,630.84316
2022-11-10T08:00:00.000000000,2024-07-17 00:00:00,3.1,633.49,636.28023
2022-11-10T09:00:00.000000000,2024-07-17 00:00:00,3.1,630.87,641.09824
