UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2022-11-05T00:00:00.000000000,2024-07-17 00:00:00,3.1,504.63,480.71761
2022-11-05T01:00:00.000000000,2024-07-17 00:00:00,3.1,504.27,474.96968
2022-11-05T02:00:00.000000000,2024-07-17 00:00:00,3.1,504.86,480.68064
2022-11-05T03:00:00.000000000,2024-07-17 00:00:00,3.1,506.03,472.43443
2022-11-05T04:00:00.000000000,2024-07-17 00:00:00,3.1,504.56,475.33047
2022-11-05T05:00:00.000000000,2024-07-17 00:00:00,3.1,503.87,476.73594
2022-11-05T06:00:00.000000000,2024-07-17 00:00:00,3.1,503.93,480.31727
2022-11-05T07:00:00.000000000,2024-07-17 00:00:00,3.1,515.19,468.27412
2022-11-05T08:00:00.000000000,2024-07-17 00:00:00,3.1,545.16,468.80387
2022-11-05T09:00:00.000000000,2024-07-17 00:00:00,3.1,544.19,473.67104
2022-11-05T10:00:00.000000000,2024-07-17 00:00:00,3.1,517.05,472.67507
2022-11-05T11:00:00.000000000,2024-07-17 00:00:00,3.1,517.5,471.21885
2022-11-05T12:00:00.000000000,2024-07-17 00:00:00,3.1,524.3,467.13013
2022-11-05T13:00:00.000000000,2024-07-17 00:00:00,3.1,527.67,468.96803
2022-11-05T14:00:00.000000000,2024-07-17 00:00:00,3.1,524.45,470.83858
2022-11-05T15:00:00.000000000,2024-07-17 00:00:00,3.1,528.96,471.65248
2022-11-05T16:00:00.000000000,2024-07-17 00:00:00,3.1,539.0,457.18347
2022-11-05T17:00:00.000000000,2024-07-17 00:00:00,3.1,546.51,464.17197
2022-11-05T18:00:00.000000000,2024-07-17 00:00:00,3.1,568.81,463.74823
2022-11-05T19:00:00.000000000,2024-07-17 00:00:00,3.1,582.56,459.37297
2022-11-05T20:00:00.000000000,2024-07-17 00:00:00,3.1,508.08,462.66009
2022-11-05T21:00:00.000000000,2024-07-17 00:00:00,3.1,474.93,473.239
2022-11-05T22:00:00.000000000,2024-07-17 00:00:00,3.1,458.38,466.32118
2022-11-05T23:00:00.000000000,2024-07-17 00:00:00,3.1,476.12,470.41283
2022-11-06T00:00:00.000000000,2024-07-17 00:00:00,3.1,479.17,489.34839
2022-11-06T01:00:00.000000000,2024-07-17 00:00:00,3.1,472.22,489.50311
2022-11-06T02:00:00.000000000,2024-07-17 00:00:00,3.1,456.11,491.46979
2022-11-06T03:00:00.000000000,2024-07-17 00:00:00,3.1,464.63,490.63084
2022-11-06T04:00:00.000000000,2024-07-17 00:00:00,3.1,486.06,491.70396
2022-11-06T05:00:00.000000000,2024-07-17 00:00:00,3.1,506.15,495.04914
2022-11-06T06:00:00.000000000,2024-07-17 00:00:00,3.1,506.07,497.48851
2022-11-06T07:00:00.000000000,2024-07-17 00:00:00,3.1,527.74,487.49696
2022-11-06T08:00:00.000000000,2024-07-17 00:00:00,3.1,537.45,491.21629
2022-11-06T09:00:00.000000000,2024-07-17 00:00:00,3.1,525.97,498.36832
2022-11-06T10:00:00.000000000,2024-07-17 00:00:00,3.1,538.98,495.89556
2022-11-06T11:00:00.000000000,2024-07-17 00:00:00,3.1,539.81,498.97915
2022-11-06T12:00:00.000000000,2024-07-17 00:00:00,3.1,550.38,495.47168
2022-11-06T13:00:00.000000000,2024-07-17 00:00:00,3.1,560.58,496.97974
2022-11-06T14:00:00.000000000,2024-07-17 00:00:00,3.1,563.15,500.38235
2022-11-06T15:00:00.000000000,2024-07-17 00:00:00,3.1,563.85,497.35803
2022-11-06T16:00:00.000000000,2024-07-17 00:00:00,3.1,565.69,488.12023
2022-11-06T17:00:00.000000000,2024-07-17 00:00:00,3.1,560.96,492.32698
2022-11-06T18:00:00.000000000,2024-07-17 00:00:00,3.1,564.39,492.42382
2022-11-06T19:00:00.000000000,2024-07-17 00:00:00,3.1,567.68,488.05683
2022-11-06T20:00:00.000000000,2024-07-17 00:00:00,3.1,570.11,489.91943
2022-11-06T21:00:00.000000000,2024-07-17 00:00:00,3.1,570.83,496.08216
2022-11-06T22:00:00.000000000,2024-07-17 00:00:00,3.1,568.36,495.16294
2022-11-06T23:00:00.000000000,2024-07-17 00:00:00,3.1,564.91,498.25519
2022-11-07T00:00:00.000000000,2024-07-17 00:00:00,3.1,551.97,494.6962
2022-11-07T01:00:00.000000000,2024-07-17 00:00:00,3.1,539.89,495.4926
2022-11-07T02:00:00.000000000,2024-07-17 00:00:00,3.1,536.67,497.69369
2022-11-07T03:00:00.000000000,2024-07-17 00:00:00,3.1,531.6,495.49408
2022-11-07T04:00:00.000000000,2024-07-17 00:00:00,3.1,524.14,496.20663
2022-11-07T05:00:00.000000000,2024-07-17 00:00:00,3.1,521.14,498.39896
2022-11-07T06:00:00.000000000,2024-07-17 00:00:00,3.1,529.14,499.24275
2022-11-07T07:00:00.000000000,2024-07-17 00:00:00,3.1,529.07,492.40788
2022-11-07T08:00:00.000000000,2024-07-17 00:00:00,3.1,536.02,494.78062
2022-11-07T09:00:00.000000000,2024-07-17 00:00:00,3.1,535.29,499.9725
2022-11-07T10:00:00.000000000,2024-07-17 00:00:00,3.1,536.05,498.37461
2022-11-07T11:00:00.000000000,2024-07-17 00:00:00,3.1,537.89,500.12539
2022-11-07T12:00:00.000000000,2024-07-17 00:00:00,3.1,549.75,497.5811
2022-11-07T13:00:00.000000000,2024-07-17 00:00:00,3.1,555.42,497.57138
2022-11-07T14:00:00.000000000,2024-07-17 00:00:00,3.1,556.55,500.66819
2022-11-07T15:00:00.000000000,2024-07-17 00:00:00,3.1,570.8,497.39404
2022-11-07T16:00:00.000000000,2024-07-17 00:00:00,3.1,589.9,491.26284
2022-11-07T17:00:00.000000000,2024-07-17 00:00:00,3.1,596.46,494.00129
2022-11-07T18:00:00.000000000,2024-07-17 00:00:00,3.1,603.01,492.24616
2022-11-07T19:00:00.000000000,2024-07-17 00:00:00,3.1,610.26,489.73912
2022-11-07T20:00:00.000000000,2024-07-17 00:00:00,3.1,600.53,490.96696
2022-11-07T21:00:00.000000000,2024-07-17 00:00:00,3.1,572.48,497.2448
2022-11-07T22:00:00.000000000,2024-07-17 00:00:00,3.1,562.78,495.80134
2022-11-07T23:00:00.000000000,2024-07-17 00:00:00,3.1,535.25,499.46201
2022-11-08T00:00:00.000000000,2024-07-17 00:00:00,3.1,519.29,488.51605
2022-11-08T01:00:00.000000000,2024-07-17 00:00:00,3.1,520.45,486.59902
2022-11-08T02:00:00.000000000,2024-07-17 00:00:00,3.1,523.57,487.95653
2022-11-08T03:00:00.000000000,2024-07-17 00:00:00,3.1,528.41,483.87594
2022-11-08T04:00:00.000000000,2024-07-17 00:00:00,3.1,543.96,483.3875
2022-11-08T05:00:00.000000000,2024-07-17 00:00:00,3.1,552.12,485.07371
2022-11-08T06:00:00.000000000,2024-07-17 00:00:00,3.1,552.76,483.47882
2022-11-08T07:00:00.000000000,2024-07-17 00:00:00,3.1,552.67,480.33667
2022-11-08T08:00:00.000000000,2024-07-17 00:00:00,3.1,559.45,476.80167
2022-11-08T09:00:00.000000000,2024-07-17 00:00:00,3.1,553.87,482.3623
2022-11-08T10:00:00.000000000,2024-07-17 00:00:00,3.1,556.59,482.43199
2022-11-08T11:00:00.000000000,2024-07-17 00:00:00,3.1,544.84,478.68968
2022-11-08T12:00:00.000000000,2024-07-17 00:00:00,3.1,543.38,478.09885
2022-11-08T13:00:00.000000000,2024-07-17 00:00:00,3.1,537.82,477.66459
2022-11-08T14:00:00.000000000,2024-07-17 00:00:00,3.1,532.19,482.7016
2022-11-08T15:00:00.000000000,2024-07-17 00:00:00,3.1,534.75,477.58974
2022-11-08T16:00:00.000000000,2024-07-17 00:00:00,3.1,536.69,474.83669
2022-11-08T17:00:00.000000000,2024-07-17 00:00:00,3.1,544.73,473.48087
2022-11-08T18:00:00.000000000,2024-07-17 00:00:00,3.1,547.85,474.65104
2022-11-08T19:00:00.000000000,2024-07-17 00:00:00,3.1,541.77,471.06434
2022-11-08T20:00:00.000000000,2024-07-17 00:00:00,3.1,542.25,470.60838
2022-11-08T21:00:00.000000000,2024-07-17 00:00:00,3.1,547.03,477.92685
2022-11-08T22:00:00.000000000,2024-07-17 00:00:00,3.1,565.52,476.13741
2022-11-08T23:00:00.000000000,2024-07-17 00:00:00,3.1,565.95,480.29733
