UTC time,coal,nat_gas,nuclear,oil,hydro,solar,other
2023-01-01 00:00:00,0,6485.0,3285.0,660.0,3605.0,577.0,192.0
2023-01-01 01:00:00,0,6328.0,3271.0,647.0,3342.0,651.0,190.0
2023-01-01 02:00:00,0,5961.0,3253.0,593.0,3323.0,737.0,179.0
2023-01-01 03:00:00,0,5234.0,3255.0,594.0,3328.0,766.0,171.0
2023-01-01 04:00:00,0,4900.0,3259.0,594.0,3116.0,814.0,174.0
2023-01-01 05:00:00,0,4591.0,3282.0,597.0,2819.0,923.0,172.0
2023-01-01 06:00:00,0,4208.0,3281.0,599.0,2600.0,961.0,173.0
2023-01-01 07:00:00,0,3988.0,3190.0,591.0,2626.0,1022.0,174.0
2023-01-01 08:00:00,0,3890.0,3197.0,582.0,2513.0,959.0,165.0
2023-01-01 09:00:00,0,3936.0,3186.0,580.0,2487.0,1019.0,163.0
2023-01-01 10:00:00,0,3940.0,3180.0,581.0,2300.0,1094.0,167.0
2023-01-01 11:00:00,0,3938.0,3188.0,574.0,2405.0,1084.0,163.0
2023-01-01 12:00:00,0,4029.0,3260.0,471.0,2721.0,1089.0,169.0
2023-01-01 13:00:00,0,4318.0,3251.0,600.0,3049.0,1086.0,167.0
2023-01-01 14:00:00,0,4430.0,3239.0,573.0,3215.0,1032.0,180.0
2023-01-01 15:00:00,0,4676.0,3235.0,570.0,3312.0,810.0,199.0
2023-01-01 16:00:00,0,4212.0,3232.0,591.0,3255.0,627.0,213.0
2023-01-01 17:00:00,0,4163.0,3236.0,580.0,3194.0,576.0,216.0
2023-01-01 18:00:00,0,4214.0,3242.0,588.0,3281.0,508.0,213.0
2023-01-01 19:00:00,0,4751.0,3243.0,602.0,3616.0,456.0,203.0
2023-01-01 20:00:00,0,5283.0,3264.0,610.0,3659.0,476.0,193.0
2023-01-01 21:00:00,0,5584.0,3265.0,638.0,3696.0,286.0,176.0
2023-01-01 22:00:00,0,5825.0,3275.0,620.0,3536.0,336.0,164.0
2023-01-01 23:00:00,0,6585.0,3284.0,616.0,3649.0,374.0,168.0
