Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,nuclear,oil,hydro,solar,other
39528,2023-07-06 00:00:00,2024-07-17 00:00:00,3.1,253.76,0,17191.0,3301.0,163.0,4915.0,20.0,208.0
39529,2023-07-06 01:00:00,2024-07-17 00:00:00,3.1,254.3,0,16876.0,3303.0,95.0,4668.0,15.0,199.0
39530,2023-07-06 02:00:00,2024-07-17 00:00:00,3.1,248.81,0,15828.0,3291.0,71.0,4702.0,14.0,193.0
39531,2023-07-06 03:00:00,2024-07-17 00:00:00,3.1,251.94,0,14702.0,3293.0,140.0,3877.0,50.0,191.0
39532,2023-07-06 04:00:00,2024-07-17 00:00:00,3.1,259.39,0,13775.0,3306.0,51.0,2754.0,62.0,180.0
39533,2023-07-06 05:00:00,2024-07-17 00:00:00,3.1,255.47,0,12279.0,3305.0,51.0,2341.0,113.0,179.0
39534,2023-07-06 06:00:00,2024-07-17 00:00:00,3.1,246.97,0,10830.0,3226.0,50.0,2247.0,191.0,178.0
39535,2023-07-06 07:00:00,2024-07-17 00:00:00,3.1,242.08,0,9942.0,3113.0,48.0,2214.0,194.0,171.0
39536,2023-07-06 08:00:00,2024-07-17 00:00:00,3.1,241.82,0,9598.0,3107.0,48.0,2135.0,122.0,177.0
39537,2023-07-06 09:00:00,2024-07-17 00:00:00,3.1,240.82,0,9451.0,3106.0,48.0,2158.0,83.0,176.0
39538,2023-07-06 10:00:00,2024-07-17 00:00:00,3.1,237.44,0,9374.0,3105.0,48.0,2342.0,72.0,177.0
39539,2023-07-06 11:00:00,2024-07-17 00:00:00,3.1,236.88,0,9983.0,3209.0,50.0,2607.0,98.0,188.0
39540,2023-07-06 12:00:00,2024-07-17 00:00:00,3.1,235.14,0,11083.0,3264.0,50.0,3352.0,82.0,211.0
39541,2023-07-06 13:00:00,2024-07-17 00:00:00,3.1,239.93,0,12102.0,3270.0,130.0,3691.0,35.0,247.0
39542,2023-07-06 14:00:00,2024-07-17 00:00:00,3.1,248.6,0,13636.0,3267.0,145.0,3827.0,19.0,276.0
39543,2023-07-06 15:00:00,2024-07-17 00:00:00,3.1,252.27,0,14802.0,3282.0,74.0,3999.0,49.0,295.0
39544,2023-07-06 16:00:00,2024-07-17 00:00:00,3.1,259.1,0,15978.0,3295.0,76.0,3857.0,102.0,305.0
39545,2023-07-06 17:00:00,2024-07-17 00:00:00,3.1,258.41,0,16403.0,3296.0,81.0,4062.0,142.0,302.0
39546,2023-07-06 18:00:00,2024-07-17 00:00:00,3.1,253.64,0,16515.0,3287.0,167.0,4618.0,156.0,303.0
39547,2023-07-06 19:00:00,2024-07-17 00:00:00,3.1,253.67,0,16766.0,3282.0,126.0,4678.0,159.0,280.0
39548,2023-07-06 20:00:00,2024-07-17 00:00:00,3.1,252.82,0,16772.0,3281.0,137.0,4769.0,164.0,280.0
39549,2023-07-06 21:00:00,2024-07-17 00:00:00,3.1,252.41,0,16842.0,3274.0,155.0,4830.0,161.0,254.0
39550,2023-07-06 22:00:00,2024-07-17 00:00:00,3.1,250.82,0,17003.0,3278.0,135.0,5004.0,195.0,243.0
39551,2023-07-06 23:00:00,2024-07-17 00:00:00,3.1,252.34,0,17220.0,3290.0,163.0,4960.0,160.0,220.0
