Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,nuclear,oil,hydro,solar,wind,other
42168,2023-10-24 00:00:00,2024-07-17 00:00:00,3.1,180.66,0.0,0.0,227.0,24.0,3248.0,190.0,8487.0,3854.0
42169,2023-10-24 01:00:00,2024-07-17 00:00:00,3.1,175.18,0.0,0.0,290.0,25.0,3241.0,181.0,8078.0,3573.0
42170,2023-10-24 02:00:00,2024-07-17 00:00:00,3.1,178.19,0.0,0.0,324.0,25.0,3239.0,177.0,6748.0,3245.0
42171,2023-10-24 03:00:00,2024-07-17 00:00:00,3.1,173.42,0.0,0.0,471.0,25.0,3231.0,180.0,5880.0,2896.0
42172,2023-10-24 04:00:00,2024-07-17 00:00:00,3.1,155.66,0.0,0.0,617.0,25.0,3221.0,180.0,5276.0,2358.0
42173,2023-10-24 05:00:00,2024-07-17 00:00:00,3.1,154.55,0.0,0.0,640.0,23.0,3139.0,180.0,4963.0,2240.0
42174,2023-10-24 06:00:00,2024-07-17 00:00:00,3.1,159.75,0.0,0.0,648.0,23.0,3135.0,174.0,4772.0,2295.0
42175,2023-10-24 07:00:00,2024-07-17 00:00:00,3.1,158.12,0.0,0.0,641.0,23.0,3048.0,171.0,4681.0,2213.0
42176,2023-10-24 08:00:00,2024-07-17 00:00:00,3.1,153.62,0.0,0.0,730.0,23.0,3034.0,177.0,4673.0,2143.0
42177,2023-10-24 09:00:00,2024-07-17 00:00:00,3.1,157.11,0.0,0.0,744.0,23.0,3032.0,170.0,4706.0,2223.0
42178,2023-10-24 10:00:00,2024-07-17 00:00:00,3.1,168.68,0.0,0.0,719.0,24.0,3179.0,176.0,5095.0,2609.0
42179,2023-10-24 11:00:00,2024-07-17 00:00:00,3.1,175.3,0.0,0.0,710.0,24.0,3196.0,184.0,6258.0,3126.0
42180,2023-10-24 12:00:00,2024-07-17 00:00:00,3.1,182.04,0.0,0.0,746.0,23.0,3195.0,177.0,6614.0,3430.0
42181,2023-10-24 13:00:00,2024-07-17 00:00:00,3.1,180.3,0.0,0.0,748.0,34.0,3219.0,187.0,6559.0,3365.0
42182,2023-10-24 14:00:00,2024-07-17 00:00:00,3.1,179.84,0.0,0.0,634.0,23.0,3225.0,229.0,6253.0,3239.0
42183,2023-10-24 15:00:00,2024-07-17 00:00:00,3.1,190.42,0.0,0.0,532.0,23.0,3226.0,243.0,5787.0,3326.0
42184,2023-10-24 16:00:00,2024-07-17 00:00:00,3.1,196.02,0.0,0.0,436.0,23.0,3218.0,286.0,5621.0,3386.0
42185,2023-10-24 17:00:00,2024-07-17 00:00:00,3.1,195.58,0.0,0.0,365.0,24.0,3196.0,265.0,5533.0,3302.0
42186,2023-10-24 18:00:00,2024-07-17 00:00:00,3.1,188.68,0.0,0.0,405.0,24.0,3201.0,275.0,5639.0,3186.0
42187,2023-10-24 19:00:00,2024-07-17 00:00:00,3.1,194.32,0.0,0.0,450.0,24.0,3184.0,272.0,5786.0,3391.0
42188,2023-10-24 20:00:00,2024-07-17 00:00:00,3.1,182.79,0.0,0.0,448.0,23.0,3188.0,232.0,6004.0,3162.0
42189,2023-10-24 21:00:00,2024-07-17 00:00:00,3.1,186.25,0.0,0.0,371.0,24.0,3225.0,228.0,6454.0,3387.0
42190,2023-10-24 22:00:00,2024-07-17 00:00:00,3.1,191.85,0.0,0.0,447.0,24.0,3227.0,183.0,7285.0,3848.0
42191,2023-10-24 23:00:00,2024-07-17 00:00:00,3.1,183.91,0.0,0.0,979.0,24.0,3229.0,192.0,7633.0,3914.0
