UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2023-03-30 00:00:00,2024-07-17 00:00:00,3.1,301.53,294.69487
2023-03-30 01:00:00,2024-07-17 00:00:00,3.1,301.09,297.25398
2023-03-30 02:00:00,2024-07-17 00:00:00,3.1,300.11,298.97579
2023-03-30 03:00:00,2024-07-17 00:00:00,3.1,300.98,297.14918
2023-03-30 04:00:00,2024-07-17 00:00:00,3.1,284.46,295.4623
2023-03-30 05:00:00,2024-07-17 00:00:00,3.1,292.16,292.47819
2023-03-30 06:00:00,2024-07-17 00:00:00,3.1,285.99,291.41573
2023-03-30 07:00:00,2024-07-17 00:00:00,3.1,285.2,289.24068
2023-03-30 08:00:00,2024-07-17 00:00:00,3.1,288.64,289.54092
2023-03-30 09:00:00,2024-07-17 00:00:00,3.1,297.07,285.35669
2023-03-30 10:00:00,2024-07-17 00:00:00,3.1,306.68,285.36769
2023-03-30 11:00:00,2024-07-17 00:00:00,3.1,309.18,281.15267
2023-03-30 12:00:00,2024-07-17 00:00:00,3.1,302.43,279.92797
2023-03-30 13:00:00,2024-07-17 00:00:00,3.1,308.87,277.73766
2023-03-30 14:00:00,2024-07-17 00:00:00,3.1,308.68,279.00107
2023-03-30 15:00:00,2024-07-17 00:00:00,3.1,303.2,276.15954
2023-03-30 16:00:00,2024-07-17 00:00:00,3.1,297.89,276.72347
2023-03-30 17:00:00,2024-07-17 00:00:00,3.1,296.07,277.58889
2023-03-30 18:00:00,2024-07-17 00:00:00,3.1,293.8,276.7607
2023-03-30 19:00:00,2024-07-17 00:00:00,3.1,296.32,279.3247
2023-03-30 20:00:00,2024-07-17 00:00:00,3.1,294.74,282.81908
2023-03-30 21:00:00,2024-07-17 00:00:00,3.1,309.25,285.48456
2023-03-30 22:00:00,2024-07-17 00:00:00,3.1,315.03,286.63587
2023-03-30 23:00:00,2024-07-17 00:00:00,3.1,317.16,287.8638
2023-03-31 00:00:00,2024-07-17 00:00:00,3.1,309.62,272.01645
2023-03-31 01:00:00,2024-07-17 00:00:00,3.1,306.19,274.04632
2023-03-31 02:00:00,2024-07-17 00:00:00,3.1,318.69,274.89872
2023-03-31 03:00:00,2024-07-17 00:00:00,3.1,316.92,272.30499
2023-03-31 04:00:00,2024-07-17 00:00:00,3.1,315.81,269.64431
2023-03-31 05:00:00,2024-07-17 00:00:00,3.1,321.01,266.14443
2023-03-31 06:00:00,2024-07-17 00:00:00,3.1,308.43,264.74419
2023-03-31 07:00:00,2024-07-17 00:00:00,3.1,298.85,261.91035
2023-03-31 08:00:00,2024-07-17 00:00:00,3.1,304.87,260.69036
2023-03-31 09:00:00,2024-07-17 00:00:00,3.1,315.16,258.02567
2023-03-31 10:00:00,2024-07-17 00:00:00,3.1,307.31,258.15782
2023-03-31 11:00:00,2024-07-17 00:00:00,3.1,303.69,255.2058
2023-03-31 12:00:00,2024-07-17 00:00:00,3.1,303.31,255.03075
2023-03-31 13:00:00,2024-07-17 00:00:00,3.1,299.83,253.40804
2023-03-31 14:00:00,2024-07-17 00:00:00,3.1,301.1,255.13739
2023-03-31 15:00:00,2024-07-17 00:00:00,3.1,300.89,253.8123
2023-03-31 16:00:00,2024-07-17 00:00:00,3.1,296.09,254.28976
2023-03-31 17:00:00,2024-07-17 00:00:00,3.1,295.74,253.6961
2023-03-31 18:00:00,2024-07-17 00:00:00,3.1,299.69,253.57471
2023-03-31 19:00:00,2024-07-17 00:00:00,3.1,295.82,255.18705
2023-03-31 20:00:00,2024-07-17 00:00:00,3.1,298.12,258.551
2023-03-31 21:00:00,2024-07-17 00:00:00,3.1,299.69,260.50188
2023-03-31 22:00:00,2024-07-17 00:00:00,3.1,308.07,262.4282
2023-03-31 23:00:00,2024-07-17 00:00:00,3.1,295.73,264.39888
2023-04-01 00:00:00,2024-07-17 00:00:00,3.1,298.51,253.87026
2023-04-01 01:00:00,2024-07-17 00:00:00,3.1,296.31,254.67795
2023-04-01 02:00:00,2024-07-17 00:00:00,3.1,298.19,254.5133
2023-04-01 03:00:00,2024-07-17 00:00:00,3.1,302.71,252.01798
2023-04-01 04:00:00,2024-07-17 00:00:00,3.1,307.79,249.30631
2023-04-01 05:00:00,2024-07-17 00:00:00,3.1,308.82,245.99731
2023-04-01 06:00:00,2024-07-17 00:00:00,3.1,304.57,244.67107
2023-04-01 07:00:00,2024-07-17 00:00:00,3.1,295.68,242.43994
2023-04-01 08:00:00,2024-07-17 00:00:00,3.1,298.6,241.31397
2023-04-01 09:00:00,2024-07-17 00:00:00,3.1,307.0,240.18973
2023-04-01 10:00:00,2024-07-17 00:00:00,3.1,310.37,240.60231
2023-04-01 11:00:00,2024-07-17 00:00:00,3.1,299.1,239.49173
2023-04-01 12:00:00,2024-07-17 00:00:00,3.1,300.15,240.53319
2023-04-01 13:00:00,2024-07-17 00:00:00,3.1,291.58,240.26606
2023-04-01 14:00:00,2024-07-17 00:00:00,3.1,301.05,241.66819
2023-04-01 15:00:00,2024-07-17 00:00:00,3.1,303.09,241.5892
2023-04-01 16:00:00,2024-07-17 00:00:00,3.1,312.2,241.89718
2023-04-01 17:00:00,2024-07-17 00:00:00,3.1,301.25,240.99312
2023-04-01 18:00:00,2024-07-17 00:00:00,3.1,286.12,241.30372
2023-04-01 19:00:00,2024-07-17 00:00:00,3.1,278.48,242.39463
2023-04-01 20:00:00,2024-07-17 00:00:00,3.1,273.63,244.57478
2023-04-01 21:00:00,2024-07-17 00:00:00,3.1,283.06,246.01129
2023-04-01 22:00:00,2024-07-17 00:00:00,3.1,280.84,247.80275
2023-04-01 23:00:00,2024-07-17 00:00:00,3.1,293.48,249.45211
2023-04-02 00:00:00,2024-07-17 00:00:00,3.1,287.43,236.2802
2023-04-02 01:00:00,2024-07-17 00:00:00,3.1,280.44,237.29103
2023-04-02 02:00:00,2024-07-17 00:00:00,3.1,281.09,236.23571
